reaction_id,R_lipid,P_lipid,firstLev,secondLev
R-MMU-428260,Cer(d18:0/xx:xx),Cer(t18:0/xx:xx),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-1482612,2-acyl LPC,glycerophosphocholine (GPCho),Hydrolysis of LPC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482612,2-acyl LPC,FA(13_22:xx),Hydrolysis of LPC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482685,1-acyl LPC,glycerophosphocholine (GPCho),Hydrolysis of LPC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482685,1-acyl LPC,FA(13_22:xx),Hydrolysis of LPC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482828,PE,2-acyl LPE,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482828,PE,FA(13_22:xx),Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482862,PC,2-acyl LPC,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482862,PC,FA(13_22:xx),Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482932,PI,2-acyl LPI,Acyl chain remodelling of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482932,PI,FA(13_22:xx),Acyl chain remodelling of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-428231,Cer,FA(18:0),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-428231,Cer,SPH(d18:1),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-428664,SPH(d18:1)-(1)P,SPH(d18:1),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-428701,SPH(d18:1)-(1)P,SPH(d18:1),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-428701,SPH(d18:1)-(1)P,orthophosphate,Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-6814797,LPC,ChoP (phosphocholine),Glycerophospholipid catabolism (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-6814797,LPC,MAG,Glycerophospholipid catabolism (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-549112,Glycerol-3-phosphate (G3P),1-acyl LPA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-549112,acyl-CoA,CoA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-8959462,Cer,ceramide phosphoethanolamine,Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-8959462,PE,ceramide phosphoethanolamine,Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-6789310,TAG,DAG,Formation of the cornified envelope (Mus musculus),Keratinization (Mus musculus)
R-MMU-6789310,TAG,carboxylate(RCOOH),Formation of the cornified envelope (Mus musculus),Keratinization (Mus musculus)
R-MMU-1676109,PI-(4)P,"PI-(3,4)P2",Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-437162,"PI-(4,5)P2","PI-(3,4,5)P3",GPVI-mediated activation cascade (Mus musculus),"Platelet activation, signaling and aggregation (Mus musculus)"
R-MMU-6792445,PA,2-acyl LPA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-6792445,PA,FA(13_22:xx),Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-8848339,TAG,DAG,Triglyceride catabolism (Mus musculus),Triglyceride metabolism (Mus musculus)
R-MMU-8848339,TAG,FA(13_22:xx),Triglyceride catabolism (Mus musculus),Triglyceride metabolism (Mus musculus)
R-MMU-2161814,FA(20:4),FA(20:4)-(19)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-2161940,FA(20:4),FA(20:4)-(20)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-9027043,FA(22:6),FA(22:6)-(14)OH,Biosynthesis of maresin-like SPMs (Mus musculus),Biosynthesis of maresins (Mus musculus)
R-MMU-1606602,Cer,carboxylate,Glycosphingolipid metabolism (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-1606602,Cer,SPH(d18:1),Glycosphingolipid metabolism (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-76466,FA(12:0),FA(12:0)-(12)OH,Fatty acids (Mus musculus),Cytochrome P450 - arranged by substrate type (Mus musculus)
R-MMU-193054,ChE,ChE-(22)OH,Pregnenolone biosynthesis (Mus musculus),Metabolism of steroid hormones (Mus musculus)
R-MMU-193065,ChE-(22)OH,"ChE-(20,22)OH2",Pregnenolone biosynthesis (Mus musculus),Metabolism of steroid hormones (Mus musculus)
R-MMU-192123,ChE,ChE-(27)OH,Endogenous sterols (Mus musculus),Cytochrome P450 - arranged by substrate type (Mus musculus)
R-MMU-428185,SPH(d18:0),Cer(d18:0/xx:xx),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-428185,stearyl-CoA,Cer(d18:0/xx:xx),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-201035,FA(16:0),FA(16:0)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Mus musculus),Fatty acyl-CoA biosynthesis (Mus musculus)
R-MMU-434382,FA(16:0),FA(16:0)-CoA,Intracellular metabolism of fatty acids regulates insulin secretion (Mus musculus),Free fatty acids regulate insulin secretion (Mus musculus)
R-MMU-548843,FA(20:4),FA(20:4)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Mus musculus),Fatty acyl-CoA biosynthesis (Mus musculus)
R-MMU-5692261,FA(16:0),FA(16:1),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-2161950,FA(20:4),FA(20:4)-(12)OOH,Synthesis of 12-eicosatetraenoic acid derivatives (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-2162002,FA(20:4),FA(20:4)-(15)OOH,Synthesis of 15-eicosatetraenoic acid derivatives (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-2161791,FA(20:4)-(15)OOH,FA(20:4)-(15)OH,Synthesis of 15-eicosatetraenoic acid derivatives (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-2161791,Reduced glutathione,oxidized glutathione,Synthesis of 15-eicosatetraenoic acid derivatives (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-2161999,FA(20:4)-(12)OOH,FA(20:4)-(12)OH,Synthesis of 12-eicosatetraenoic acid derivatives (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-2161999,Reduced glutathione,oxidized glutathione,Synthesis of 12-eicosatetraenoic acid derivatives (Mus musculus),Arachidonic acid metabolism (Mus musculus)
R-MMU-9018868,FA(20:5)-(18)OOH,FA(20:5)-(18)OH,Biosynthesis of E-series 18(S)-resolvins (Mus musculus),Biosynthesis of EPA-derived SPMs (Mus musculus)
R-MMU-9018868,Reduced glutathione,oxidized glutathione,Biosynthesis of E-series 18(S)-resolvins (Mus musculus),Biosynthesis of EPA-derived SPMs (Mus musculus)
R-MMU-9018895,FA(20:5)-(18)OOH,FA(20:5)-(18)OH,Biosynthesis of E-series 18(R)-resolvins (Mus musculus),Biosynthesis of EPA-derived SPMs (Mus musculus)
R-MMU-9018895,Reduced glutathione,oxidized glutathione,Biosynthesis of E-series 18(R)-resolvins (Mus musculus),Biosynthesis of EPA-derived SPMs (Mus musculus)
R-MMU-9020271,FA(22:6)-(17)OOH,FA(22:6)-(17)OH,Biosynthesis of aspirin-triggered D-series resolvins (Mus musculus),Biosynthesis of DHA-derived SPMs (Mus musculus)
R-MMU-9020271,Reduced glutathione,oxidized glutathione,Biosynthesis of aspirin-triggered D-series resolvins (Mus musculus),Biosynthesis of DHA-derived SPMs (Mus musculus)
R-MMU-9020273,FA(22:6)-(17)OOH,FA(22:6)-(17)OH,Biosynthesis of D-series resolvins (Mus musculus),Biosynthesis of DHA-derived SPMs (Mus musculus)
R-MMU-9020273,Reduced glutathione,oxidized glutathione,Biosynthesis of D-series resolvins (Mus musculus),Biosynthesis of DHA-derived SPMs (Mus musculus)
R-MMU-211924,FA(20:4),FA(20:4)-(12)OH,Fatty acids (Mus musculus),Cytochrome P450 - arranged by substrate type (Mus musculus)
R-MMU-5696448,MAG,DAG,Acyl chain remodeling of DAG and TAG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-5696448,Acyl-CoA,CoA,Acyl chain remodeling of DAG and TAG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1676005,"PI-(3,5)P2",PI-(3)P,Synthesis of PIPs at the Golgi membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676020,"PI-(3,5)P2",PI-(3)P,Synthesis of PIPs at the late endosome membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676174,"PI-(3,5)P2",PI-(3)P,Synthesis of PIPs at the early endosome membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-75872,acetyl-CoA,FA(16:0),Fatty acyl-CoA biosynthesis (Mus musculus),Fatty acid metabolism (Mus musculus)
R-MMU-75872,malonyl-CoA,FA(16:0),Fatty acyl-CoA biosynthesis (Mus musculus),Fatty acid metabolism (Mus musculus)
R-MMU-426032,DAG,2-MAG,Arachidonate production from DAG (Mus musculus),Effects of PIP2 hydrolysis (Mus musculus)
R-MMU-426032,DAG,FA,Arachidonate production from DAG (Mus musculus),Effects of PIP2 hydrolysis (Mus musculus)
R-MMU-1602368,PG,1-acyl LPG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602368,PG,FA(13_22:xx),Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602374,PS,1-acyl LPS,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602374,PS,FA(13_22:xx),Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602377,PI,1-acyl LPI,Acyl chain remodelling of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602377,PI,FA(13_22:xx),Acyl chain remodelling of PI (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602398,PE,1-acyl LPE,Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602398,PE,FA(13_22:xx),Acyl chain remodelling of PE (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602417,PC,1-acyl LPC,Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602417,PC,FA(13_22:xx),Acyl chain remodelling of PC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602446,PA,1-acyl LPA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1602446,PA,FA(13_22:xx),Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-5695957,FA(23_:xx),FA(23_:xx)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Mus musculus),Fatty acyl-CoA biosynthesis (Mus musculus)
R-MMU-5695957,CoA,FA(23_:xx)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Mus musculus),Fatty acyl-CoA biosynthesis (Mus musculus)
R-MMU-111879,"PI-(4,5)P2",DAG,PLC beta mediated events (Mus musculus),G-protein mediated events (Mus musculus)
R-MMU-111879,"PI-(4,5)P2","inositol-(1,4,5)P3",PLC beta mediated events (Mus musculus),G-protein mediated events (Mus musculus)
R-MMU-1855177,"PI-(4,5)P2",DAG,Synthesis of IP3 and IP4 in the cytosol (Mus musculus),Inositol phosphate metabolism (Mus musculus)
R-MMU-1855177,"PI-(4,5)P2","inositol-(1,4,5)P3",Synthesis of IP3 and IP4 in the cytosol (Mus musculus),Inositol phosphate metabolism (Mus musculus)
R-MMU-398193,"PI-(4,5)P2",DAG,G beta:gamma signalling through PLC beta (Mus musculus),G-protein beta:gamma signalling (Mus musculus)
R-MMU-398193,"PI-(4,5)P2","inositol-(1,4,5)P3",G beta:gamma signalling through PLC beta (Mus musculus),G-protein beta:gamma signalling (Mus musculus)
R-MMU-399998,"PI-(4,5)P2",DAG,Acetylcholine regulates insulin secretion (Mus musculus),Regulation of insulin secretion (Mus musculus)
R-MMU-399998,"PI-(4,5)P2","inositol-(1,4,5)P3",Acetylcholine regulates insulin secretion (Mus musculus),Regulation of insulin secretion (Mus musculus)
R-MMU-1675773,"PI-(4,5)P2","PI-(3,4,5)P3",Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676082,PI-(4)P,"PI-(4,5)P2",Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676145,PI-(3)P,"PI-(3,4)P2",Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-8868066,PI-(4)P,"PI-(4,5)P2",Clathrin-mediated endocytosis (Mus musculus),Membrane Trafficking (Mus musculus)
R-MMU-9021627,"PI-(4,5)P2","PI-(3,4,5)P3",Erythropoietin activates Phosphoinositide-3-kinase (PI3K) (Mus musculus),Signaling by Erythropoietin (Mus musculus)
R-MMU-8952251,lysoPC,GPCho(glycerophosphorylcholine),Hydrolysis of LPC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-8952251,lysoPC,FA(13_22:xx),Hydrolysis of LPC (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-9020274,FA(22:6),FA(22:6)-(14)OH,Biosynthesis of DHA-derived SPMs (Mus musculus),Biosynthesis of specialized proresolving mediators (SPMs) (Mus musculus)
R-MMU-9027624,FA(22:6),FA(22:6)-(7)OH,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives (Mus musculus),Biosynthesis of specialized proresolving mediators (SPMs) (Mus musculus)
R-MMU-9027628,FA(20:5),FA(20:5)-(5)OH,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives (Mus musculus),Biosynthesis of specialized proresolving mediators (SPMs) (Mus musculus)
R-MMU-9020275,FA(22:6),FA(22:6)-(17)OH,Biosynthesis of DHA-derived SPMs (Mus musculus),Biosynthesis of specialized proresolving mediators (SPMs) (Mus musculus)
R-MMU-1482539,1-acyl LPG,PG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482539,acyl-CoA,CoA,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482635,2-acyl LPG,PG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482635,acyl-CoA,CoA,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482745,PG,1-acyl LPG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482745,PG,FA(13_22:xx),Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482847,PG,2-acyl LPG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482847,PG,FA(13_22:xx),Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482897,PS,2-acyl LPS,Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482897,PS,FA(13_22:xx),Acyl chain remodelling of PS (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482920,PG,2-acyl LPG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482920,PG,FA(13_22:xx),Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-429798,PC,DAG,Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-8868072,PI-(4)P,"PI-(3,4)P2",Clathrin-mediated endocytosis (Mus musculus),Membrane Trafficking (Mus musculus)
R-MMU-1675949,"PI-(3,4,5)P3","PI-(3,4)P2",Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676177,"PI-(4,5)P2",PI-(4)P,Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1482604,PA,1-acyl LPA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482604,PA,FA(13_22:xx),Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482656,PA,1-acyl LPA,Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482656,PA,FA(13_22:xx),Synthesis of PA (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482900,PG,1-acyl LPG,Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-1482900,PG,FA(13_22:xx),Acyl chain remodelling of PG (Mus musculus),Glycerophospholipid biosynthesis (Mus musculus)
R-MMU-77277,FA(16:1)-CoA,FA(16:0)-(3)OH-CoA,Beta oxidation of myristoyl-CoA to lauroyl-CoA (Mus musculus),mitochondrial fatty acid beta-oxidation of saturated fatty acids (Mus musculus)
R-MMU-77301,FA(14:1)-CoA,FA(14:0)-(3)OH-CoA,Beta oxidation of palmitoyl-CoA to myristoyl-CoA (Mus musculus),mitochondrial fatty acid beta-oxidation of saturated fatty acids (Mus musculus)
R-MMU-1675939,PI,PI-(3)P,Synthesis of PIPs at the early endosome membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1675961,PI,PI-(3)P,Synthesis of PIPs at the Golgi membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676024,PI,PI-(3)P,Synthesis of PIPs at the late endosome membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-5672012,PI,PI-(3)P,Macroautophagy (Mus musculus),NA
R-MMU-6798174,PI,PI-(3)P,RHO GTPases Activate NADPH Oxidases (Mus musculus),RHO GTPase Effectors (Mus musculus)
R-MMU-428205,Cer,FA(18:0),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-428205,Cer,SPH(d18:1),Sphingolipid de novo biosynthesis (Mus musculus),Sphingolipid metabolism (Mus musculus)
R-MMU-1676162,"PI-(3,4)P2",PI-(3)P,Synthesis of PIPs at the early endosome membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1676164,"PI-(3,4)P2",PI-(3)P,Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-202237,"PI-(3,4,5)P3","PI-(3,4)P2",Downstream TCR signaling (Mus musculus),TCR signaling (Mus musculus)
R-MMU-1675824,"PI-(4,5)P2",PI-(4)P,Synthesis of PIPs at the Golgi membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1675836,"PI-(3,5)P2 ",PI-(3)P,Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-1675988,PI-(4)P,PI,Synthesis of PIPs at the plasma membrane (Mus musculus),PI Metabolism (Mus musculus)
R-MMU-8848484,PC,LPC,COPI-independent Golgi-to-ER retrograde traffic (Mus musculus),Golgi-to-ER retrograde transport (Mus musculus)
