LipidIon,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
Hex1Cer(d42:2),1.81E+08,3.24E+08,1.52E+08,2.84E+08,2.46E+08,2.52E+08,4.42E+08,3.73E+08,3.70E+08,4.74E+08,5.26E+08,4.39E+08,5.89E+08,5.66E+08,5.24E+08,5.11E+08,5.65E+08,5.18E+08
Hex1Cer(d44:2),2309122.454,4574224.686,4165587.098,3469934.357,3564197.235,2773024.572,7739338.582,8778881.955,6490033.873,8222504.506,9407411.97,9011731.704,9559199.223,9402177.164,8291372.772,7766750.231,8822014.245,7132309.385
Hex1Cer(t18:0_22:0),25400000,35800000,21700000,49400000,47200000,45200000,87900000,80900000,60400000,1.21E+08,1.45E+08,1.25E+08,1.59E+08,1.59E+08,1.49E+08,1.57E+08,1.79E+08,1.54E+08
Hex1Cer(t18:0_24:0),1.91E+08,3.56E+08,3.43E+08,2.23E+08,2.13E+08,2.26E+08,3.58E+08,3.22E+08,2.26E+08,4.47E+08,5.60E+08,5.06E+08,5.91E+08,5.46E+08,4.87E+08,5.05E+08,5.64E+08,4.78E+08
Hex1Cer(t18:1_16:1),633218.1975,2345158.757,1110180.067,2678583.821,2254352.801,1398671.335,5316125.287,5752680.735,6162970.272,6770688.64,11100000,5822112.521,9400132.516,9193395.602,9220473.316,6467188.516,8559572.55,4592205.403
Hex1Cer(t34:1),16500000,19600000,21400000,34900000,2.50E+07,31400000,46500000,33300000,28600000,45600000,49700000,53200000,57500000,51600000,50600000,50400000,59200000,48100000
Hex2Cer(d18:1_16:0),78200000,93700000,1.42E+08,9.50E+07,85500000,81600000,1.15E+08,91500000,75500000,1.28E+08,1.55E+08,1.12E+08,1.83E+08,1.93E+08,1.59E+08,1.72E+08,1.89E+08,1.48E+08
Hex2Cer(d18:1_22:0),5999917.306,5330542.401,15500000,18100000,16600000,6986953.171,23400000,15400000,14500000,23900000,27100000,19600000,2.70E+07,24500000,23800000,22100000,25200000,20900000
Hex2Cer(d18:1_24:0),35700000,74300000,54600000,5.80E+07,5.90E+07,67300000,76700000,50400000,3.60E+07,61600000,75700000,49400000,70900000,72400000,65200000,63900000,64100000,54300000
Hex2Cer(d18:1_24:1),73100000,29900000,20300000,86900000,74300000,73200000,1.35E+08,95500000,62500000,1.24E+08,1.59E+08,74600000,1.48E+08,1.53E+08,1.31E+08,1.46E+08,1.85E+08,1.14E+08
Hex2Cer(d34:1),21500000,28700000,27200000,32200000,29400000,29600000,38500000,29600000,23700000,42700000,52800000,4.30E+07,51400000,62300000,50500000,51100000,66900000,44400000
Hex2Cer(d42:1),7286712.806,21700000,17500000,22800000,20600000,19500000,2.80E+07,22500000,14200000,22800000,27600000,21300000,26600000,26200000,23500000,23800000,26300000,20300000
Hex2Cer(d42:2),19300000,7365706.616,1.00E+07,35600000,34400000,29700000,45600000,39700000,34200000,50400000,64300000,34200000,70900000,71500000,57700000,59700000,75400000,54700000
Hex2Cer(t18:0_24:0),35700000,74300000,54600000,5.80E+07,5.90E+07,67300000,76700000,50400000,3.60E+07,61600000,75700000,49400000,70900000,72400000,65200000,63900000,64100000,54300000
Hex2Cer(t18:0_24:1),73100000,65100000,66800000,86900000,74200000,73700000,1.23E+08,95500000,62100000,1.12E+08,1.59E+08,73900000,1.49E+08,1.55E+08,1.29E+08,1.46E+08,1.55E+08,1.12E+08
LPC(16:0),1.13E+09,1.57E+09,1.97E+09,2.76E+09,2.44E+09,2.67E+09,5.25E+09,4.60E+09,4.51E+09,4.09E+09,3.46E+09,1.36E+09,5.28E+09,5.14E+09,5.01E+09,4.84E+09,5.21E+09,6.60E+09
LPC(16:0e),1.90E+07,22700000,27700000,29700000,36800000,29700000,38300000,42400000,46200000,33400000,26700000,12400000,42800000,42600000,36200000,51200000,39700000,45400000
LPC(16:1),76100000,1.02E+08,1.27E+08,27100000,20600000,22900000,2.61E+08,2.50E+08,2.47E+08,2.47E+08,1.66E+08,79700000,2.57E+08,2.51E+08,2.31E+08,68600000,2.19E+08,57600000
LPC(16:1e),17200000,24700000,30900000,5.00E+07,40400000,47800000,80100000,89700000,69800000,63700000,60300000,25100000,76900000,73200000,71100000,53900000,73700000,63100000
LPC(16:2e),7105895.478,4820629.328,7624948.331,12400000,10500000,13800000,20100000,19600000,2.20E+07,19700000,15100000,5803437.018,22800000,21800000,19400000,19600000,22700000,2.30E+07
LPC(18:0),1.29E+09,2.30E+09,2.75E+09,4.36E+09,3.46E+09,4.65E+09,6.63E+09,5.68E+09,5.20E+09,5.35E+09,5.10E+09,1.63E+09,7.70E+09,7.10E+09,6.72E+09,6.51E+09,7.98E+09,8.04E+09
LPC(18:0e),7782528.601,1.40E+07,14200000,16400000,24900000,19900000,25800000,24500000,24100000,19100000,15400000,6606634.513,27100000,20800000,21500000,28500000,25300000,28600000
LPC(18:1),3.82E+08,7.76E+08,8.91E+08,1.03E+09,7.88E+08,8.81E+08,1.54E+09,1.42E+09,1.30E+09,1.56E+09,1.19E+09,4.73E+08,1.57E+09,1.45E+09,1.41E+09,1.31E+09,1.42E+09,1.31E+09
LPC(18:1e),17700000,24300000,3.60E+07,28200000,22900000,27500000,41100000,34800000,34600000,29500000,2.40E+07,7575757.418,34100000,25900000,33900000,30800000,3.40E+07,31800000
LPC(18:2e),937781.197,7880890.265,7647870.395,14400000,13300000,9720112.303,23800000,19800000,1.70E+07,18400000,15400000,7246435.383,3.20E+07,24800000,22500000,21900000,28500000,26900000
LPC(20:0),19500000,27400000,31500000,49400000,38800000,40400000,64100000,59700000,57700000,59900000,57200000,21700000,77400000,71900000,91700000,71200000,91400000,94100000
LPC(20:0e),5067002.559,13500000,16500000,27100000,20900000,2.40E+07,40600000,32800000,32400000,29100000,27700000,9253499.664,39600000,38300000,30600000,37200000,43600000,36200000
LPC(20:1),5.10E+07,88800000,97100000,1.83E+08,1.35E+08,1.43E+08,1.67E+08,1.36E+08,1.56E+08,2.05E+08,1.50E+08,52300000,1.65E+08,1.63E+08,1.57E+08,1.59E+08,1.56E+08,1.43E+08
LPC(20:2),7227521.225,19700000,2.60E+07,8621549.139,6768661.677,8081376.849,11900000,11800000,27900000,27800000,10900000,7896599.225,34200000,29400000,31400000,27100000,24900000,24300000
LPC(20:4),71100000,1.02E+08,1.61E+08,53500000,36200000,44200000,71900000,70600000,6.40E+07,47800000,35900000,16700000,62200000,65100000,63200000,52300000,4.70E+07,52900000
LPC(20:5),0,0,0,6103757.564,1216391.828,4917049.164,8276504.988,11200000,10900000,11700000,6175777.883,0,9089740.566,9281835.384,0,996762.319,1656583.495,3942996.473
LPC(22:0),20500000,20800000,22500000,3.20E+07,24200000,26900000,50200000,48700000,43900000,47900000,58900000,17300000,65300000,76800000,66900000,66100000,76300000,67900000
LPC(22:1),13100000,24100000,26500000,47500000,36900000,42100000,75500000,43400000,56400000,40600000,45100000,21200000,52300000,41300000,41800000,67700000,84800000,7.00E+07
LPC(22:5),9.10E+07,1.15E+08,1.33E+08,95200000,7.70E+07,79500000,80600000,6.60E+07,70100000,76700000,70700000,27700000,87100000,84700000,86100000,67200000,72100000,73600000
LPC(22:6),93200000,1.27E+08,1.52E+08,85600000,57300000,66700000,74600000,53400000,71500000,7.70E+07,51700000,24400000,7.50E+07,71200000,70600000,66800000,50300000,81300000
LPC(24:0),74900000,1.09E+08,1.25E+08,1.72E+08,1.22E+08,1.46E+08,2.95E+08,2.39E+08,2.35E+08,2.96E+08,3.34E+08,80800000,3.77E+08,4.42E+08,3.12E+08,2.95E+08,3.78E+08,2.97E+08
LPC(24:1),52600000,58100000,68700000,1.51E+08,94100000,1.24E+08,1.93E+08,1.46E+08,1.30E+08,1.69E+08,2.08E+08,51700000,2.37E+08,2.10E+08,1.85E+08,2.08E+08,2.54E+08,2.13E+08
LPC(24:2),1583656.439,2181295.434,6257626.039,10200000,8715025.701,8756805.434,16300000,11400000,11900000,1.70E+07,1.70E+07,4507425.446,23400000,23700000,19700000,2.40E+07,26700000,22900000
LPC(26:1),14500000,28600000,14200000,52600000,3.10E+07,34200000,82200000,77400000,61300000,93400000,1.04E+08,23900000,1.05E+08,99400000,92500000,82300000,1.12E+08,81500000
LPE(16:0),19300000,26200000,31800000,35900000,3.30E+07,33600000,87300000,80500000,78700000,75500000,74100000,38100000,85700000,1.03E+08,84600000,84700000,99400000,75800000
LPE(18:0),90700000,1.13E+08,1.27E+08,1.49E+08,1.31E+08,1.10E+08,2.28E+08,2.26E+08,2.17E+08,2.76E+08,2.85E+08,1.50E+08,3.27E+08,3.33E+08,2.73E+08,3.34E+08,3.58E+08,2.95E+08
LPE(18:1),22600000,28800000,35400000,3.20E+07,30800000,37600000,66700000,65700000,64500000,74800000,68900000,4.20E+07,7.70E+07,77700000,91800000,72600000,72200000,60900000
LPE(18:2e),1672069.69,9490890.984,4037018.956,21600000,18200000,18300000,45600000,4.40E+07,42300000,34900000,35400000,21200000,38500000,45300000,4.00E+07,3.30E+07,41600000,29600000
LPE(20:3),412794.892,3079749.334,1996897.467,2242264.862,2026858.078,1390137.035,3002180.067,2898063.012,2367938.922,2600959.543,3992732.527,1493699.877,2996359.199,3375930.468,1924357.368,1079954.809,3218044.395,922261.3665
LPE(22:6),7486716.099,16600000,29900000,23600000,18900000,10100000,13900000,16400000,12700000,24700000,11600000,12800000,14200000,13500000,12500000,19200000,19200000,1.00E+07
LSM(d20:0),1.92E+08,8582749.529,1.50E+07,4538200.085,56800000,37400000,17700000,24300000,58300000,12500000,9161099.915,9256677.95,40100000,1.42E+08,90900000,62900000,11600000,51600000
PC(14:0_14:0),21900000,31400000,35600000,33200000,26900000,27700000,25900000,27400000,26700000,31800000,41700000,19800000,39400000,38300000,36600000,32800000,36300000,35800000
PC(14:0_20:5),5596494.025,5091314.733,8314531.388,9046841.553,6525746.071,7884498.086,10600000,8765720.996,7530959.128,8331089.33,4107574.101,5985837.822,10300000,3199256.068,11300000,9241763.422,8311644.749,7637676.074
PC(14:0_22:4),1.73E+09,1.80E+09,1.87E+09,1.56E+09,1.45E+09,1.59E+09,1.69E+09,2.14E+09,1.74E+09,1.91E+09,1.62E+09,1.76E+09,1.54E+09,1.60E+09,25900000,2.18E+09,2.08E+09,1.72E+09
PC(14:1e_16:0),6921409.663,58600000,6313501.83,1.44E+08,1.18E+08,1.23E+08,1.69E+08,1.62E+08,1.69E+08,1.49E+08,1.72E+08,87700000,1.57E+08,1.61E+08,1.44E+08,1.27E+08,1.52E+08,1.34E+08
PC(14:1e_18:0),1.91E+08,1.21E+08,1.78E+08,1.05E+09,7.37E+08,8.30E+08,1.58E+09,1.28E+09,1.17E+09,1.13E+09,1.42E+09,6.51E+08,1.39E+09,1.49E+09,1.26E+09,1.15E+09,1.15E+09,1.08E+09
PC(14:1e_20:4),17200000,21200000,2.40E+07,1.24E+08,1.05E+08,40300000,1.58E+08,1.51E+08,1.43E+08,1.73E+08,2.04E+08,1.48E+08,2.73E+08,2.45E+08,2.27E+08,2.47E+08,2.64E+08,2.19E+08
PC(16:0_14:0),3.84E+08,5.13E+08,5.80E+08,6.70E+08,5.39E+08,5.45E+08,5.95E+08,6.13E+08,6.00E+08,5.88E+08,6.38E+08,3.94E+08,7.29E+08,7.54E+08,7.39E+08,5.70E+08,6.54E+08,5.98E+08
PC(16:0_16:0),9.26E+08,1.40E+09,1.50E+09,2.08E+09,1.77E+09,1.82E+09,2.01E+09,2.14E+09,1.99E+09,1.96E+09,1.71E+09,1.18E+09,2.22E+09,2.17E+09,1.86E+09,1.64E+09,1.81E+09,1.98E+09
PC(16:0_16:1),1.23E+09,1.80E+09,2.24E+09,2.76E+09,2.21E+09,2.27E+09,3.26E+09,3.30E+09,3.20E+09,3.30E+09,3.97E+09,2.11E+09,3.82E+09,3.91E+09,3.67E+09,3.74E+09,4.30E+09,3.80E+09
PC(16:0_18:1),2.13E+09,3.28E+09,3.82E+09,4.05E+09,3.38E+09,3.75E+09,4.46E+09,4.53E+09,4.54E+09,4.40E+09,4.89E+09,2.75E+09,5.24E+09,5.24E+09,5.10E+09,4.88E+09,5.15E+09,4.79E+09
PC(16:0_20:3),1.53E+08,54800000,3.85E+08,1.52E+08,1.27E+08,1.45E+08,2.33E+08,2.33E+08,2.30E+08,2.47E+08,2.81E+08,1.41E+08,3.56E+08,3.64E+08,3.35E+08,3.31E+08,3.73E+08,3.53E+08
PC(16:0_20:4),3.85E+08,5.64E+08,6.67E+08,7.09E+08,6.27E+08,6.75E+08,8.23E+08,6.65E+08,7.22E+08,7.17E+08,7.76E+08,3.53E+08,9.22E+08,6.79E+08,7.22E+08,5.94E+08,8.24E+08,6.81E+08
PC(16:0_20:5),5.40E+07,1.35E+08,1.69E+08,3.20E+08,2.44E+08,2.58E+08,5.40E+08,3.85E+08,3.93E+08,2.70E+08,2.68E+08,1.46E+08,4.79E+08,4.03E+08,3.39E+08,2.92E+08,3.57E+08,3.72E+08
PC(16:0_22:1),27900000,46900000,15500000,57400000,47800000,51800000,81100000,75800000,7.20E+07,74600000,84200000,40200000,99300000,96200000,88200000,83300000,1.01E+08,87600000
PC(16:0_22:5),1.06E+09,9.03E+08,8.78E+08,7.70E+08,7.62E+08,8.65E+08,6.59E+08,7.73E+08,8.23E+08,6.51E+08,7.12E+08,8.35E+08,1.03E+08,5.28E+08,5.70E+08,6.31E+08,68800000,80700000
PC(16:0_24:0),2321946.389,21400000,25400000,47800000,35600000,39500000,67600000,60700000,24400000,59500000,69100000,53200000,50300000,55700000,51100000,42500000,42900000,38900000
PC(16:0e_22:3),4378286.561,7548797.127,7783612.261,15100000,13900000,14300000,27400000,28300000,22600000,18900000,25400000,32400000,25700000,41500000,29900000,23700000,22900000,22500000
PC(16:0e_22:6),3724822.365,11800000,5319723.186,8292753.961,8007052.539,1.00E+07,37200000,21100000,24700000,11300000,8895443.525,7674365.813,31900000,22700000,2.70E+07,40500000,29800000,36800000
PC(16:1_14:0),1.15E+08,1.51E+08,1.71E+08,2.07E+08,1.58E+08,1.47E+08,2.09E+08,2.27E+08,2.29E+08,2.70E+08,2.96E+08,1.62E+08,2.67E+08,2.87E+08,2.64E+08,2.37E+08,2.70E+08,2.56E+08
PC(16:1_18:1),4.11E+08,6.76E+08,6.89E+08,1.44E+09,1.10E+09,1.20E+09,1.85E+09,1.96E+09,3.75E+08,6.25E+08,3.00E+09,1.63E+09,1.66E+09,1.88E+09,3.09E+08,1.63E+09,2.12E+09,1.65E+09
PC(16:1_20:4),6.00E+07,98800000,2.50E+07,1.61E+08,1.18E+08,46600000,1.74E+08,1.70E+08,63100000,1.61E+08,1.74E+08,98300000,1.63E+08,1.54E+08,36900000,1.37E+08,1.30E+08,1.51E+08
PC(16:1_22:6),1.38E+08,2.07E+08,6.30E+08,4.89E+08,3.76E+08,3.82E+08,6.26E+08,5.67E+08,5.18E+08,6.02E+08,7.85E+08,5.14E+08,7.44E+08,7.68E+08,7.62E+08,5.05E+08,6.11E+08,5.37E+08
PC(16:1e_18:0),1.33E+08,3.57E+08,4.86E+08,4.60E+08,3.23E+08,3.65E+08,6.52E+08,5.12E+08,5.25E+08,3.91E+08,4.55E+08,2.01E+08,5.58E+08,5.58E+08,5.55E+08,4.66E+08,6.06E+08,5.56E+08
PC(16:1e_18:1),3.60E+08,6.56E+08,7.88E+08,1.03E+09,9.45E+08,1.04E+09,1.36E+09,1.43E+09,1.43E+09,1.05E+09,1.61E+09,7.92E+08,1.62E+09,1.77E+09,1.55E+09,1.36E+09,1.65E+09,1.50E+09
PC(16:1e_20:4),20400000,30200000,35500000,85200000,72200000,75500000,1.12E+08,88100000,80300000,7.30E+07,75900000,4.30E+07,35600000,71200000,38900000,60200000,63900000,31400000
PC(16:2e_22:3),5824622.576,622843.5378,454022.9139,22800000,6492924.508,7047914.651,27300000,22200000,0,27700000,27600000,19400000,39600000,33800000,36100000,35900000,4.50E+07,3.00E+07
PC(18:0_16:0),1.38E+08,89200000,80600000,2.73E+08,2.35E+08,2.35E+08,3.56E+08,3.24E+08,3.09E+08,3.47E+08,3.74E+08,1.93E+08,4.05E+08,4.00E+08,3.91E+08,3.73E+08,4.06E+08,3.77E+08
PC(18:0_20:4),3.25E+08,5.22E+08,6.27E+08,7.56E+08,6.12E+08,6.82E+08,9.30E+08,7.89E+08,7.26E+08,7.33E+08,7.90E+08,4.36E+08,9.19E+08,8.89E+08,8.80E+08,8.39E+08,9.23E+08,9.04E+08
PC(18:0_22:2),16400000,5425662.222,33500000,29500000,1513075.14,29100000,37100000,37600000,1213057.487,39800000,43400000,333053.2377,45600000,48500000,42700000,35800000,45600000,40500000
PC(18:0_22:3),52800000,2.22E+08,8.90E+07,2.36E+08,1.87E+08,4.94E+08,2.47E+08,6.22E+08,5.46E+08,2.07E+08,7.18E+08,96200000,2.60E+08,2.32E+08,18100000,12700000,69500000,19100000
PC(18:0_22:5),1.11E+08,57200000,55400000,2.23E+08,1.77E+08,1.99E+08,2.51E+08,2.27E+08,2.09E+08,2.05E+08,2.20E+08,1.18E+08,2.90E+08,2.83E+08,2.50E+08,2.35E+08,2.52E+08,2.60E+08
PC(18:0e_16:0),5509856.316,6989986.887,7230225.388,6232282.111,6674234.987,5977621.691,11300000,8382182.66,10300000,9586244.367,9747628.745,4005998.466,12800000,13500000,10900000,11900000,12800000,10800000
PC(18:1_14:1),97300000,37900000,25700000,97600000,26300000,3.30E+07,2.43E+08,1.54E+08,1.44E+08,3.72E+08,3.35E+08,3.59E+08,2.48E+08,3.44E+08,3.73E+08,2.24E+08,3.05E+08,2.13E+08
PC(18:1_18:1),9.19E+08,5.85E+08,5.76E+08,2.09E+09,1.66E+09,1.81E+09,2.35E+09,2.40E+09,2.33E+09,2.32E+09,2.69E+09,1.49E+09,2.58E+09,2.62E+09,2.44E+09,2.30E+09,2.64E+09,2.43E+09
PC(18:1_18:2),1.81E+08,3.66E+08,5.12E+08,6.11E+08,5.63E+08,5.45E+08,7.64E+08,7.42E+08,7.07E+08,4.18E+08,5.16E+08,2.89E+08,2.78E+08,7.02E+08,2.05E+08,1.17E+08,5.24E+08,2.27E+08
PC(18:1_20:4),3.32E+08,3.48E+08,3.70E+08,7.51E+08,5.83E+08,6.46E+08,6.89E+08,6.15E+08,6.18E+08,6.61E+08,6.44E+08,3.70E+08,6.99E+08,6.65E+08,6.72E+08,5.91E+08,6.43E+08,6.30E+08
PC(18:1_22:4),32500000,2064779.621,1490887.275,13900000,51500000,58300000,57900000,51900000,49500000,4.40E+07,45500000,6393091.485,52200000,51200000,17300000,1.80E+07,21800000,22800000
PC(18:1_22:6),2.37E+09,1.02E+09,1.44E+09,5.70E+09,4.61E+09,4.89E+09,4.28E+09,4.43E+09,4.21E+09,3.72E+09,4.05E+09,2.55E+09,4.51E+09,4.44E+09,4.05E+09,3.73E+09,4.04E+09,3.83E+09
PC(18:1_24:0),4507737.404,14300000,14700000,14100000,8270540.428,10600000,17800000,15400000,21200000,13200000,17800000,8731474.357,14300000,5691904.069,12300000,14100000,16200000,10700000
PC(18:1e_20:4),94300000,1.71E+08,2.00E+08,1.20E+08,90300000,1.07E+08,1.24E+08,1.03E+08,84700000,65400000,74700000,42100000,82200000,83300000,83400000,86700000,90400000,93500000
PC(18:1e_22:5),16300000,32300000,38300000,24800000,18300000,24200000,23500000,20100000,19700000,16600000,16900000,8812887.382,18600000,17800000,17100000,16400000,19700000,18600000
PC(18:1e_22:6),18900000,20900000,18400000,21100000,13700000,13600000,14600000,17700000,14900000,10100000,11700000,5878149.502,12400000,11800000,5469027.213,4925152.295,5277483.622,11500000
PC(18:2e_18:0),1.76E+08,2.90E+08,4.04E+08,1.11E+09,7.89E+08,8.42E+08,1.21E+09,1.01E+09,1.25E+09,8.82E+08,1.08E+09,5.95E+08,1.55E+09,1.56E+09,1.41E+09,1.36E+09,1.69E+09,1.12E+09
PC(18:2e_20:4),2.80E+07,4876341.258,9893295.615,76200000,6.20E+07,75300000,1.03E+08,82100000,72800000,70700000,73900000,3.80E+07,26800000,18900000,27500000,17900000,65200000,2.60E+07
PC(18:3e_18:0),2.15E+08,4.33E+08,5.08E+08,5.82E+08,4.48E+08,4.89E+08,7.73E+08,6.87E+08,6.45E+08,5.67E+08,6.85E+08,2.90E+08,7.21E+08,7.46E+08,6.83E+08,6.40E+08,7.45E+08,6.62E+08
PC(20:1_18:1),9279442.641,16100000,12700000,1.17E+08,90300000,95800000,1.26E+08,1.20E+08,1.27E+08,1.25E+08,1.33E+08,67600000,1.53E+08,1.67E+08,1.40E+08,1.31E+08,1.59E+08,1.51E+08
PC(20:1e_18:1),6874504.044,11100000,13700000,8627453.643,6953101.651,7315094.424,12400000,14400000,1.50E+07,18500000,22300000,1.90E+07,22900000,27100000,21600000,18700000,2.10E+07,17300000
PC(20:3_22:1),17500000,33600000,22200000,12400000,10200000,6800592.299,35200000,23500000,24700000,8561132.086,7160392.094,5569992.844,21900000,18600000,16200000,25300000,23900000,21200000
PC(20:4e_18:0),7.50E+07,1.66E+08,1.52E+08,4.56E+08,3.39E+08,3.79E+08,4.80E+08,4.48E+08,3.96E+08,3.05E+08,3.13E+08,1.79E+08,3.79E+08,3.90E+08,3.91E+08,3.51E+08,4.29E+08,3.53E+08
PC(22:5_20:4),2287550.634,4151778.91,1584085.143,4383391.074,2674241.711,3154936.64,5726086.531,6322195.984,5551469.962,2691357.597,3340721.254,1285672.512,4028523.714,3538774.399,4371493.705,3396995.863,2729887.532,2960964.059
PC(24:1_18:2),1144391.373,9906697.796,4268030.896,13600000,10600000,1.20E+07,16200000,12900000,16300000,12500000,14300000,5152685.638,15700000,14200000,14400000,12200000,14400000,13100000
PC(26:2e),2209865.011,1901720.294,781203.5532,9890654.524,5326516.534,3630091.902,11700000,6857657.998,9566959.939,15900000,15900000,4133749.784,24700000,24400000,16600000,21100000,27600000,16800000
PC(28:0),4.52E+08,6.08E+08,6.95E+08,8.09E+08,5.02E+08,5.73E+08,5.48E+08,6.70E+08,4.86E+08,7.58E+08,8.05E+08,4.12E+08,8.81E+08,8.81E+08,8.96E+08,8.37E+08,7.62E+08,8.32E+08
PC(28:2),6687891.892,13200000,13500000,1268483.284,1448090.043,1036838.94,1694823.221,1588285.33,1606156.146,302604.286,948149.4744,0,2223209.488,693333.628,0,2790711.788,2093945.213,1970965.049
PC(30:0),8.07E+09,1.22E+10,1.38E+10,1.52E+10,1.27E+10,1.27E+10,1.34E+10,1.40E+10,1.38E+10,1.40E+10,1.55E+10,1.00E+10,1.62E+10,1.65E+10,1.55E+10,1.43E+10,1.54E+10,1.44E+10
PC(30:0e),1.61E+08,1.19E+08,1.69E+08,3.01E+08,2.62E+08,2.44E+08,3.79E+08,3.57E+08,3.39E+08,3.24E+08,3.67E+08,1.98E+08,4.20E+08,3.74E+08,3.14E+08,3.91E+08,3.79E+08,3.83E+08
PC(30:2),93900000,1.06E+08,1.24E+08,1.36E+08,98800000,1.01E+08,66600000,82400000,68600000,78800000,59800000,38800000,54100000,72500000,86700000,82300000,87600000,53900000
PC(30:3),11300000,6493628.57,7447724.804,2.20E+07,17700000,15600000,21600000,17500000,16900000,24100000,24900000,1.20E+07,3.60E+07,34200000,32100000,30500000,33300000,28200000
PC(32:0),1.99E+10,2.59E+10,2.64E+10,3.41E+10,3.09E+10,3.21E+10,3.45E+10,3.43E+10,3.10E+10,3.08E+10,3.26E+10,2.21E+10,3.29E+10,3.34E+10,3.21E+10,2.96E+10,3.19E+10,2.98E+10
PC(32:0e),5.61E+08,1.02E+09,1.20E+09,1.35E+09,1.13E+09,1.13E+09,1.88E+09,1.64E+09,1.59E+09,1.55E+09,1.85E+09,8.41E+08,2.01E+09,2.09E+09,1.81E+09,1.84E+09,2.15E+09,1.77E+09
PC(32:1),3.40E+10,5.10E+10,5.70E+10,2.11E+10,1.86E+10,2.12E+10,8.36E+10,8.22E+10,8.22E+10,2.33E+10,2.55E+10,5.81E+10,9.20E+10,6.92E+10,2.24E+10,8.76E+10,6.77E+10,6.52E+10
PC(32:1e),1.02E+09,5.37E+08,2.11E+09,2.10E+09,1.50E+09,1.63E+09,2.48E+09,2.35E+09,2.12E+09,1.94E+09,2.39E+09,1.16E+09,2.49E+09,2.64E+09,2.37E+09,2.36E+09,2.61E+09,2.41E+09
PC(32:3),2.75E+08,3.73E+08,4.33E+08,6.53E+08,4.30E+08,4.68E+08,5.53E+08,5.67E+08,4.90E+08,5.15E+08,5.90E+08,2.71E+08,5.63E+08,5.83E+08,3.47E+08,2.81E+08,3.05E+08,2.76E+08
PC(34:0e),33900000,64800000,52900000,1.75E+08,1.79E+08,1.56E+08,2.58E+08,2.41E+08,9.00E+07,2.28E+08,2.68E+08,1.26E+08,3.15E+08,3.03E+08,2.88E+08,2.80E+08,3.21E+08,2.79E+08
PC(34:1),4.87E+10,6.78E+10,7.11E+10,7.57E+10,6.50E+10,6.68E+10,8.35E+10,8.38E+10,8.10E+10,7.86E+10,8.75E+10,6.01E+10,9.30E+10,9.54E+10,8.99E+10,9.21E+10,9.31E+10,9.14E+10
PC(34:1e),3.90E+09,7.57E+09,9.13E+09,9.66E+09,7.13E+09,7.97E+09,1.18E+10,1.00E+10,9.71E+09,9.01E+09,1.15E+10,4.63E+09,1.23E+10,1.30E+10,1.18E+10,1.08E+10,1.32E+10,1.12E+10
PC(34:3),7.16E+08,1.17E+09,1.43E+09,1.99E+09,1.43E+09,1.47E+09,2.97E+09,3.28E+09,2.97E+09,3.26E+09,4.04E+09,1.82E+09,3.82E+09,3.95E+09,3.34E+09,3.31E+09,4.00E+09,3.40E+09
PC(36:0),29800000,71600000,57200000,2.04E+08,1.81E+08,2.12E+08,3.83E+08,3.27E+08,3.46E+08,3.70E+08,3.82E+08,1.66E+08,4.53E+08,5.38E+08,3.60E+08,3.61E+08,4.05E+08,3.30E+08
PC(36:0e),13100000,9397494.445,9996385.072,31200000,33500000,3.00E+07,55800000,41100000,15100000,37700000,46400000,19700000,46600000,50700000,42500000,43500000,48300000,47400000
PC(36:1),9.98E+09,5.69E+09,5.72E+09,2.85E+10,2.16E+10,2.34E+10,4.63E+10,4.03E+10,3.28E+10,3.96E+10,4.45E+10,2.09E+10,5.36E+10,5.45E+10,4.75E+10,4.65E+10,5.66E+10,5.17E+10
PC(36:1e),1.18E+08,7524899.535,2.43E+08,2.29E+08,1.83E+08,1.96E+08,3.33E+08,2.74E+08,2.26E+08,2.66E+08,3.24E+08,1.37E+08,3.75E+08,4.00E+08,3.44E+08,3.25E+08,4.06E+08,3.46E+08
PC(36:2),2.51E+10,1.02E+10,1.47E+10,4.28E+10,3.59E+10,3.88E+10,4.70E+10,4.92E+10,4.75E+10,4.59E+10,5.24E+10,3.45E+10,5.03E+10,5.09E+10,4.79E+10,4.59E+10,4.94E+10,4.74E+10
PC(36:3),1.85E+09,3.14E+09,3.96E+09,9.30E+09,7.31E+09,7.54E+09,9.59E+09,1.01E+10,9.14E+09,1.13E+10,1.35E+10,7.44E+09,4.54E+09,1.15E+10,4.68E+09,3.50E+09,5.19E+09,5.01E+09
PC(36:4),1.04E+10,1.55E+10,1.75E+10,1.95E+10,1.51E+10,1.77E+10,2.03E+10,1.67E+10,1.66E+10,1.46E+10,1.48E+10,1.10E+10,1.86E+10,6.64E+09,1.72E+10,1.70E+10,1.72E+10,6.22E+09
PC(36:4e),5.02E+08,8.17E+08,8.97E+08,1.09E+09,7.46E+08,8.37E+08,9.64E+08,9.83E+08,7.60E+08,5.45E+08,6.63E+08,4.03E+08,8.69E+08,8.27E+08,8.55E+08,4.18E+08,1.03E+09,4.67E+08
