,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,B,B,B,B,B,C,C,C,C,D,D,D,D,,
5041,2.858,381.26382,DG 17:0,[M+Na]+,ion correlated with 2839; found in higher mz's MsMs_7738; found in higher mz's MsMs_5894,0.176,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,99.6,100,10.1,75,100,54.09,SXY_FDUhhuang_444_pos,381.26382:817218 382.26717:169038 383.27053:140196,105.06634:121 107.08617:40 109.06223:81 109.10033:81 117.07579:40 119.08797:40 131.08063:35 142.0741:40 159.11891:81 161.0981:81 163.11101:81 165.1256:795 166.72479:35 187.04739:35 191.13496:81 260.21326:40 289.216:307 381.25815:121,183,1504,2347,289156,286,1493272,157736,122106,243007,0,6647130,2519,5261,7859,1258818,3836,1627,602155.6775,1620519.606
5043,6.668,381.27319,DG 17:0,[M+Na]+,ion correlated with 24418; found in higher mz's MsMs_6946,0.235,TRUE,2.64,381.26114,C20H38O5,DG,SDCNSBXLWRQJHO-UHFFFAOYNA-N,CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,88.3,99.9,19.7,75,100,26.88,SXY_FDUhhuang_270_pos,381.27029:28579 382.27364:10458 383.277:8357,102.12357:162 117.07724:35 133.08136:40 141.08426:81 160.11147:35 181.10374:40 251.97717:35 295.15125:35 321.20544:35 363.32266:35 381.22061:81 381.33838:81,681186,510506,124218,538162,152400,63685,146067,120309,156705,133372,1423749,126391,47053,159462,186258,37050,102895,277027.5338,348908.4493
5691,6.763,395.2865,DG 18:0,[M+Na]+,adduct linked to 5428_[M+NH4]+,0.059,TRUE,2.87,395.27679,C21H40O5,DG,YOYOQXRPUDEPAK-UHFFFAOYNA-N,CCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,89.5,99.9,45.7,75,100,5.89,SXY_FDUhhuang_270_pos,395.2865:53849 396.28985:21710 397.29321:13766,119.07413:35 133.06841:40 165.67953:35 177.11053:40 191.106:35 250.08569:35 359.33878:35 395.29242:161,21578,2392,3551,1347026,24337,92848,481655,169292,74713,3049,66391,6903,2178,227775,61578,22417,10483,154009.6896,330524.4841
5423,7.034,390.31171,DG 18:0|DG 9:0_9:0,[M+NH4]+,,0.059,TRUE,2.87,390.32141,C21H40O5,DG,MLYPZHZRXTUJHJ-UHFFFAOYNA-N,CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC,410,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,90.8,99.9,12.2,73,100,122.71,SXY_FDUhhuang_197_pos,390.31171:41041 391.31506:11156 392.31842:12409,101.06158:35 104.73712:40 105.06759:81 125.12844:35 133.09596:40 143.06578:35 149.01767:40 149.12729:81 161.13037:121 173.13623:40 181.17767:40 201.16057:35 215.19138:40 227.10442:40 279.27478:40 292.22644:35 355.29623:40 390.22861:40 390.33392:81,41739,653789,48930,63404,6623,31117,36137,16955,26198,19515,116012,46115,17290,91234,15911,30761,13264,74999.60199,151910.5098
6254,23.835,409.30048,DG 19:0,[M+Na]+,ion correlated with 21380; ion correlated with 9572; ion correlated with 11187; ion correlated with 25829; ion correlated with 25926; ion correlated with 18196; ion correlated with 16445; ion correlated with 13974; ion correlated with 44997; ion correlated with 7802; ion correlated with 32160; ion correlated with 25931; ion correlated with 42117; found in higher mz's MsMs_32284; found in higher mz's MsMs_31101; found in higher mz's MsMs_32328; similar chromatogram in higher mz_34331; similar chromatogram in higher mz_32734; found in higher mz's MsMs_31116; similar chromatogram in higher mz_6911; similar chromatogram in higher mz_34397; similar chromatogram in higher mz_38047,0.235,TRUE,3.11,409.29245,C22H42O5,DG,WXFYTQNORIHBRD-UHFFFAOYNA-N,CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,96.8,97.9,9.1,75,100,4.07,SXY_FDUhhuang_461_pos,409.29712:19673 410.30047:11520 411.30383:2304,105.06559:81 107.0767:40 107.09412:81 109.09955:355 119.07793:40 119.09477:121 121.09482:81 123.1084:81 125.0319:40 133.09662:81 135.11101:81 137.13066:81 147.11491:121 149.13467:121 151.07335:202 157.08229:40 159.91864:40 161.15395:40 168.8551:35 172.59059:81 175.05968:40 177.09239:40 177.15773:121 186.10333:35 191.09677:81 191.10841:81 202.0968:40 203.10316:81 205.11334:40 213.15878:121 217.10931:40 217.11964:81 229.11057:40 230.12665:35 245.16539:81 327.31064:40 363.33817:35 409.30618:121 409.38281:162,1700,340,1937,17697,0,401819,15220,498,13917,2207,270702,338,405,67090,115026,520,1451,53580.47706,113031.6798
6255,11.197,409.30377,DG 19:0,[M+Na]+,ion correlated with 8179; ion correlated with 10740; ion correlated with 22209; ion correlated with 11532; ion correlated with 4138; ion correlated with 37529; ion correlated with 12020; ion correlated with 22139,0.294,TRUE,3.11,409.29245,C22H42O5,DG,WXFYTQNORIHBRD-UHFFFAOYNA-N,CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,91.3,99.7,46.2,75,100,9.85,SXY_FDUhhuang_461_pos,409.30145:53106 410.3048:191641 411.30816:282503,121.01815:40 131.08989:40 140.01781:35 143.08542:40 150.03433:81 153.06511:35 155.08499:81 163.14816:35 173.0985:40 177.09126:40 199.12325:40 217.14742:35 228.14639:40 241.11969:40 250.44641:35 277.28827:35 283.10468:81 294.12177:40 301.18878:35 311.19632:81 335.19873:35 351.19336:35 364.35651:81 391.2789:40 409.26532:121 409.34195:938,1289,0,649,134024,1245,1072856,123965,44156,105171,0,1352702,1654,221,81066,453852,2835,40,198571.9702,400734.0779
6258,14.649,409.30957,DG 19:0,[M+Na]+,similar chromatogram in higher mz_42763; similar chromatogram in higher mz_43252,0.235,TRUE,3.11,409.29245,C22H42O5,DG,WXFYTQNORIHBRD-UHFFFAOYNA-N,CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,92.9,99.3,45.3,75,100,9.55,SXY_FDUhhuang_191_pos,409.30072:4548 410.30407:1046 411.30743:0,109.09752:35 145.10371:35 306.24557:35 409.29047:40,40837,957,9872,42815,90058,83452,50802,28030,77822,7322,37460,23582,38921,58378,48156,18935,15747,39596.84473,26579.40524
6261,9.424,409.31622,DG 19:0,[M+Na]+,ion correlated with 31085,0.294,TRUE,3.11,409.29245,C22H42O5,DG,WXFYTQNORIHBRD-UHFFFAOYNA-N,CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,86.2,99.8,9.8,75,100,6.53,SXY_FDUhhuang_454_pos,409.30206:10208 410.30541:3720 411.30877:6818,107.04251:40 120.98905:40 121.023:81 130.0658:35 146.10345:35 149.02081:4479 149.06534:81 150.02258:1932 322.23624:81 339.21539:40 409.25189:121,1649579,326594,11159,312103,17142,660260,33415,166504,102023,209472,576525,174801,51199,129571,283624,48287,21316,280798.4307,400767.5047
6808,7.471,423.31906,DG 20:0,[M+Na]+,found in higher mz's MsMs_6811; adduct linked to 5994_[M+H]+; adduct linked to 6624_[M+NH4]+,0.294,TRUE,3.36,423.30811,C23H44O5,DG,TWGSXYKALSAVMI-UHFFFAOYNA-N,CCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.9,30.2,75,100,24.28,SXY_FDUhhuang_270_pos,423.31036:41135 424.31371:7978 425.31707:9378,123.11703:35 133.09918:81 141.07095:35 151.05034:40 157.09753:81 175.07217:40 191.10411:35 217.11729:40 217.12555:121 223.15105:35 295.2453:35 309.21375:35 373.28641:35 423.16751:40 423.32336:201,2580,5425,5814,500658,3743,24630460,497071,1104862,235022,5561,44511716,1663,3580,984102,1675602,6756,2547,4363362.387,11910710.95
6812,9.697,423.32294,DG 20:0,[M+Na]+,found in higher mz's MsMs_9726; similar chromatogram in higher mz_16496,0.353,TRUE,3.36,423.30811,C23H44O5,DG,TWGSXYKALSAVMI-UHFFFAOYNA-N,CCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,99.8,75,75,100,451.99,SXY_FDUhhuang_433_pos,423.31198:145934 424.31533:65465 425.31869:20666,103.05481:35 109.09943:81 123.11005:40 163.14645:40 165.09279:121 405.38217:40 421.99033:81 423.30832:107 423.34586:14403,24751,10116,65210,1094047,84412,46808980,701224,489347,1383268,9234,62259944,44000,32501,1557952,25573486,36723,30605,8247399.942,18660347.89
7431,2.872,437.31195,DG 21:0,[M+Na]+,,0.412,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,95.3,100,2.5,75,100,33.46,SXY_FDUhhuang_472_pos,437.3186:20661 438.32195:4530 439.32531:1510,147.06834:35 207.10478:40 207.11084:121 224.13074:40 300.16849:35 308.18347:80 308.1958:1266 341.20618:35 374.24649:161 392.25269:861 392.27768:121 437.16486:40 437.20297:202 437.33499:81,197014,44444,478109,152352,238511,26455,222598,349561,124693,182078,103967,132379,285289,961890,96257,495148,161460,250129.6875,226726.4883
7432,2.661,437.32397,DG 21:0,[M+Na]+,,0.059,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,25.5,75,100,16.3,SXY_FDUhhuang_445_pos,437.32397:52351 438.32732:16393 439.33068:1426,176.10736:35 210.18657:81 263.81927:35 270.27933:202 270.30008:161 271.28116:346 276.17834:121 292.22519:81 302.17416:121 303.18945:202 376.25967:316 377.259:3547 378.26511:81 437.32861:1152 437.34912:1024,3285,7351,162077,157,200856,0,156505,362558,3918,727937,7742,555000,23443,3209357,159657,7969,12743,329444.4048,772244.2042
7433,3.003,437.32672,DG 21:0,[M+Na]+,,0.176,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,89.4,100,16.7,75,100,30.19,SXY_FDUhhuang_439_pos,437.33231:59408 438.33566:16989 439.33902:5001,102.08899:81 207.11238:233 224.1366:162 270.26083:40 270.27237:344 271.28345:444 283.12213:40 290.19516:121 304.15759:35 308.19058:3160 308.21768:246 360.13422:121 374.21378:40 374.24091:2353 392.23312:79 392.25259:2227 392.28592:158 435.77277:81 437.17075:537 437.32623:2360,74631,54347,315472,72096,1244664,113379,789865,2534413,63748,450234,73875,432249,117047,3423014,294611,138820,164484,609232.2824,957717.0003
7435,2.588,437.32721,DG 21:0,[M+Na]+,,0.059,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,26.2,75,100,21.33,SXY_FDUhhuang_429_pos,437.32721:112923 438.33056:29241 439.33392:7700,102.09039:81 121.11048:35 123.08063:81 209.13004:81 219.13266:81 239.1767:35 267.16321:35 270.27457:807 271.28564:1105 276.18054:81 293.18512:81 293.20676:81 303.18454:121 303.19431:81 359.27472:81 376.25443:560 376.28162:81 377.2619:3520 402.3577:81 437.17056:508 437.32016:3122,0,7268,76038,0,99021,0,1108452,1151769,169,694400,3079,116581,13115,2894814,177831,421,13046,373882.6035,754245.7426
7436,4.722,437.32837,DG 21:0,[M+Na]+,,0.353,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,100,100,27.8,75,100,36.69,SXY_FDUhhuang_429_pos,437.32382:121389 438.32717:72516 439.33053:12573,107.08523:35 121.09164:35 137.08798:35 155.05132:35 161.131:81 173.12576:40 178.11723:35 203.17369:35 253.19339:35 270.27386:121 307.21521:40 356.20392:35 420.25378:35 437.3161:161,42028,58652,453681,222688,5651532,18607,1449863,2043143,32186,3363588,20405,1659673,73489,4140520,510405,5269,95099,1167107.591,1710437.057
7438,4.167,437.33032,DG 21:0,[M+Na]+,,0.059,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,98,100,57.1,75,100,29.51,SXY_FDUhhuang_430_pos,437.33032:102697 438.33367:37644 439.33703:26261,102.12508:121 121.11731:81 131.08066:40 133.09921:81 146.06296:121 157.09753:40 192.15854:35 255.12891:35 270.27484:202 271.27902:506 419.21991:40 419.31757:121 435.93039:40 437.33154:2177,3245,8579,64679,14914,1353942,3397,295885,1116211,14115,344343,0,153038,10898,1705527,183805,1091,7263,310642.9197,537099.8753
7444,6.951,437.33963,DG 21:0,[M+Na]+,,0.176,TRUE,3.61,437.32376,C24H46O5,DG,PPOHFHWYIBFTFK-UHFFFAOYNA-N,CCCCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,99,99.9,39.2,75,100,5.1,SXY_FDUhhuang_439_pos,437.32886:8553 438.33221:3190 439.33557:1183,109.09792:35 131.08612:35 150.02525:81 176.10843:35 350.28223:40 437.3338:81,34357,33431,140373,376591,229356,155006,404841,685939,197952,95160,261499,173231,112370,299319,209440,160100,144835,218458.8502,158681.0817
7316,9.409,435.3179,DG 21:1,[M+Na]+,similar chromatogram in higher mz_7364; similar chromatogram in higher mz_10027,0.294,TRUE,3.15,435.30811,C24H44O5,DG,QCAXDFJIMSZAGM-CLFYSBASNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,95.7,99.8,19.2,75,100,312.1,SXY_FDUhhuang_430_pos,435.31393:108899 436.31728:202734 437.32064:137020,105.08514:81 109.10338:81 121.09737:81 135.11703:35 143.08771:40 149.02289:81 163.13992:40 179.05765:35 192.09457:35 209.09827:35 229.0956:40 266.16498:35 276.10883:40 305.10553:35 313.20309:35 340.24811:35 394.26401:81 417.3927:40 427.28101:35 435.30426:121,5727359,2460381,675244,1641716,673611,2128437,615232,943796,660387,2548813,1740116,2183101,1276548,1259581,1668344,906874,807615,1642185.54,1240364.24
7317,12.921,435.32346,DG 21:1,[M+Na]+,,0.412,TRUE,3.15,435.30811,C24H44O5,DG,QCAXDFJIMSZAGM-CLFYSBASNA-N,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC\C=C/CCC,420,TRUE,TRUE,TRUE,,FALSE,FALSE,null,null,97.1,99.5,15.8,75,100,6.02,SXY_FDUhhuang_445_pos,435.31296:3276 436.31631:6587 437.31967:2475,119.09206:40 194.00186:35 273.9859:35 335.24014:40 435.30267:40 435.43146:81,52941,11619,40871,51711,61682,269873,68926,39426,67324,4055,306786,39119,73758,60868,104524,25022,51097,78211.85682,82816.57777
