Gene ID,Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
ENSMUSG00000070073,Mir470,X[-]66813951-66814025,0,0,0,0,0,0,0,0,0
ENSMUSG00000020758,Itgb4,11[+]115974709-116008412,761,2077,1102,270,1386,2868,1190,193,401
ENSMUSG00000069833,Ahnak,19[+]8989284-9076919,7247,7416,1309,11188,1978,3006,18003,6096,18634
ENSMUSG00000069830,Nlrp1a,11[-]71092236-71144704,15,22,2,0,19,0,7,13,0
ENSMUSG00000028238,Atp6v0d2,4[-]19876841-19922605,8,7,0,150,0,0,27,50,335
ENSMUSG00000033862,Cdk10,8[+]123224842-123232250,860,1578,1057,415,1258,1289,663,553,625
ENSMUSG00000033863,Klf9,19[+]23141226-23166911,1719,3744,1660,2213,1148,1159,2220,549,2257
ENSMUSG00000033860,Fgg,3[+]83007724-83015049,0,0,0,2,0,0,0,1746,0
ENSMUSG00000069835,Sat2,11[+]69622024-69623870,139,227,25,173,45,35,286,110,143
ENSMUSG00000028233,Tgs1,4[+]3574875-3616619,192,38,26,502,17,10,401,229,1225
ENSMUSG00000028232,Tmem68,4[-]3549041-3574853,52,63,54,526,20,26,152,112,802
ENSMUSG00000028236,Sdr16c5,4[-]3995936-4019663,0,0,0,0,0,0,0,0,0
ENSMUSG00000028234,Rps20,4[-]3831334-3835665,26396,55337,39127,9001,58484,27668,14722,34439,25738
ENSMUSG00000044537,Olfr779,10[+]129311180-129312108,0,0,0,0,0,0,0,0,0
ENSMUSG00000044534,Ackr2,9[+]121898355-121911074,248,125,20,3,176,18,299,86,19
ENSMUSG00000044533,Rps2,17[+]24718116-24721929,36503,79696,40086,20230,49101,33644,20416,30619,27359
ENSMUSG00000068120,Gm10231,17[-]5816200-5816640,498,951,220,342,251,178,313,187,280
ENSMUSG00000093857,Btbd35f22,X[+]32047829-32049325,0,0,0,0,0,0,0,0,0
ENSMUSG00000068129,Cst7,2[+]150570415-150578944,368,307,49,6,275,17,37,115,284
ENSMUSG00000104750,n-TStga1,13[+]23518142-23518250,0,0,0,0,0,0,0,0,0
ENSMUSG00000093851,Gm15089,X[+]149331749-149332944,0,0,0,0,0,0,0,0,0
ENSMUSG00000027405,Nop56,2[+]130274430-130279313,1755,1503,646,583,792,297,671,1220,1936
ENSMUSG00000027404,Snrpb,2[-]130171414-130179403,4934,14714,10651,3093,9573,9337,3831,1854,3544
ENSMUSG00000075167,Olfr1101,2[-]86986291-86991221,0,0,0,0,0,0,0,0,0
ENSMUSG00000027406,Idh3b,2[-]130279309-130284547,23690,42659,18161,15644,7731,8147,14967,5100,7636
ENSMUSG00000027401,Tgm3,2[+]130012349-130050399,30,32,30,6,6,0,10,4,0
ENSMUSG00000027400,Pdyn,2[-]129686565-129699844,0,0,0,0,0,2,0,0,0
ENSMUSG00000027403,Tgm6,2[+]130112416-130154232,0,0,0,2,0,0,0,0,0
ENSMUSG00000075162,Gm10812,10[+]44004154-44004701,0,0,0,6,0,0,0,0,0
ENSMUSG00000027409,1700020A23Rik,2[+]130405259-130406074,6,5,0,0,4,0,0,0,4
ENSMUSG00000027408,Cpxm1,2[-]130390775-130397574,4214,7889,3726,627,7223,3263,3321,1109,1535
ENSMUSG00000073730,4933415F23Rik,1[-]23100473-23102253,0,0,0,2,0,2,4,0,2
ENSMUSG00000108431,Gm44963,7[-]26304421-26307286,0,0,0,0,0,0,0,0,0
ENSMUSG00000018209,Stk4,2[+]164070322-164155524,2135,1077,568,878,1027,148,1115,438,4613
ENSMUSG00000044288,Cnr1,4[+]33924593-33948831,118,108,21,221,48,11,316,80,311
ENSMUSG00000108434,Gm45768,7[-]37317899-37321100,0,0,0,0,0,0,0,0,0
ENSMUSG00000000244,Tspan32,7[+]143005046-143019644,1823,1715,656,30,1204,86,281,615,941
ENSMUSG00000044285,Gm1821,14[+]46084126-46084815,12839,29860,12956,5453,18695,16444,13051,5862,6235
ENSMUSG00000044286,Olfr221,14[-]52033962-52042459,0,0,0,0,0,0,0,0,0
ENSMUSG00000108435,Gm45051,6[-]72347029-72348458,60,361,166,90,35,34,33,102,80
ENSMUSG00000042801,Olfr769,10[-]129108952-129117861,0,0,0,0,0,0,0,0,0
ENSMUSG00000108437,Gm19366,7[-]128013029-128013184,3,0,0,22,1,0,2,7,33
ENSMUSG00000006958,Chrd,16[+]20733127-20742384,294,901,502,236,598,1331,719,134,359
ENSMUSG00000087577,Gm13299,4[-]42121613-42153435,0,0,0,0,0,0,0,0,0
ENSMUSG00000087575,Gm12976,4[+]129261965-129265010,0,0,0,0,0,0,0,2,0
ENSMUSG00000087574,C030037D09Rik,11[+]88718645-88728893,119,184,145,130,61,117,143,45,52
ENSMUSG00000087571,Gm15202,X[+]161908223-161908777,0,0,0,0,0,0,0,0,0
ENSMUSG00000087570,Gm13647,2[+]71737815-71745397,0,0,0,0,0,0,0,0,0
ENSMUSG00000087579,1500017E21Rik,19[-]36614052-36705641,52,72,0,55,0,3,116,152,107
ENSMUSG00000087578,Ccdc142os,6[-]83106608-83109054,38,37,16,34,33,26,54,7,33
ENSMUSG00000058568,Defb50,8[+]21823539-21831296,0,0,0,0,0,0,2,0,0
ENSMUSG00000058569,Tmed9,13[+]55593135-55597663,4361,10027,6396,3016,6549,5832,4027,925,3421
ENSMUSG00000098011,Gm21232,13[+]87782971-87783976,0,1,0,0,0,0,0,0,0
ENSMUSG00000058567,Gm2531,18[-]10145453-10145965,0,0,0,4,0,0,0,0,6
ENSMUSG00000073862,Gm5600,7[-]113700890-113708442,0,0,0,0,0,0,0,0,0
ENSMUSG00000021583,Erap1,13[+]74639568-74693201,868,747,50,1813,239,78,1551,923,4155
ENSMUSG00000073860,Gm829,4[+]45683589-45723338,8,0,0,0,0,0,0,5,0
ENSMUSG00000021587,Pcsk1,13[+]75089826-75134861,4,0,0,6,0,0,0,6,17
ENSMUSG00000021585,Cast,13[-]74692368-74808810,2502,1520,474,3668,553,338,3819,1650,5532
ENSMUSG00000021589,Rhobtb3,13[-]75869537-75943925,103,96,64,257,17,37,227,174,446
ENSMUSG00000084065,Gm15159,X[+]155237498-155238261,0,0,0,0,0,0,0,0,0
ENSMUSG00000106513,Gm44348,8[+]86586962-86587083,0,0,0,0,2,0,0,0,0
ENSMUSG00000090497,Gm17611,13[-]49976258-49977074,0,0,0,0,0,0,0,0,0
ENSMUSG00000081342,Gm11434,11[+]83800464-83801092,0,1,0,0,0,0,0,6,2
ENSMUSG00000081343,Gm16071,9[+]31094202-31094994,6,2,3,1,3,0,1,0,14
ENSMUSG00000079034,Gm8300,12[+]87514316-87518266,0,0,0,0,0,0,0,0,0
ENSMUSG00000106512,Gm43078,3[+]35413833-35414000,0,0,0,0,0,0,0,0,0
ENSMUSG00000070075,Mir490,6[+]36421742-36421825,0,0,0,0,0,0,0,0,0
ENSMUSG00000086192,Gm13609,2[-]32016644-32017344,0,2,0,0,0,0,0,0,0
ENSMUSG00000086193,Gm11508,11[-]88011991-88048006,0,0,2,0,0,4,0,0,0
ENSMUSG00000086190,4930579M01Rik,8[-]47026805-47038177,0,0,0,0,0,0,0,0,0
ENSMUSG00000086191,Zfp652os,11[-]95700106-95712754,10,27,19,8,12,66,19,12,15
ENSMUSG00000086196,Gm13571,2[+]60338188-60371234,0,0,0,0,0,0,0,0,14
ENSMUSG00000086197,Gm13976,2[+]115344385-115346968,0,0,0,0,0,0,0,0,0
ENSMUSG00000086194,Gm16329,1[+]21354005-21355116,0,0,0,0,0,0,0,0,2
ENSMUSG00000086195,Gm6152,1[-]8855928-8856267,0,0,0,0,0,0,0,0,0
ENSMUSG00000030881,Arfip2,7[-]105634203-105640416,1639,2071,1667,1419,1811,1571,1073,950,1068
ENSMUSG00000026753,Ppp6c,2[-]39194354-39226451,329,464,281,2144,171,126,1189,1456,3214
ENSMUSG00000026750,Psmb7,2[-]38588036-38644087,5730,4232,384,6988,514,354,5593,2107,4093
ENSMUSG00000086199,Bcas3os1,11[-]85702200-85719744,0,0,0,2,3,0,2,0,12
ENSMUSG00000030884,Uqcrc2,7[+]120635176-120659524,16300,11757,1058,18396,636,372,10218,4494,7508
ENSMUSG00000026754,Golga1,2[-]39016155-39065541,356,276,121,310,233,60,424,295,634
ENSMUSG00000026755,Arpc5l,2[+]39005348-39015877,2478,5023,3739,2757,2804,1954,2035,2495,3815
ENSMUSG00000007338,Mrpl49,19[-]6053630-6057751,2296,2275,500,1576,506,510,2582,1199,1687
ENSMUSG00000070072,Mir433,12[+]109591715-109591838,0,0,0,0,0,0,0,0,0
ENSMUSG00000043003,Rasef,4[-]73714579-73790994,0,0,0,0,0,0,0,1,4
ENSMUSG00000081841,Gm13444,2[-]35483384-35483905,0,0,0,0,0,0,0,0,0
ENSMUSG00000059213,Ddn,15[-]98803782-98807925,37,86,36,44,79,153,121,46,89
ENSMUSG00000093362,Gm22802,14[+]111282046-111282134,0,0,0,0,0,0,1,0,0
ENSMUSG00000075833,Gm22003,12[+]4758547-4758653,0,0,0,0,0,0,0,0,0
ENSMUSG00000075832,Gm22004,12[+]86655125-86655231,0,0,0,0,0,0,0,0,0
ENSMUSG00000075837,Gm22005,2[-]3291378-3291518,0,0,0,1,0,0,0,0,0
ENSMUSG00000070078,Mir463,X[-]66799223-66799297,0,0,0,0,0,0,0,0,0
ENSMUSG00000086224,2700069I18Rik,3[-]5177586-5220841,4,7,0,7,4,0,21,10,33
ENSMUSG00000086225,Gm8661,9[-]100624974-100625965,0,0,0,0,0,0,0,0,0
ENSMUSG00000086226,Gm12660,11[-]50851332-50852582,0,0,0,0,0,0,0,0,0
ENSMUSG00000086227,Gm11820,4[+]13076140-13096806,0,0,0,0,0,0,0,0,0
ENSMUSG00000086220,Gm16599,5[+]136274996-136417894,0,0,0,0,0,0,0,0,0
ENSMUSG00000086221,4930412B13Rik,2[+]117821928-117909136,0,0,0,0,0,0,0,0,0
ENSMUSG00000086222,Gm11665,11[-]104556789-104557777,0,0,0,3,0,0,0,0,0
ENSMUSG00000083954,Gm12179,11[-]48551253-48552524,0,0,0,0,0,0,0,0,0
ENSMUSG00000086228,Ubap1l,9[+]65361041-65380377,8,32,25,4,11,16,20,0,7
ENSMUSG00000086229,Gm4887,7[+]104821204-104822256,19,15,3,3,0,0,13,1,6
ENSMUSG00000081643,Gm11605,1[-]63364720-63365365,458,1170,790,206,873,1030,402,235,191
ENSMUSG00000081642,Gm13532,2[-]57628989-57629228,1,0,0,6,0,0,1,1,7
ENSMUSG00000031876,Gm45711,8[-]104281347-104310081,0,0,0,0,0,0,0,0,0
ENSMUSG00000081640,Rplp0-ps1,3[+]93278141-93279073,7,16,7,7,19,4,2,1,8
ENSMUSG00000081647,Gm13022,4[-]132801970-132802254,1,4,4,0,2,4,4,0,3
ENSMUSG00000081646,Gm15060,X[+]145646506-145647453,0,0,0,0,0,0,0,0,0
ENSMUSG00000081649,Olfr213,6[+]116538456-116544292,0,0,0,0,0,0,0,0,0
ENSMUSG00000081648,Gm13423,2[+]23202033-23203683,2,0,0,14,0,0,0,83,16
ENSMUSG00000085553,Gm14808,X[+]99459025-99460753,0,6,0,0,7,8,0,2,0
ENSMUSG00000098558,Mir7049,7[-]28560925-28560984,1,2,1,1,1,2,1,0,1
ENSMUSG00000085551,1810063I02Rik,11[+]59921499-59921889,0,0,0,0,0,0,0,0,0
ENSMUSG00000085550,Gm15658,16[-]33770430-33787112,5,0,0,0,0,0,0,0,6
ENSMUSG00000085556,Gm15020,X[-]135122878-135152596,0,0,0,0,0,0,0,0,0
ENSMUSG00000085555,2610035F20Rik,14[-]122470284-122475199,0,0,0,0,0,0,0,0,0
ENSMUSG00000004446,Bid,6[-]120891930-120916853,1135,821,279,412,725,412,1007,480,1282
ENSMUSG00000098550,Mir7079,8[+]123104975-123105043,1,1,1,1,1,1,1,1,1
ENSMUSG00000098553,Mir3569,7[+]30589380-30589437,2,1,2,0,1,1,1,0,2
ENSMUSG00000085558,4930412C18Rik,4[+]9770585-9823411,41,70,43,157,21,22,203,73,63
ENSMUSG00000098555,Mir6341,1[+]12425986-12426106,0,0,0,0,0,0,0,0,0
ENSMUSG00000094675,Astx4b,X[+]124659500-124662385,0,0,0,0,0,0,0,0,0
ENSMUSG00000098557,Kctd12,14[-]102976581-102982637,1774,1778,1156,3294,1249,0,1583,249,7781
ENSMUSG00000094677,Gm22008,9[+]117999336-117999430,0,0,0,0,0,0,1,0,0
ENSMUSG00000089416,Gm22116,14[-]49520029-49520169,0,0,0,0,0,0,0,0,0
ENSMUSG00000089417,Gm22009,3[-]69085105-69085447,78,6,0,40,2,0,102,49,132
ENSMUSG00000089414,Gm22010,4[+]34006306-34006392,0,0,0,0,0,0,0,0,0
ENSMUSG00000089415,Gm22011,5[-]77669724-77669846,0,0,0,0,0,0,0,0,0
ENSMUSG00000089413,Gm22013,13[-]24486662-24486764,0,0,0,0,0,0,0,0,0
ENSMUSG00000089410,Gm22014,18[-]84737102-84737391,0,0,0,0,0,0,0,0,0
ENSMUSG00000077092,Mir742,X[-]66780373-66780437,0,0,0,0,0,0,0,0,0
ENSMUSG00000077090,Gm22117,10[-]60211185-60211251,2,0,0,0,0,0,0,0,0
ENSMUSG00000077096,Gm22015,12[-]91791610-91791674,0,0,0,0,0,0,0,0,0
ENSMUSG00000077095,Gm24342,2[+]10509584-10509687,0,0,0,0,0,0,0,0,0
ENSMUSG00000010051,Hyal1,9[+]107576927-107581710,1159,2284,274,398,87,131,712,100,223
ENSMUSG00000085885,Gm11906,4[+]24966517-25271099,0,0,0,0,2,0,0,0,0
ENSMUSG00000085884,Gm15342,16[+]96036090-96038743,0,0,0,0,0,0,2,0,8
ENSMUSG00000085887,Arhgap27os3,11[+]103344753-103350124,521,624,157,4,315,7,46,117,427
ENSMUSG00000085886,D030047H15Rik,7[-]4126340-4136926,8,0,2,4,5,4,5,2,6
ENSMUSG00000085881,Gm15912,13[-]74008009-74009354,38,98,25,52,27,33,82,43,51
ENSMUSG00000085880,Gm15229,X[-]166482220-166483617,2,1,0,0,0,0,0,0,4
ENSMUSG00000085883,Gm3848,14[-]11965447-11981223,0,0,0,0,0,0,0,0,0
ENSMUSG00000085882,2610507I01Rik,11[-]59199836-59202385,278,532,107,144,162,81,288,59,290
ENSMUSG00000085889,1700054M17Rik,2[+]118304914-118308166,0,0,0,0,0,0,0,0,0
ENSMUSG00000085888,Gm12224,11[-]54340369-54353479,0,0,0,22,0,186,0,0,2
ENSMUSG00000029919,Hpgds,6[-]65117293-65144908,166,115,24,231,60,1,182,144,464
ENSMUSG00000029918,Mrps33,6[-]39801804-39810988,1040,950,87,1412,84,62,1011,1002,1052
ENSMUSG00000100172,Gm4412,14[-]99291204-99291636,0,0,0,0,0,0,0,0,0
ENSMUSG00000043892,Olfr1018,2[+]85818479-85824221,0,0,0,0,0,0,0,0,0
ENSMUSG00000029915,Clec5a,6[-]40574894-40585821,20,0,0,58,0,0,34,74,113
ENSMUSG00000029917,C130060K24Rik,6[+]65381105-65458150,0,0,0,0,0,0,0,0,0
ENSMUSG00000029916,Agk,6[+]40325172-40396762,770,1144,533,555,413,480,751,201,629
ENSMUSG00000029911,Ssbp1,6[+]40471352-40484700,688,489,328,1136,352,259,962,790,1534
ENSMUSG00000029910,Mad2l1,6[+]66535390-66547220,142,225,127,362,253,61,226,396,536
ENSMUSG00000029913,Prdm5,6[+]65778988-65937010,74,79,26,97,44,44,139,37,121
ENSMUSG00000077549,Snord71,8[+]109839295-109839379,3,0,0,0,0,0,0,0,3
ENSMUSG00000070527,Mkrn3,7[-]62417593-62420139,28,38,26,42,33,22,64,2,30
ENSMUSG00000077545,Gm22018,8[+]68010340-68010470,2,3,0,0,0,0,3,0,1
ENSMUSG00000077547,Gm22019,7[-]141181216-141181311,0,0,0,0,0,0,0,0,0
ENSMUSG00000077546,Gm22020,2[-]62802489-62802624,0,0,0,0,0,0,0,0,0
ENSMUSG00000077541,Gm22021,14[+]104591094-104591200,0,0,0,0,0,0,0,0,0
ENSMUSG00000077543,Gm22022,11[-]34842228-34842354,0,0,0,0,0,0,0,0,0
ENSMUSG00000077542,Gm22023,X[+]164283096-164283225,0,0,0,0,0,0,0,0,0
ENSMUSG00000095108,Gm17467,X[-]123704324-123704791,0,0,0,0,0,0,0,0,0
ENSMUSG00000084682,Gm22024,8[+]83752918-83753204,0,0,0,0,0,0,0,0,0
ENSMUSG00000084683,Gm22025,X[-]140641960-140642261,0,0,0,0,0,0,0,0,0
ENSMUSG00000084684,Gm22026,3[-]14029482-14029762,0,0,0,0,0,0,0,0,0
ENSMUSG00000084686,Gm22027,3[+]96176361-96176487,0,2,0,1,1,1,1,0,9
ENSMUSG00000095101,Gm13285,4[+]88799665-88801126,2,2,1,1,2,1,2,1,1
ENSMUSG00000006179,Prss16,13[-]22002176-22009742,30,12,15,2,39,0,0,21,10
ENSMUSG00000095103,Gm21171,Y[-]65043717-65068377,0,0,0,0,0,0,0,0,0
ENSMUSG00000095102,n-R5s167,6[+]132591058-132591178,0,0,0,0,0,0,0,0,0
ENSMUSG00000095105,Edaradd,13[-]12472632-12520438,205,225,71,2,156,4,28,62,189
ENSMUSG00000095104,Esp15,17[+]39640957-39645666,0,0,0,0,0,0,0,0,0
ENSMUSG00000095107,Vmn2r-ps10,3[+]64621694-64623995,0,0,0,0,0,0,0,0,0
ENSMUSG00000098083,Gm8957,3[-]14511084-14512095,0,2,0,0,0,0,2,0,0
ENSMUSG00000098082,Gm20574,17[+]40854036-40868141,0,0,0,0,0,0,0,0,0
ENSMUSG00000098081,Gm26913,13[-]84690210-84690941,1,0,0,0,0,0,0,0,0
ENSMUSG00000098080,Gm5732,7[+]33402819-33403825,0,2,0,1,0,1,0,0,0
ENSMUSG00000098087,Gm17750,13[-]84025297-84064772,0,0,0,0,0,0,0,0,0
ENSMUSG00000035273,Hpse,5[-]100679484-100719716,974,689,265,168,515,93,576,425,813
ENSMUSG00000098085,Gm8919,3[-]11658497-11659510,0,0,0,0,0,0,0,0,0
ENSMUSG00000098084,Gm26914,6[+]130617488-130617710,0,0,0,0,0,0,0,0,0
ENSMUSG00000043263,Ifi209,1[+]173630917-173647928,302,19,4,199,19,2,275,2079,4516
ENSMUSG00000043262,Uevld,7[-]46923216-46958527,204,127,63,702,24,35,373,173,537
ENSMUSG00000098089,Gm26915,16[+]76144977-76145724,0,0,0,0,0,0,0,0,0
ENSMUSG00000098088,Gm26916,14[+]61629484-61630414,0,0,0,3,0,0,0,0,0
ENSMUSG00000043267,Olfr1031,2[+]85990304-85993704,0,0,0,0,0,0,0,0,0
ENSMUSG00000080590,Gm22029,3[-]55162314-55162434,0,0,0,0,0,0,0,0,0
ENSMUSG00000080592,Gm22030,8[-]35977516-35977578,0,0,0,0,0,0,0,0,0
ENSMUSG00000080594,Mir669h,2[+]10518155-10518279,0,0,0,0,0,0,0,0,0
ENSMUSG00000080595,Gm22031,15[-]3603272-3603397,0,0,0,0,0,0,0,0,0
ENSMUSG00000080596,Gm22032,15[-]17591566-17591681,0,0,0,0,0,0,0,0,0
ENSMUSG00000080597,Gm22033,4[-]132218439-132218528,0,0,0,0,0,1,0,0,0
ENSMUSG00000026047,Kdelc1,1[-]44106546-44118808,261,326,137,453,155,117,458,177,459
ENSMUSG00000075566,Krtap4-6,11[-]99665043-99665960,0,0,0,0,0,0,0,0,0
ENSMUSG00000073245,Gm14819,X[+]35404183-35427093,0,0,0,0,0,0,0,0,0
ENSMUSG00000035279,Ssc5d,7[+]4925785-4944826,706,1169,848,424,948,1780,1426,412,564
ENSMUSG00000026843,Fubp3,2[+]31572651-31617526,848,1605,890,744,855,690,888,244,406
ENSMUSG00000068122,Agtr2,X[+]21484544-21489164,0,0,0,0,0,0,0,0,0
ENSMUSG00000034435,Tmem30b,12[-]73543402-73546392,8,20,7,8,4,6,10,14,11
ENSMUSG00000034437,Gm9761,3[-]116560935-116561426,48,44,20,25,25,20,46,10,54
ENSMUSG00000034430,Zxdc,6[+]90369492-90403490,766,852,311,418,584,311,525,242,546
ENSMUSG00000034432,Cops8,1[+]90602981-90613341,888,1445,416,694,466,365,886,383,1048
ENSMUSG00000083488,Gm8534,X[+]153656606-153657371,0,0,0,0,0,0,0,0,0
ENSMUSG00000083487,Gm13888,2[-]105031866-105032287,0,0,0,0,0,0,0,0,0
ENSMUSG00000083486,Gm14521,X[-]12179718-12180067,0,0,0,0,0,0,0,0,0
ENSMUSG00000083485,Gm12308,11[-]69630924-69631312,0,0,0,0,0,0,0,0,2
ENSMUSG00000083484,Gm14574,X[+]40691785-40692063,0,0,0,0,0,0,0,0,0
ENSMUSG00000083483,Gm14044,2[-]130384883-130385329,21,13,2,21,8,5,11,44,41
ENSMUSG00000083482,Gm14706,X[-]76919856-76920110,1,0,0,0,0,0,0,2,2
ENSMUSG00000083481,Rps8-ps2,2[-]175804983-175805606,11,24,24,15,25,10,13,12,34
ENSMUSG00000074011,Gm7682,5[+]94445784-94448653,0,1,0,0,0,0,0,0,0
ENSMUSG00000113493,AC171200.1,13[+]13842242-13844250,0,0,0,0,0,0,0,0,0
ENSMUSG00000100628,Gm29648,Y[-]46347584-46348681,0,0,0,0,0,0,0,0,0
ENSMUSG00000044538,Obox3-ps8,17[-]36452294-36453253,0,0,0,0,0,0,0,0,0
ENSMUSG00000087908,Gm22034,1[-]102953415-102953548,0,0,0,0,0,0,0,0,0
ENSMUSG00000087909,Gm22035,13[-]38898360-38898587,0,0,0,0,0,0,0,0,0
ENSMUSG00000087904,Gm22036,6[-]141915078-141915292,0,0,0,0,0,0,0,0,0
ENSMUSG00000087905,Gm22037,15[-]43224625-43224920,0,0,0,0,0,0,0,0,0
ENSMUSG00000087902,Gm22038,3[-]82793656-82793897,0,0,0,0,0,0,0,0,0
ENSMUSG00000087903,Gm22039,4[+]143204065-143204196,0,0,0,0,0,0,0,0,0
ENSMUSG00000108620,Gm20670,7[+]64057602-64062958,0,0,0,0,0,0,0,0,0
ENSMUSG00000112984,CT033783.1,13[+]67965483-67970239,0,0,0,0,0,0,0,0,0
ENSMUSG00000113490,CT485612.5,12[-]88339911-88340774,0,0,0,0,0,0,0,0,0
ENSMUSG00000053914,Kdm4d,9[-]14462548-14500482,8,17,6,6,6,6,8,7,14
ENSMUSG00000053916,Nanp,2[-]151029685-151039398,124,78,49,148,44,10,102,70,254
ENSMUSG00000017723,Wfdc2,2[+]164562413-164568510,0,6,0,0,8,0,0,10,0
ENSMUSG00000017721,Pigt,2[+]164497520-164508301,5239,11386,5700,1548,6822,7062,3751,888,2089
ENSMUSG00000017720,Trp53tg5,2[-]164470301-164473724,0,0,0,0,0,0,3,0,2
ENSMUSG00000085469,Gm14242,2[-]161206689-161207280,0,0,0,0,0,0,0,0,0
ENSMUSG00000017724,Etv4,11[-]101769742-101785371,20,43,17,38,31,14,19,17,8
ENSMUSG00000009356,Lpo,11[-]87806428-87828289,18,37,0,0,16,0,0,24,4
ENSMUSG00000009350,Mpo,11[+]87793581-87804413,21,136,100,0,603,0,0,32,5
ENSMUSG00000110899,AC122305.1,9[-]45051424-45055344,54,27,8,183,19,6,8,8,6
ENSMUSG00000110898,AC156273.1,10[-]44902558-44943294,0,0,0,0,0,0,0,0,0
ENSMUSG00000015474,Ppt2,17[-]34616662-34628510,2239,4038,2000,1308,2982,2754,1660,399,1352
ENSMUSG00000015476,Prrt1,17[+]34629533-34633126,169,366,187,54,266,307,158,101,218
ENSMUSG00000078816,Prkcg,7[+]3289179-3331099,80,259,101,111,125,250,259,80,243
ENSMUSG00000078817,Nlrp12,7[-]3218784-3249740,39,79,16,2,9,6,0,18,0
ENSMUSG00000078815,Cacng6,7[+]3424195-3435667,0,0,2,61,2,147,2,0,0
ENSMUSG00000078812,Eif5a,11[-]69916714-69921958,21076,36515,15292,15559,14696,14462,11593,11406,13036
ENSMUSG00000015478,Rnf5,17[-]34601091-34603690,2440,6368,2728,1497,2008,2173,1862,1183,1420
ENSMUSG00000078810,Gp6,7[-]4363965-4397744,0,4,0,0,0,0,0,2,6
ENSMUSG00000099758,Gm10830,15[+]103102237-103105069,0,38,13,0,6,20,8,0,2
ENSMUSG00000099759,1700030C10Rik,12[-]20804381-20815779,82,73,34,75,17,42,30,43,39
ENSMUSG00000095339,Zscan4b,7[-]10900740-10905050,0,0,0,0,0,0,0,0,0
ENSMUSG00000048787,Dcun1d3,7[-]119852796-119896298,542,446,131,1575,171,139,1053,330,1359
ENSMUSG00000099750,Gm18827,12[+]91482053-91482842,0,0,0,0,0,2,2,0,0
ENSMUSG00000099751,1700022A22Rik,15[+]46324559-46373907,0,0,0,0,0,0,0,0,0
ENSMUSG00000099752,Gm29018,1[+]59014224-59059481,0,0,0,0,0,0,0,0,0
ENSMUSG00000099753,Gm28058,1[+]80098622-80098885,0,0,0,0,0,0,0,0,0
ENSMUSG00000099754,Vmn1r-ps34,6[+]90242272-90243214,0,0,0,0,0,0,0,0,0
ENSMUSG00000099755,Gm21114,Y[-]67339176-67339871,0,0,0,0,0,0,0,0,0
ENSMUSG00000099756,Gm28763,Y[-]32557996-32558442,0,0,0,0,0,0,0,0,0
ENSMUSG00000099757,BE692007,19[-]11470166-11484578,119,7,6,268,19,4,240,613,3447
ENSMUSG00000050296,Abca12,1[-]71242276-71414910,0,0,0,0,0,0,0,0,0
ENSMUSG00000075165,Olfr1105,2[-]87031260-87036531,0,0,0,0,0,0,0,0,0
ENSMUSG00000050295,Foxc1,13[+]31806633-31812476,41,98,61,103,66,153,147,59,100
ENSMUSG00000093509,Obox3-ps3,7[-]14931636-14933238,0,0,0,0,0,0,0,0,0
ENSMUSG00000093508,Mir5709,17[-]67026147-67026235,0,0,0,0,0,0,0,0,0
