Gene Name,Pos.,Count (COLD1),Count (COLD2),Count (COLD3),Count (COLD4),Count (RT1),Count (RT2),Count (RT3),Count (RT4),Count (RT5)
Fgg,3[+]83007724-83015049,0,0,0,2,0,0,0,1746,0
Sat2,11[+]69622024-69623870,139,227,25,173,45,35,286,110,143
Tgs1,4[+]3574875-3616619,192,38,26,502,17,10,401,229,1225
Tmem68,4[-]3549041-3574853,52,63,54,526,20,26,152,112,802
Sdr16c5,4[-]3995936-4019663,0,0,0,0,0,0,0,0,0
Rps20,4[-]3831334-3835665,26396,55337,39127,9001,58484,27668,14722,34439,25738
Olfr779,10[+]129311180-129312108,0,0,0,0,0,0,0,0,0
Ackr2,9[+]121898355-121911074,248,125,20,3,176,18,299,86,19
Rps2,17[+]24718116-24721929,36503,79696,40086,20230,49101,33644,20416,30619,27359
Gm10231,17[-]5816200-5816640,498,951,220,342,251,178,313,187,280
Btbd35f22,X[+]32047829-32049325,0,0,0,0,0,0,0,0,0
Cst7,2[+]150570415-150578944,368,307,49,6,275,17,37,115,284
n-TStga1,13[+]23518142-23518250,0,0,0,0,0,0,0,0,0
Gm15089,X[+]149331749-149332944,0,0,0,0,0,0,0,0,0
Nop56,2[+]130274430-130279313,1755,1503,646,583,792,297,671,1220,1936
Snrpb,2[-]130171414-130179403,4934,14714,10651,3093,9573,9337,3831,1854,3544
Olfr1101,2[-]86986291-86991221,0,0,0,0,0,0,0,0,0
Idh3b,2[-]130279309-130284547,23690,42659,18161,15644,7731,8147,14967,5100,7636
Tgm3,2[+]130012349-130050399,30,32,30,6,6,0,10,4,0
Pdyn,2[-]129686565-129699844,0,0,0,0,0,2,0,0,0
Tgm6,2[+]130112416-130154232,0,0,0,2,0,0,0,0,0
Gm10812,10[+]44004154-44004701,0,0,0,6,0,0,0,0,0
1700020A23Rik,2[+]130405259-130406074,6,5,0,0,4,0,0,0,4
Cpxm1,2[-]130390775-130397574,4214,7889,3726,627,7223,3263,3321,1109,1535
4933415F23Rik,1[-]23100473-23102253,0,0,0,2,0,2,4,0,2
Gm44963,7[-]26304421-26307286,0,0,0,0,0,0,0,0,0
Stk4,2[+]164070322-164155524,2135,1077,568,878,1027,148,1115,438,4613
Cnr1,4[+]33924593-33948831,118,108,21,221,48,11,316,80,311
Gm45768,7[-]37317899-37321100,0,0,0,0,0,0,0,0,0
Tspan32,7[+]143005046-143019644,1823,1715,656,30,1204,86,281,615,941
Gm1821,14[+]46084126-46084815,12839,29860,12956,5453,18695,16444,13051,5862,6235
Olfr221,14[-]52033962-52042459,0,0,0,0,0,0,0,0,0
Gm45051,6[-]72347029-72348458,60,361,166,90,35,34,33,102,80
Olfr769,10[-]129108952-129117861,0,0,0,0,0,0,0,0,0
Gm19366,7[-]128013029-128013184,3,0,0,22,1,0,2,7,33
Chrd,16[+]20733127-20742384,294,901,502,236,598,1331,719,134,359
Gm13299,4[-]42121613-42153435,0,0,0,0,0,0,0,0,0
Gm12976,4[+]129261965-129265010,0,0,0,0,0,0,0,2,0
C030037D09Rik,11[+]88718645-88728893,119,184,145,130,61,117,143,45,52
Gm15202,X[+]161908223-161908777,0,0,0,0,0,0,0,0,0
Gm13647,2[+]71737815-71745397,0,0,0,0,0,0,0,0,0
1500017E21Rik,19[-]36614052-36705641,52,72,0,55,0,3,116,152,107
Ccdc142os,6[-]83106608-83109054,38,37,16,34,33,26,54,7,33
Defb50,8[+]21823539-21831296,0,0,0,0,0,0,2,0,0
Tmed9,13[+]55593135-55597663,4361,10027,6396,3016,6549,5832,4027,925,3421
Gm21232,13[+]87782971-87783976,0,1,0,0,0,0,0,0,0
Gm2531,18[-]10145453-10145965,0,0,0,4,0,0,0,0,6
Gm5600,7[-]113700890-113708442,0,0,0,0,0,0,0,0,0
Erap1,13[+]74639568-74693201,868,747,50,1813,239,78,1551,923,4155
Gm829,4[+]45683589-45723338,8,0,0,0,0,0,0,5,0
Pcsk1,13[+]75089826-75134861,4,0,0,6,0,0,0,6,17
Cast,13[-]74692368-74808810,2502,1520,474,3668,553,338,3819,1650,5532
Rhobtb3,13[-]75869537-75943925,103,96,64,257,17,37,227,174,446
Gm15159,X[+]155237498-155238261,0,0,0,0,0,0,0,0,0
Gm44348,8[+]86586962-86587083,0,0,0,0,2,0,0,0,0
Gm17611,13[-]49976258-49977074,0,0,0,0,0,0,0,0,0
Gm11434,11[+]83800464-83801092,0,1,0,0,0,0,0,6,2
Gm16071,9[+]31094202-31094994,6,2,3,1,3,0,1,0,14
Gm8300,12[+]87514316-87518266,0,0,0,0,0,0,0,0,0
Gm43078,3[+]35413833-35414000,0,0,0,0,0,0,0,0,0
Mir490,6[+]36421742-36421825,0,0,0,0,0,0,0,0,0
Gm13609,2[-]32016644-32017344,0,2,0,0,0,0,0,0,0
Gm11508,11[-]88011991-88048006,0,0,2,0,0,4,0,0,0
4930579M01Rik,8[-]47026805-47038177,0,0,0,0,0,0,0,0,0
Zfp652os,11[-]95700106-95712754,10,27,19,8,12,66,19,12,15
Gm13571,2[+]60338188-60371234,0,0,0,0,0,0,0,0,14
Gm13976,2[+]115344385-115346968,0,0,0,0,0,0,0,0,0
Gm16329,1[+]21354005-21355116,0,0,0,0,0,0,0,0,2
Gm6152,1[-]8855928-8856267,0,0,0,0,0,0,0,0,0
Arfip2,7[-]105634203-105640416,1639,2071,1667,1419,1811,1571,1073,950,1068
Ppp6c,2[-]39194354-39226451,329,464,281,2144,171,126,1189,1456,3214
Psmb7,2[-]38588036-38644087,5730,4232,384,6988,514,354,5593,2107,4093
Bcas3os1,11[-]85702200-85719744,0,0,0,2,3,0,2,0,12
Uqcrc2,7[+]120635176-120659524,16300,11757,1058,18396,636,372,10218,4494,7508
Golga1,2[-]39016155-39065541,356,276,121,310,233,60,424,295,634
Arpc5l,2[+]39005348-39015877,2478,5023,3739,2757,2804,1954,2035,2495,3815
Mrpl49,19[-]6053630-6057751,2296,2275,500,1576,506,510,2582,1199,1687
Mir433,12[+]109591715-109591838,0,0,0,0,0,0,0,0,0
Rasef,4[-]73714579-73790994,0,0,0,0,0,0,0,1,4
Gm13444,2[-]35483384-35483905,0,0,0,0,0,0,0,0,0
Ddn,15[-]98803782-98807925,37,86,36,44,79,153,121,46,89
Gm22802,14[+]111282046-111282134,0,0,0,0,0,0,1,0,0
Gm22003,12[+]4758547-4758653,0,0,0,0,0,0,0,0,0
Gm22004,12[+]86655125-86655231,0,0,0,0,0,0,0,0,0
Gm22005,2[-]3291378-3291518,0,0,0,1,0,0,0,0,0
Mir463,X[-]66799223-66799297,0,0,0,0,0,0,0,0,0
2700069I18Rik,3[-]5177586-5220841,4,7,0,7,4,0,21,10,33
Gm8661,9[-]100624974-100625965,0,0,0,0,0,0,0,0,0
Gm12660,11[-]50851332-50852582,0,0,0,0,0,0,0,0,0
Gm11820,4[+]13076140-13096806,0,0,0,0,0,0,0,0,0
Gm16599,5[+]136274996-136417894,0,0,0,0,0,0,0,0,0
4930412B13Rik,2[+]117821928-117909136,0,0,0,0,0,0,0,0,0
Gm11665,11[-]104556789-104557777,0,0,0,3,0,0,0,0,0
Gm12179,11[-]48551253-48552524,0,0,0,0,0,0,0,0,0
Ubap1l,9[+]65361041-65380377,8,32,25,4,11,16,20,0,7
Gm4887,7[+]104821204-104822256,19,15,3,3,0,0,13,1,6
Gm11605,1[-]63364720-63365365,458,1170,790,206,873,1030,402,235,191
Gm13532,2[-]57628989-57629228,1,0,0,6,0,0,1,1,7
Gm45711,8[-]104281347-104310081,0,0,0,0,0,0,0,0,0
Rplp0-ps1,3[+]93278141-93279073,7,16,7,7,19,4,2,1,8
Gm13022,4[-]132801970-132802254,1,4,4,0,2,4,4,0,3
Gm15060,X[+]145646506-145647453,0,0,0,0,0,0,0,0,0
Olfr213,6[+]116538456-116544292,0,0,0,0,0,0,0,0,0
Gm13423,2[+]23202033-23203683,2,0,0,14,0,0,0,83,16
Gm14808,X[+]99459025-99460753,0,6,0,0,7,8,0,2,0
Mir7049,7[-]28560925-28560984,1,2,1,1,1,2,1,0,1
1810063I02Rik,11[+]59921499-59921889,0,0,0,0,0,0,0,0,0
Gm15658,16[-]33770430-33787112,5,0,0,0,0,0,0,0,6
Gm15020,X[-]135122878-135152596,0,0,0,0,0,0,0,0,0
2610035F20Rik,14[-]122470284-122475199,0,0,0,0,0,0,0,0,0
Bid,6[-]120891930-120916853,1135,821,279,412,725,412,1007,480,1282
Mir7079,8[+]123104975-123105043,1,1,1,1,1,1,1,1,1
Mir3569,7[+]30589380-30589437,2,1,2,0,1,1,1,0,2
4930412C18Rik,4[+]9770585-9823411,41,70,43,157,21,22,203,73,63
Mir6341,1[+]12425986-12426106,0,0,0,0,0,0,0,0,0
Astx4b,X[+]124659500-124662385,0,0,0,0,0,0,0,0,0
Kctd12,14[-]102976581-102982637,1774,1778,1156,3294,1249,0,1583,249,7781
Gm22008,9[+]117999336-117999430,0,0,0,0,0,0,1,0,0
Gm22116,14[-]49520029-49520169,0,0,0,0,0,0,0,0,0
Gm22009,3[-]69085105-69085447,78,6,0,40,2,0,102,49,132
Gm22010,4[+]34006306-34006392,0,0,0,0,0,0,0,0,0
Gm22011,5[-]77669724-77669846,0,0,0,0,0,0,0,0,0
Gm22013,13[-]24486662-24486764,0,0,0,0,0,0,0,0,0
Gm22014,18[-]84737102-84737391,0,0,0,0,0,0,0,0,0
Mir742,X[-]66780373-66780437,0,0,0,0,0,0,0,0,0
Gm22117,10[-]60211185-60211251,2,0,0,0,0,0,0,0,0
Gm22015,12[-]91791610-91791674,0,0,0,0,0,0,0,0,0
Gm24342,2[+]10509584-10509687,0,0,0,0,0,0,0,0,0
Hyal1,9[+]107576927-107581710,1159,2284,274,398,87,131,712,100,223
Gm11906,4[+]24966517-25271099,0,0,0,0,2,0,0,0,0
Gm15342,16[+]96036090-96038743,0,0,0,0,0,0,2,0,8
Arhgap27os3,11[+]103344753-103350124,521,624,157,4,315,7,46,117,427
D030047H15Rik,7[-]4126340-4136926,8,0,2,4,5,4,5,2,6
Gm15912,13[-]74008009-74009354,38,98,25,52,27,33,82,43,51
Gm15229,X[-]166482220-166483617,2,1,0,0,0,0,0,0,4
Gm3848,14[-]11965447-11981223,0,0,0,0,0,0,0,0,0
2610507I01Rik,11[-]59199836-59202385,278,532,107,144,162,81,288,59,290
1700054M17Rik,2[+]118304914-118308166,0,0,0,0,0,0,0,0,0
Gm12224,11[-]54340369-54353479,0,0,0,22,0,186,0,0,2
Hpgds,6[-]65117293-65144908,166,115,24,231,60,1,182,144,464
Mrps33,6[-]39801804-39810988,1040,950,87,1412,84,62,1011,1002,1052
Gm4412,14[-]99291204-99291636,0,0,0,0,0,0,0,0,0
Olfr1018,2[+]85818479-85824221,0,0,0,0,0,0,0,0,0
Clec5a,6[-]40574894-40585821,20,0,0,58,0,0,34,74,113
C130060K24Rik,6[+]65381105-65458150,0,0,0,0,0,0,0,0,0
Agk,6[+]40325172-40396762,770,1144,533,555,413,480,751,201,629
Ssbp1,6[+]40471352-40484700,688,489,328,1136,352,259,962,790,1534
Mad2l1,6[+]66535390-66547220,142,225,127,362,253,61,226,396,536
Prdm5,6[+]65778988-65937010,74,79,26,97,44,44,139,37,121
Snord71,8[+]109839295-109839379,3,0,0,0,0,0,0,0,3
Mkrn3,7[-]62417593-62420139,28,38,26,42,33,22,64,2,30
Gm22018,8[+]68010340-68010470,2,3,0,0,0,0,3,0,1
Gm22019,7[-]141181216-141181311,0,0,0,0,0,0,0,0,0
Gm22020,2[-]62802489-62802624,0,0,0,0,0,0,0,0,0
Gm22021,14[+]104591094-104591200,0,0,0,0,0,0,0,0,0
Gm22022,11[-]34842228-34842354,0,0,0,0,0,0,0,0,0
Gm22023,X[+]164283096-164283225,0,0,0,0,0,0,0,0,0
Gm17467,X[-]123704324-123704791,0,0,0,0,0,0,0,0,0
Gm22024,8[+]83752918-83753204,0,0,0,0,0,0,0,0,0
Gm22025,X[-]140641960-140642261,0,0,0,0,0,0,0,0,0
Gm22026,3[-]14029482-14029762,0,0,0,0,0,0,0,0,0
Gm22027,3[+]96176361-96176487,0,2,0,1,1,1,1,0,9
Gm13285,4[+]88799665-88801126,2,2,1,1,2,1,2,1,1
Prss16,13[-]22002176-22009742,30,12,15,2,39,0,0,21,10
Gm21171,Y[-]65043717-65068377,0,0,0,0,0,0,0,0,0
n-R5s167,6[+]132591058-132591178,0,0,0,0,0,0,0,0,0
Edaradd,13[-]12472632-12520438,205,225,71,2,156,4,28,62,189
Esp15,17[+]39640957-39645666,0,0,0,0,0,0,0,0,0
Vmn2r-ps10,3[+]64621694-64623995,0,0,0,0,0,0,0,0,0
Gm8957,3[-]14511084-14512095,0,2,0,0,0,0,2,0,0
Gm20574,17[+]40854036-40868141,0,0,0,0,0,0,0,0,0
Gm26913,13[-]84690210-84690941,1,0,0,0,0,0,0,0,0
Gm5732,7[+]33402819-33403825,0,2,0,1,0,1,0,0,0
Gm17750,13[-]84025297-84064772,0,0,0,0,0,0,0,0,0
Hpse,5[-]100679484-100719716,974,689,265,168,515,93,576,425,813
Gm8919,3[-]11658497-11659510,0,0,0,0,0,0,0,0,0
Gm26914,6[+]130617488-130617710,0,0,0,0,0,0,0,0,0
Ifi209,1[+]173630917-173647928,302,19,4,199,19,2,275,2079,4516
Uevld,7[-]46923216-46958527,204,127,63,702,24,35,373,173,537
Gm26915,16[+]76144977-76145724,0,0,0,0,0,0,0,0,0
Gm26916,14[+]61629484-61630414,0,0,0,3,0,0,0,0,0
Olfr1031,2[+]85990304-85993704,0,0,0,0,0,0,0,0,0
Gm22029,3[-]55162314-55162434,0,0,0,0,0,0,0,0,0
Gm22030,8[-]35977516-35977578,0,0,0,0,0,0,0,0,0
Mir669h,2[+]10518155-10518279,0,0,0,0,0,0,0,0,0
Gm22031,15[-]3603272-3603397,0,0,0,0,0,0,0,0,0
Gm22032,15[-]17591566-17591681,0,0,0,0,0,0,0,0,0
Gm22033,4[-]132218439-132218528,0,0,0,0,0,1,0,0,0
Kdelc1,1[-]44106546-44118808,261,326,137,453,155,117,458,177,459
Krtap4-6,11[-]99665043-99665960,0,0,0,0,0,0,0,0,0
Gm14819,X[+]35404183-35427093,0,0,0,0,0,0,0,0,0
Ssc5d,7[+]4925785-4944826,706,1169,848,424,948,1780,1426,412,564
Fubp3,2[+]31572651-31617526,848,1605,890,744,855,690,888,244,406
Agtr2,X[+]21484544-21489164,0,0,0,0,0,0,0,0,0
Tmem30b,12[-]73543402-73546392,8,20,7,8,4,6,10,14,11
Gm9761,3[-]116560935-116561426,48,44,20,25,25,20,46,10,54
Zxdc,6[+]90369492-90403490,766,852,311,418,584,311,525,242,546
Cops8,1[+]90602981-90613341,888,1445,416,694,466,365,886,383,1048
Gm8534,X[+]153656606-153657371,0,0,0,0,0,0,0,0,0
Gm13888,2[-]105031866-105032287,0,0,0,0,0,0,0,0,0
Gm14521,X[-]12179718-12180067,0,0,0,0,0,0,0,0,0
Gm12308,11[-]69630924-69631312,0,0,0,0,0,0,0,0,2
Gm14574,X[+]40691785-40692063,0,0,0,0,0,0,0,0,0
Gm14044,2[-]130384883-130385329,21,13,2,21,8,5,11,44,41
Gm14706,X[-]76919856-76920110,1,0,0,0,0,0,0,2,2
Rps8-ps2,2[-]175804983-175805606,11,24,24,15,25,10,13,12,34
Gm7682,5[+]94445784-94448653,0,1,0,0,0,0,0,0,0
AC171200.1,13[+]13842242-13844250,0,0,0,0,0,0,0,0,0
Gm29648,Y[-]46347584-46348681,0,0,0,0,0,0,0,0,0
Obox3-ps8,17[-]36452294-36453253,0,0,0,0,0,0,0,0,0
Gm22034,1[-]102953415-102953548,0,0,0,0,0,0,0,0,0
Gm22035,13[-]38898360-38898587,0,0,0,0,0,0,0,0,0
Gm22036,6[-]141915078-141915292,0,0,0,0,0,0,0,0,0
Gm22037,15[-]43224625-43224920,0,0,0,0,0,0,0,0,0
Gm22038,3[-]82793656-82793897,0,0,0,0,0,0,0,0,0
Gm22039,4[+]143204065-143204196,0,0,0,0,0,0,0,0,0
Gm20670,7[+]64057602-64062958,0,0,0,0,0,0,0,0,0
CT033783.1,13[+]67965483-67970239,0,0,0,0,0,0,0,0,0
CT485612.5,12[-]88339911-88340774,0,0,0,0,0,0,0,0,0
Kdm4d,9[-]14462548-14500482,8,17,6,6,6,6,8,7,14
Nanp,2[-]151029685-151039398,124,78,49,148,44,10,102,70,254
Wfdc2,2[+]164562413-164568510,0,6,0,0,8,0,0,10,0
Pigt,2[+]164497520-164508301,5239,11386,5700,1548,6822,7062,3751,888,2089
Trp53tg5,2[-]164470301-164473724,0,0,0,0,0,0,3,0,2
Gm14242,2[-]161206689-161207280,0,0,0,0,0,0,0,0,0
Etv4,11[-]101769742-101785371,20,43,17,38,31,14,19,17,8
Lpo,11[-]87806428-87828289,18,37,0,0,16,0,0,24,4
Mpo,11[+]87793581-87804413,21,136,100,0,603,0,0,32,5
AC122305.1,9[-]45051424-45055344,54,27,8,183,19,6,8,8,6
AC156273.1,10[-]44902558-44943294,0,0,0,0,0,0,0,0,0
Ppt2,17[-]34616662-34628510,2239,4038,2000,1308,2982,2754,1660,399,1352
Prrt1,17[+]34629533-34633126,169,366,187,54,266,307,158,101,218
Prkcg,7[+]3289179-3331099,80,259,101,111,125,250,259,80,243
Nlrp12,7[-]3218784-3249740,39,79,16,2,9,6,0,18,0
Cacng6,7[+]3424195-3435667,0,0,2,61,2,147,2,0,0
Eif5a,11[-]69916714-69921958,21076,36515,15292,15559,14696,14462,11593,11406,13036
Rnf5,17[-]34601091-34603690,2440,6368,2728,1497,2008,2173,1862,1183,1420
Gp6,7[-]4363965-4397744,0,4,0,0,0,0,0,2,6
Gm10830,15[+]103102237-103105069,0,38,13,0,6,20,8,0,2
1700030C10Rik,12[-]20804381-20815779,82,73,34,75,17,42,30,43,39
Zscan4b,7[-]10900740-10905050,0,0,0,0,0,0,0,0,0
Dcun1d3,7[-]119852796-119896298,542,446,131,1575,171,139,1053,330,1359
Gm18827,12[+]91482053-91482842,0,0,0,0,0,2,2,0,0
1700022A22Rik,15[+]46324559-46373907,0,0,0,0,0,0,0,0,0
Gm29018,1[+]59014224-59059481,0,0,0,0,0,0,0,0,0
Gm28058,1[+]80098622-80098885,0,0,0,0,0,0,0,0,0
Vmn1r-ps34,6[+]90242272-90243214,0,0,0,0,0,0,0,0,0
Gm21114,Y[-]67339176-67339871,0,0,0,0,0,0,0,0,0
Gm28763,Y[-]32557996-32558442,0,0,0,0,0,0,0,0,0
BE692007,19[-]11470166-11484578,119,7,6,268,19,4,240,613,3447
Abca12,1[-]71242276-71414910,0,0,0,0,0,0,0,0,0
Olfr1105,2[-]87031260-87036531,0,0,0,0,0,0,0,0,0
Foxc1,13[+]31806633-31812476,41,98,61,103,66,153,147,59,100
Obox3-ps3,7[-]14931636-14933238,0,0,0,0,0,0,0,0,0
Mir5709,17[-]67026147-67026235,0,0,0,0,0,0,0,0,0
Gm20627,3[-]96254619-96256277,18,13,26,3,62,27,34,7,5
Gm20691,3[-]68903820-68904152,11,24,20,6,17,17,3,2,8
Vmn1r-ps24,6[-]66753380-66754279,0,0,0,0,0,0,0,0,0
Vmn2r-ps4,3[+]64328660-64332853,0,0,0,0,0,0,0,0,0
Gm20700,5[+]48590889-48599994,0,0,0,0,0,0,0,0,0
Vmn1r22,6[-]57899959-57901054,0,0,0,0,0,0,0,0,0
Gm9843,16[-]76403209-76403712,3385,7867,5025,532,7836,3481,1707,1971,1604
Olfr1104,2[-]87020703-87027080,0,0,0,0,0,0,0,0,0
4833422M21Rik,15[-]96231870-96254684,0,0,0,0,0,0,0,0,2
Gm26507,18[+]58210252-58221885,0,0,0,0,0,0,0,0,0
Gm10687,9[-]44122186-44134485,295,611,307,621,314,952,1075,241,910
1110019D14Rik,6[+]13871526-14044385,36,13,0,167,0,0,169,51,178
Gm2061,1[-]185447116-185455568,0,0,0,0,0,0,0,0,0
Gm26508,11[+]119077573-119081865,2,0,4,0,0,0,0,0,3
Gm17597,15[-]81800791-81802613,23,47,2,12,12,6,32,12,31
Gm26509,1[+]106090068-106091015,0,0,0,0,0,0,0,4,2
Gm29554,Y[+]12273932-12306702,0,0,0,0,0,0,0,0,0
A930012L18Rik,18[+]44661665-44676271,0,0,0,0,4,0,9,0,4
Olfr1107,2[-]87068671-87075817,0,0,0,0,0,0,0,0,0
Olfr626-ps1,7[-]103691800-103692117,0,0,0,0,0,0,0,0,0
AC079680.1,10[+]71181036-71204487,0,0,0,0,0,0,0,0,0
AC160028.1,10[-]118714481-118715726,1,0,0,0,0,0,0,0,1
CT009738.1,12[-]5235156-5235964,2,0,0,0,0,0,0,0,0
AC153887.2,10[+]78591713-78593411,0,0,0,0,0,0,0,0,0
AC157515.1,12[-]55142109-55151007,3,0,0,63,0,0,14,37,53
Lilr4b,10[+]51480632-51486703,213,217,17,334,30,8,282,209,477
Ripk2,4[-]16122733-16163647,266,510,275,409,292,193,366,355,758
Cyyr1,16[-]85421533-85553397,385,481,221,2158,177,127,831,524,1874
AC168315.1,10[-]88134566-88135853,0,2,2,4,0,0,0,4,4
AC158600.1,10[-]118335423-118337831,16,12,2,2,5,1,8,1,6
Gm45558,7[-]105108305-105110199,0,0,0,0,0,0,0,0,0
Olfr1098,2[-]86920949-86924545,0,0,0,0,0,0,0,0,0
Srsf6,2[+]162931528-162937121,4714,7252,2905,5178,3401,1470,4306,4239,11193
Olfr1099,2[-]86955126-86960693,0,0,0,0,0,0,0,0,0
Mir5046,19[-]6829886-6829944,1,1,1,1,1,1,1,1,1
Gm24717,10[+]129695978-129696101,0,0,0,0,0,0,0,0,0
Insc,7[+]114743694-114850383,21,77,43,23,31,99,60,28,35
Gm22042,4[-]51812483-51812647,0,1,1,0,4,0,1,0,1
Rpl30,15[-]34440505-34443640,13937,12640,731,6719,1902,789,10319,19226,18338
Rpl28-ps1,1[+]128038569-128038982,181,256,121,140,311,246,90,170,233
Gm22043,3[+]40992693-40992850,1,1,0,2,0,0,0,37,4
Gm22044,8[-]79014364-79014470,0,0,0,0,0,0,0,0,0
Rpl31-ps20,19[+]30160620-30160997,2,0,0,1,1,0,1,1,1
Vmn1r5,6[+]56985295-56986350,0,0,0,0,0,0,0,0,2
Gm22045,15[+]96671793-96671900,0,0,0,0,0,0,0,0,0
Gm17217,7[-]41573277-41573745,0,0,0,0,0,0,0,0,0
Vmn2r46,7[-]9754636-9770571,1,0,0,2,0,0,0,0,2
Fbxo6,4[-]148145716-148152140,1696,3960,1655,1184,1409,1542,1344,768,961
4933427D06Rik,6[+]88950683-89110031,0,0,0,0,0,0,0,0,0
Gm28557,13[-]67069399-67108604,47,97,18,30,29,29,160,75,309
Map6,7[+]99267447-99337137,961,1631,474,1013,846,999,1307,543,630
Hottip,6[+]52262775-52267603,0,0,0,0,0,0,0,0,0
Nell1,7[+]49974864-50866608,0,0,0,0,0,0,0,0,0
Enthd1,15[-]80452240-80560470,9,11,0,1,6,0,4,0,5
Gm28233,Y[+]53142435-53143976,0,0,0,0,0,0,0,0,0
Usp29,7[+]6730578-6967219,0,8,0,2,0,0,2,6,2
Gm21887,X[+]170009659-170019281,562,1330,758,78,1357,1962,359,362,606
Olfr424,1[+]174131517-174138257,0,0,0,0,0,0,0,0,0
Gm45148,7[+]6179975-6183561,4,3,11,3,10,5,8,0,6
Gm45085,7[+]47349453-47349893,0,0,0,0,0,0,0,0,0
Gm44652,7[+]118480495-118483348,0,0,0,6,0,0,10,0,2
Gm5890,7[-]20260451-20262834,0,0,0,0,0,0,0,0,0
Gm45065,7[+]71097047-71123594,0,0,0,0,0,0,0,0,0
4930598N05Rik,10[+]10184800-10258699,0,0,0,0,0,0,0,0,0
Gm44528,7[-]83864590-83865481,0,0,0,0,0,0,2,0,0
2900027M19Rik,8[-]9685829-9690276,0,0,0,0,0,0,0,0,0
Gm18061,7[+]22711539-22712345,0,0,0,0,0,0,0,0,0
Gm44709,7[+]28314898-28318873,5,19,21,1,27,15,5,29,19
CR974429.3,12[-]13788557-13790252,0,0,0,0,0,0,0,0,0
CU024886.1,13[-]16638077-16639490,0,0,0,0,0,0,0,0,0
CT485612.10,12[-]88353313-88354686,2,3,1,1,2,0,1,0,2
AC135667.1,13[+]46060597-46068765,0,0,0,0,0,0,0,0,0
AC132237.3,12[-]68340465-68445833,0,0,0,0,0,0,0,0,0
AC124752.1,13[-]4915714-4943052,0,0,0,3,0,0,0,3,11
CT573034.4,13[-]62387651-62387933,1,1,0,0,0,0,0,0,1
AC160340.1,12[-]100440697-100444660,0,4,0,11,0,0,2,0,0
AC131743.4,13[+]9352028-9352689,0,0,0,0,0,0,0,0,0
AC091458.6,12[-]110046686-110086423,0,0,0,0,0,0,0,0,0
Gm37617,3[+]71894835-71894993,0,0,0,0,0,0,0,0,0
Gm36927,9[-]85342511-85344351,6,6,0,5,0,0,4,0,11
1700030O20Rik,10[-]116723067-116729177,0,0,0,0,0,0,0,0,0
Il25,14[+]54932695-54935837,2,4,0,0,0,2,0,0,0
Oard1,17[+]48410014-48417266,655,562,60,646,106,48,811,750,1176
Gm22047,7[-]59791844-59791937,0,0,0,0,0,0,0,0,0
Cept1,3[-]106502260-106547802,193,51,12,1879,61,45,514,75,3095
Gm9772,17[-]22006510-22007301,0,0,0,0,0,0,0,0,0
Igkv4-51,6[-]69681406-69681975,35,43,0,0,263,0,0,8,13
Fbxw25,9[-]109645122-109664652,0,0,0,0,0,0,0,0,0
Gm17412,X[-]123483317-123483814,0,0,0,0,0,0,0,0,0
Gm22050,7[-]59559599-59559677,0,0,0,0,0,0,0,0,0
CT025680.6,9[-]38907173-38907847,0,0,0,0,0,0,0,0,0
