st_gene_id	gene_id	gene_symbol	exp_I_0_1	exp_I_0_2	exp_I_0_3	exp_I_2_1	exp_I_2_2	exp_I_2_3	exp_I_7_1	exp_I_7_2	exp_I_7_3
G10090_4235	70584	Pak4	12.33	11.24	11.26	7.64	7.73	8.21	6.53	6.42	6.23
G10090_16837	22375	Wars	43.57	43.96	40.63	19.04	19.02	19.15	26.32	26.39	22.6
G10090_18285	317750	Slc24a5	0.11	0	0.12	0.18	0.11	0	0.16	0	0
G10090_9713	63993	Slc5a7	0	0	0.06	0	0	0	0.05	0.03	0.04
G10090_14887	18605	Enpp1	1.22	1.35	1.32	1.06	0.76	0.77	3.48	3.78	3.2
G10090_668	77422	C330018D20Rik	5.17	3.86	4.01	6.2	5.61	5.78	4.07	3.83	3.21
G10090_14405	73090	2900092C05Rik	0	0.25	0	0	0	0	0	0	0
G10090_24476	18655	Pgk1	203.61	200.15	192.09	201.3	221.85	245.16	144.46	125.3	126.19
G10090_687	23947	Mid2	5.29	5.32	5.97	3.32	3.12	2.68	6.14	6.47	5.87
G10090_4465	320438	Alg6	3.95	3.71	3.69	2.74	2.81	2.89	1.94	2.2	2.2
G10090_4126	72500	Ier5l	27.28	26.63	30.75	41.54	40.27	38.47	27.98	26.98	28.9
G10090_29534	71764	C2cd2l	5.29	5.46	5.25	6.63	6.54	7.4	4.02	4.41	4.29
G10090_4564	56874	Rnf32	0.42	0.14	0.04	0.13	0.12	0.17	0.13	0.19	0.32
G10090_2659	432600	Gm11568	0	0	0	0	0	0	0	0	0.06
G10090_16218	232798	Leng8	21.31	22.62	22.79	31.42	29.38	28.56	23.95	27.43	25.59
G10090_28327	107271	Yars	37.36	36.37	36.6	19.71	21.9	21.34	19.7	19.63	18.88
G10090_10057	56198	Heyl	0.16	0.08	0.04	0.05	0.14	0.08	0.01	0.04	0.01
G10090_15361	239554	Foxred2	1.57	1.64	1.61	1.82	1.78	2.17	1.9	1.73	1.69
G10090_20841	102641028	LOC102641028	0	0.08	0.11	0.04	0.04	0.08	0.11	0.11	0.21
G10090_31012	66074	Tmem167	6.87	6.4	6.51	11.99	11.67	12.65	6.03	5.6	5.37
G10090_23832	13850	Ephx2	1.18	1.38	1.26	34.08	33.42	34.82	7.97	12.08	9.39
G10090_33740	108755	Lyrm2	9.27	6.95	7.07	9.57	10.2	10.27	8.3	9.86	8.17
G10090_9323	78390	Pla2g4d	0	0	0	0	0.02	0	0	0	0
G10090_4969	105014	Rdh14	7.55	7.33	7.37	11.24	9.05	10.34	8.79	8.63	8.64
G10090_15347	368202	Prss48	0	0	0.02	0.02	0.02	0.02	0	0.01	0
G10090_8049	223922	Atf7	13.66	13.72	13.65	20.73	18.86	18.56	22.43	24.35	24.78
G10090_5532	28006	Washc2	19.11	19.47	19.31	15.98	17.06	18.14	23.85	22.36	22.36
G10090_6786	21408	Zfp354a	0.97	1.22	1.02	0.94	0.89	0.77	1.28	0.95	0.76
G10090_7258	231807	BC037034	4.42	4.7	5.48	6.93	6.58	5.58	5.5	5.72	4.85
G10090_3477	11717	Ampd3	28.48	29.85	31.59	10.48	10.97	8.57	35.58	37.73	34.93
G10090_8210	76974	Urah	0	0	0.11	0	0	0.11	0	0.08	0
G10090_19182	72040	Cdhr5	0	0	0	0.03	0.03	0	0	0.04	0
G10090_3205	116848	Baz2a	11.1	11.98	11.62	11.75	12.03	11.44	10.46	11	11.56
G10090_11699	218543	Srek1	15.44	16.84	18.3	23.79	22.34	26.01	13.71	13.13	13.33
G10090_32907	72632	Smim18	0.24	0	0	0	0	0	0.24	0	0
G10090_14112	217707	Coq6	8.68	9.12	8.25	9.28	9.64	8.79	7.02	8.06	6.07
G10090_31334	240411	Loxhd1	0	0	0.01	0	0	0	0.01	0	0.01
G10090_3053	380928	Lmo7	1.46	1.11	1.61	0.35	0.24	0.28	0.84	1.18	1.17
G10090_7402	102639054	102639054	0	0	0.04	0	0	0	0	0	0
G10090_3159	19188	Psme2	31.76	31.04	25.51	36.2	35.11	39.41	41.89	39.98	36.78
G10090_20045	67510	Tvp23b	14.01	15.83	13.09	16.01	15.4	15.69	16.07	15.38	15.34
G10090_6766	107686	Snrpd2	102.82	84.38	82.13	81.14	76.61	95.93	53.75	42.49	49.76
G10090_6896	74442	Sgms2	5.87	6.31	6.26	1.56	1.68	1.76	2.46	2.45	2.34
G10090_16704	110902	Chrna2	0.03	0.02	0.02	0.07	0.1	0.08	0	0.07	0.05
G10090_14213	14852	Gspt1	39.73	39.93	39.2	32.26	33.79	34.45	21.94	20.58	20.78
G10090_4953	19280	Ptprs	34.57	35.04	35.02	47.55	48.15	47.74	48.12	46.54	49.72
G10090_14292	234290	BC030500	0	0.12	0.04	0	0	0	0	0	0
G10090_13532	234839	Piezo1	69.48	67.61	67.69	43.61	45.09	43.44	54.28	58.24	56.91
G10090_671	74450	Pank2	9.81	9.81	9.82	13.64	13.1	12.86	11.03	10.04	9.68
G10090_33330	667277	C1rb	0	0	0	0.04	0	0.04	0	0	0
G10090_8658	433766	Trim63	0.03	0.03	0	0	0	0	0.16	0.26	0.21
G10090_19262	319178	Hist1h2bb	0.15	0.33	0.16	0	0.32	0	0	0.16	0.17
G10090_21475	100125586	Vmn2r2	0	0.02	0.02	0.03	0.07	0.02	0	0	0
G10090_30019	110308	Krt5	0	0.08	0	0	0	0	0	0	0.06
G10090_2799	58187	Cldn10	0	0.29	0.07	0.64	0.7	0.83	0.27	0.14	0.23
G10090_28917	66607	Ms4a4d	18.41	18.7	16.27	70.41	77.3	83.03	97.45	95.21	104.72
G10090_20314	331532	Tceal5	1.28	0.68	1.22	0.42	0.32	0.22	0.25	0.07	0.35
G10090_26325	232146	Eva1a	1.9	2.14	2.39	0.18	0.07	0.17	0.07	0.07	0.15
G10090_6462	72502	Cwf19l1	4.69	3.75	4.88	4.31	4.8	4.51	3.68	3.11	3.5
G10090_21750	622404	Ccdc107	19.07	16.24	17.32	22.68	23.49	26.77	16.28	13.75	14.43
G10090_19839	69256	Zfp397	5.61	5.57	5.69	6.34	6.69	6.46	7.2	6.88	5.6
G10090_15929	74522	Morc2a	13.21	13.04	13.5	17.15	17.8	16.16	11.36	12.1	11.89
G10090_18538	328833	Treml2	0	0	0	0	0.01	0	0	0	0
G10090_11883	16526	Kcnk2	1.66	1.47	1.65	0.09	0.19	0.07	1.5	1.44	1.1
G10090_7102	69806	Slc39a11	11.97	10.96	12.38	7.56	9.03	8.53	10.95	11.16	11.45
G10090_6142	52440	Tax1bp1	44.02	48.92	44.95	59.86	62.36	63.64	53.61	55.07	51.63
G10090_26139	107513	Ssr1	85.47	86.75	85.73	71.76	72.33	80.34	44.98	44.14	44.74
G10090_24064	54218	B3galt4	1.23	1.09	0.98	1.12	1.37	1.48	2.04	1.59	2.07
G10090_16443	99334	Zscan29	3.91	3.98	3.77	4.52	3.98	4.72	4.56	4.86	4.55
G10090_20873	66464	Taf12	21.62	23.76	22.11	30.2	31.37	31.46	17.71	15.85	18.13
G10090_8490	79565	Mettl27	1.55	1.94	1.44	3.01	3.5	3.72	5.32	6.22	6.36
G10090_12842	18113	Nnmt	25.28	23.84	23.11	63.48	67.13	63.9	57.11	43.48	49.63
G10090_8850	56380	Arid3b	0.85	0.7	0.88	0.59	0.48	0.28	0.6	0.66	0.57
G10090_6125	20439	Siah2	5.29	5.29	5.97	4.01	4.15	3.47	2.66	2.47	3.25
G10090_11899	13524	Adam18	0.05	0	0.05	0	0	0	0.02	0.03	0.03
G10090_18407	72324	Plxdc1	0.11	0	0	0.08	0.06	0.02	0.76	0.59	0.54
G10090_10397	72077	Gcnt3	0	0	0.01	0	0	0	0	0	0
G10090_7131	381760	Ssbp1	14.59	14.12	15.46	17.47	15.25	16.34	11.7	11.33	12.25
G10090_15690	74316	Isca2	14.77	12.55	13.06	21.54	19.16	16.24	16.38	12.03	14.04
G10090_14832	12212	Chic1	0.8	1.12	0.91	1.35	1.45	1.73	1.18	1.41	1.49
G10090_2473	433375	Creg1	17.44	15.38	14.09	27.5	29.89	28.16	42.93	40.69	37.8
G10090_4185	194952	Jmjd4	2.75	2.54	3.04	3.1	3.34	2.95	2.45	2.72	2.35
G10090_24943	71742	Ulk3	3.22	2.63	2.83	1.97	2.09	1.82	3.2	2.65	2.24
G10090_16635	22247	Umps	17.62	18.26	18.91	14.9	14.27	14.65	5.85	5.81	5.74
G10090_33155	17898	Myl7	0.12	0.26	0.25	0	0	0	0	0	0
G10090_17095	19712	Rest	8.64	8.96	8.2	6.96	6.11	5.97	6.46	5.98	6.39
G10090_7706	17281	Fyco1	10.09	10.24	10.71	8.45	8.24	7.7	13.45	13.78	14.38
G10090_24375	67657	Rabl3	8.48	6.85	7.41	3.89	5.04	3.94	3.53	4.1	4.05
G10090_9889	18028	Nfib	9.75	10.56	9.5	12.59	11.38	10.91	10.32	10.44	12
G10090_18243	12504	Cd4	0	0	0	0.02	0	0	0	0.02	0
G10090_9498	67230	Zfp329	2.01	2.23	1.95	2.81	2.64	2.86	2.37	2.54	2.4
G10090_5503	269389	Tox2	0.04	0.04	0.04	0.04	0	0.07	0	0	0
G10090_20130	319480	Itga11	12.09	12.35	11.15	4.19	4	4.45	64.64	72.7	65.77
G10090_26541	59288	Dctn5	35.83	35.93	36.03	37.55	35.06	39.68	38.96	36.47	36.52
G10090_8967	67210	Gatad1	46.74	43.94	44.95	24.21	26.46	26.69	27.44	25.74	27.82
G10090_20912	66882	Bzw1	116.28	122.67	116.99	190.39	180.04	197.83	79.7	73.44	72.77
G10090_11245	101055939	Gm4869	0	0.02	0.02	0	0.02	0	0.02	0.04	0.02
G10090_21703	109663	Hoxc11	5.47	5.49	6.77	4.45	2.62	3.59	4.26	3.52	4.78
G10090_12134	75106	4930519F16Rik	0	0	0	0	0	0	0	0.03	0
G10090_12868	18479	Pak1	12.7	14.05	13.78	8.86	9.62	10.46	11.71	11.01	11.31
G10090_4542	70190	2610036A22Rik	1.14	1.12	0.9	0.8	0.7	0.94	1.16	1.33	1.05
G10090_11816	14534	Kat2a	28.58	27.04	28.64	35.31	31.67	31.75	17.35	16.81	17.41
G10090_2070	66126	Elof1	32.03	28.59	26.95	26.22	27.9	27.57	22.75	20	25.7
G10090_22265	13803	Enc1	58.31	57.02	57.15	76.21	74.59	68.8	43.95	39.94	44.1
G10090_17696	628416	Gm6878	0	0.01	0	0	0	0.01	0	0.02	0
G10090_23857	74365	Lonrf3	0.47	0.38	0.42	2.26	2.32	1.89	0.65	0.56	0.69
G10090_13034	52592	Brms1l	16.56	16.45	16.61	15.59	15.83	15.72	12.37	12.41	13.66
G10090_6303	22040	Trex1	10.29	10.24	10.12	12.68	12.97	11.34	17.36	11.6	11.4
G10090_18465	22385	Baz1b	34.75	36.94	37.23	38.2	38.7	38.59	27.44	28.13	28.33
G10090_8086	239827	Pigz	0.03	0.06	0	0.09	0.08	0.01	0.14	0.09	0.24
G10090_8534	20583	Snai2	48.14	51.55	46.78	58.1	55.16	59.94	42.21	41.87	44.21
G10090_2197	19261	Sirpa	16.31	17.41	17.04	20.64	23.77	22.41	32.22	28.2	30.65
G10090_9585	11775	Ap3b2	0.03	0.03	0.02	0.08	0.08	0.08	0.05	0.06	0.05
G10090_8988	140477	Dmbx1	0	0	0.01	0	0.01	0	0	0	0
G10090_16211	22371	Vwf	0.03	0.03	0.06	0	0.01	0.02	0.03	0.01	0.04
G10090_17626	229697	Cym	0	0	0	0	0.05	0	0	0	0
G10090_5263	243547	Grip2	0.07	0.02	0.03	0.09	0.14	0.1	0.18	0.25	0.19
G10090_12919	330812	Rnf150	2.05	2.49	2.07	2.58	3.06	2.89	5.01	5.76	4.9
G10090_13216	268417	Zkscan17	13.52	11.98	13.02	9.9	9.69	9.01	10.89	12.32	11.26
G10090_6541	15354	Hmgb3	11.33	11.15	11.96	8.37	9.19	10.4	1.4	3.07	2.3
G10090_3866	215193	Diexf	5.29	5.61	6.57	6.75	6.76	5.62	4.25	4.18	4.64
G10090_25595	14784	Grb2	27.16	28.87	27.56	28.2	26.63	28.84	28.88	30.34	25.87
G10090_9879	19207	Ptch2	0.3	0.29	0.21	0.1	0.04	0.11	0.9	1.78	1.22
G10090_20737	70611	Fbxo33	4.37	4.49	4.48	5.83	5.66	5.75	3.84	4.13	4.11
G10090_19541	101055745	Gm29721	0	0	0	0	0	0	0	0.06	0
G10090_29658	22431	Wt1	0.06	0	0.04	0.04	0.04	0.04	0.04	0	0.02
G10090_6628	73469	Rnf38	8.43	8.41	8.46	8.57	8.57	7.35	9.53	9.53	8.69
G10090_7672	100503915	Smpd5	0.2	0.1	0.17	0.3	0.23	0.1	0.28	0.28	0.36
G10090_15838	270599	Gm648	0.07	0	0.07	0	0.07	0	0.07	0	0
G10090_22039	106766	Stap2	0.24	0.21	0.16	0.13	0.2	0.05	0.32	0.68	0.36
G10090_33048	243510	Ccdc142	0.91	1.03	1.04	1.22	1.21	1.24	1.15	1.31	1.6
G10090_16182	72085	Osgepl1	4.52	4.39	3.37	5.37	4.44	3.55	2.76	3.06	2.68
G10090_4594	74117	Actr3	158.71	156.34	162.02	76.09	75.92	75.69	95.14	87.05	85.9
G10090_10741	11459	Acta1	26.66	22.23	26.95	1.46	1.51	1.21	4.53	3.99	3.88
G10090_9325	68877	Maf1	17.21	17.22	16.42	20.87	24.5	23.38	27.47	27.13	28.88
G10090_1667	228355	Madd	1.2	1.2	1.28	0.92	1.05	0.91	1.06	0.94	1.15
G10090_7762	19697	Rela	37.41	35.3	36.02	28.69	28.79	26.59	34.32	35.6	34.27
G10090_1886	19035	Ppib	233.26	218.43	229.97	278.94	300.14	322.18	270.45	250.53	242.06
G10090_8284	225908	Myrf	1.61	1.45	1.49	0.32	0.46	0.28	1.65	1.66	1.78
G10090_20219	319322	Sf3b2	73.25	75.39	69.97	74.17	74.04	73.8	56.63	58.77	61.7
G10090_30083	68632	Myct1	0	0.02	0	0	0	0	0	0.02	0.02
G10090_13154	68348	Serpina1f	0.02	0.02	0.04	0	0	0	0	0	0
G10090_1933	17913	Myo1c	122.34	119.22	120.01	31.55	34.33	34.39	72.02	72.49	71.38
G10090_6501	17191	Mbd2	36.94	41.81	40.21	36.16	37.22	38.29	47.21	46.4	45.08
G10090_20238	433804	Zfp985	0.02	0	0	0	0.02	0	0.04	0	0.05
G10090_14606	11936	Fxyd2	0.78	0.91	1.62	1.77	1.21	1.05	2.09	0.92	1.17
G10090_14861	60425	Doc2g	0.46	0.49	0.49	1.04	0.61	0.99	0.93	1.07	1.03
G10090_1283	381582	Tmem240	0.21	0.24	0.14	0.19	0.25	0.18	0.36	0.47	0.69
G10090_20500	68920	1110065P20Rik	17.2	14.34	13.6	15.38	14.83	16.29	13.45	11.66	17.4
G10090_1345	14991	H2-M3	2.71	2.89	2.5	2.15	2.54	3.14	5.03	4.9	5.15
G10090_32339	14284	Fosl2	59.15	61.37	58.26	76.31	72.06	72.02	53.89	53.6	55.16
G10090_1685	18795	Plcb1	0.99	0.9	0.93	4.59	4.76	4.52	1.67	1.61	1.73
G10090_21498	67439	Xab2	10.21	10.84	10.17	15.57	16.47	15.1	11.11	11.3	12.26
G10090_13197	14272	Fnta	25.34	23.94	23.94	31.48	32.15	33.97	29.58	25.14	27.65
G10090_16995	19674	Rcvrn	0	0	0	0.25	0.18	0.12	0	0.06	0
G10090_20420	20302	Ccl3	0	0	0	0	0	0	0.34	0.34	0.09
G10090_31155	67876	Coq10b	25.28	26.93	26.15	11.11	11.18	10.63	14.74	13.49	13.78
G10090_7714	93703	Pcdhgb6	7.32	7.57	7.35	9.13	10.02	10.36	13.65	16	14.05
G10090_2997	229363	Gmps	16.74	16.77	17.88	15.59	16.17	16.06	9.77	8.76	8.83
G10090_10696	17992	Ndufa4	194.13	176.81	185.46	277.84	258.73	260.53	168.13	154.12	148.82
G10090_15697	51813	Ccnc	12.55	11.59	11.97	10.15	9.21	9.53	7.52	7.35	6.81
G10090_8320	71091	Cdkl1	1.62	1.19	1.34	0.09	0.13	0.13	1	1.32	0.83
G10090_31059	15944	Irgm1	13.36	14.19	12.54	3.51	2.98	3.84	21.09	13.14	14.53
G10090_15271	12315	Calm3	184.04	192.67	180.08	157.38	161.75	149.67	204.46	185.93	189.21
G10090_16988	100041306	Gm3264	1	1.22	1.31	1.61	0.58	0.65	0.87	0.8	0.27
G10090_23361	101056408	Gm15816	0.09	0.04	0	0	0	0	0.05	0.2	0.14
G10090_10304	100502777	Gm38422	0.54	0.6	0.3	0.54	0.53	0.47	0.33	0.38	0.36
G10090_17192	67422	Dhdds	13.19	12.67	12.92	16.38	16.86	14.58	13.49	13.63	14.45
G10090_5835	246317	Neto1	0.02	0	0	0.08	0.04	0.06	0	0.02	0.01
G10090_1847	208117	Aph1b	2.04	2.32	2.45	2.61	3.02	2.75	3.13	3.41	3.1
G10090_25155	232187	Smyd5	27.59	26.41	27.19	14.87	16.1	16.27	11.99	10.33	11.2
G10090_18075	19744	Rheb	64.06	64.91	65.97	42.06	41.38	41.29	50.38	46.34	43.35
G10090_20061	11568	Aebp1	247.32	234.58	252.82	218.74	227.29	257.62	584.63	605.51	580.74
G10090_27837	14473	Gc	0	0	0	0	0.03	0	0.03	0.03	0
G10090_15558	75555	1700020D05Rik	0.38	0.53	0.83	0.33	0.38	0.19	0.38	0.25	0.77
G10090_11786	19217	Ptger2	0.03	0.06	0.06	0	0	0	0	0.02	0.03
G10090_20375	105245868	Gm48909	0	0	0	0	0.07	0	0	0	0
G10090_25486	13874	Ereg	3.21	2.76	3.64	1.97	1.59	1.7	1.03	0.8	0.98
G10090_19890	15002	H2-Ob	0	0	0	0	0	0	0	0.02	0
G10090_5540	381836	Sbk2	0.06	0	0.06	0.06	0	0	0.06	0.12	0.06
G10090_1986	232491	Pyroxd1	6.34	7.29	7.17	6.2	5.45	6.03	5.94	6.11	6.05
G10090_21720	110648	Lmx1a	0	0.02	0.04	0.27	0.25	0.23	0.15	0.17	0.14
G10090_18878	59053	Hgh1	4.14	3.65	3.59	5.69	4.88	5.53	3.02	2	3.62
G10090_5400	20536	Slc4a3	5.22	5.1	4.27	5.35	4.94	5.25	8.92	9.07	8.91
G10090_19373	78908	Igsf3	3.14	3.34	2.94	4.14	3.71	3.67	4.81	5.24	5.36
G10090_18990	67272	Cmtm5	0	0.16	0	0	0	0.07	0.07	0	0.08
G10090_14904	228361	Ambra1	9.29	10.04	10.22	13.08	12.57	11.73	10.75	11.25	10.12
G10090_14621	195727	Nhs	0.8	1.05	1.02	0.86	1.07	0.79	1.22	1.16	1.56
G10090_25083	16952	Anxa1	666.68	640.99	654.06	231.54	237.73	219.08	294.76	277.42	272.69
G10090_11820	101867	Rrp8	19.6	19.49	19.79	13.13	14.04	14.61	8.62	7.77	9.16
G10090_6889	230809	Pdik1l	2.14	2.26	1.96	1.68	2.12	1.65	1.55	1.68	1.42
G10090_32093	320184	Lrrc58	22.28	23.21	23.13	22.53	21.75	19.97	23.02	24.43	23.46
G10090_28271	17906	Myl2	0.22	0	0.46	0.12	0.11	0	0	0	0
G10090_3106	20970	Sdc3	33.15	30.57	33.61	5.62	6.37	6	21.68	20.77	20.81
G10090_17389	67139	Mis12	19.26	20.04	18.47	16.35	17.96	19.15	9.36	9.48	9.72
G10090_28041	66220	Zdhhc12	15.59	12.97	14.76	10.25	11.03	12.9	8.08	9.42	9.02
G10090_22923	74711	Ttll9	0.26	0.08	0.08	0.16	0.19	0.08	0.07	0.1	0.23
G10090_3045	66599	Rdm1	1.87	1.8	1.69	2	2.22	1.94	2.86	3.74	3.63
G10090_11610	70894	Efcab3	0	0	0	0	0	0	0	0.03	0.02
G10090_8165	69553	Ripor3	0.89	1.02	0.89	5.18	6.84	7.26	3.19	3.09	3.05
G10090_27826	24015	Abce1	76.47	78.47	79.76	75.88	73.42	74.91	36.47	34.26	37.04
G10090_20402	244962	Snx14	11.68	11.68	11.69	16.14	16.37	16.63	12.34	12.68	11.89
G10090_18871	243914	Lgi4	0.72	0.77	0.77	0.4	0.57	0.46	7.76	8.1	8.3
G10090_9509	12946	Cr1l	29.22	29.42	28.78	29.95	26.91	27.43	28.37	29.41	27.12
G10090_103	67726	Fam114a2	14.38	15.45	15.43	19.53	19.14	22.26	16.67	15.76	16.55
G10090_943	108899	2700081O15Rik	9.85	8.22	8.68	11	12.02	11.42	13.43	14.12	12.55
G10090_18840	11774	Ap3b1	24.27	26.34	24.2	23.21	22.15	23.22	26.45	25.96	26.11
G10090_4496	333088	Kcp	0.81	0.86	0.65	2.24	2.42	2.03	4.21	3.93	3.94
G10090_10772	70247	Psmd1	70.11	69.87	68.07	52.94	55.65	55.85	40.23	40.67	41.06
G10090_13671	117148	Necab2	0.09	0.14	0.04	0.14	0	0.13	0.22	0.22	0.1
G10090_447	74440	Cmip	32.68	30.05	32.85	29.72	28.22	29.91	26.39	29.67	30.54
G10090_10564	229725	Clcc1	12.61	13.91	11.69	18.63	17.48	17.38	10.72	9.23	10
G10090_15941	12316	Aspm	6.48	8.06	7.46	4.92	4.77	5.35	0.62	0.69	0.67
G10090_21072	50766	Crim1	43.48	42.84	47.22	11.11	11.15	10.7	12.63	13.55	14.07
G10090_1950	83436	Plekha2	13.99	15.28	14.49	12.02	12.71	12.7	19.86	19.09	17.21
G10090_343	14766	Adgrg1	1.84	1.38	1.35	0.3	0.28	0.26	1	1.2	0.87
G10090_28741	100039848	Gm2457	0	0	0	0	0.12	0	0	0	0.08
G10090_29409	11555	Adrb2	0.62	0.55	0.48	0.35	0.26	0.18	0.68	0.55	0.64
G10090_10626	319586	Celf5	0.68	0.87	1.3	1.03	1.19	0.99	2.94	2.79	3.03
G10090_15262	270672	Map3k15	0.37	0.29	0.35	0.4	0.38	0.37	0.55	0.43	0.4
G10090_5781	217893	Pacs2	13.06	13.86	12.66	6.75	7.56	6.92	18.27	19.29	17.46
G10090_9547	11804	Aplp2	67.69	68.77	70.34	134.67	129.22	124.82	102.28	104.11	104.74
G10090_15769	66411	Tbcb	29.09	27.82	30.94	21.54	21.01	23.4	23.56	20.97	24.36
G10090_1334	230735	Epha10	0.03	0	0	0	0	0	0	0.01	0
G10090_2574	16408	Itgal	0	0.05	0.04	0.01	0	0	0.01	0.05	0
G10090_13754	100198	H6pd	40.89	41.64	39.91	59.86	62.86	63.05	52.71	57.99	50.23
G10090_5680	71865	Fbxo30	7.77	9.16	8.75	4.91	5.96	6.26	5.93	5.78	5.94
G10090_30034	17149	Magoh	46.72	45.36	48.64	41.05	35.4	39.02	29.03	26.24	25.31
G10090_6828	76357	Trmt5	8.96	10.02	9.35	9.84	8.62	8.45	5.38	6.07	5.61
G10090_30065	71909	Haus5	8.39	7.85	8.23	6.97	6.61	6.53	1.59	1.49	1.6
G10090_19856	57230	Sap30bp	16.47	16.65	14.86	16.62	17.51	17.24	12.68	13.39	12.78
G10090_19307	78896	1500015O10Rik	1.18	1.64	0.53	7.21	8.13	8.26	48.11	47.66	50.65
G10090_14013	12236	Bub1b	20.63	21.6	21.24	17.01	17.41	18.38	2.56	2.57	2.53
G10090_3368	105247180	Gm42323	0	0	0.02	0.02	0	0	0	0	0
G10090_7370	20465	Sim2	0.06	0.03	0	0.02	0.03	0.03	0	0.03	0.02
G10090_2990	268980	Strn	11.44	12.31	12.16	10.24	9.29	9.41	9.16	9.01	9.08
G10090_28280	67619	Nob1	19.34	21.47	19.76	19.32	20.68	19.6	12.13	10.04	14.47
G10090_18170	26876	Adh4	0	0	0	0	0.05	0	0	0	0
G10090_23277	77630	Prdm8	0.2	0.33	0.27	0.23	0.21	0.18	0.15	0.08	0.11
G10090_11926	78816	Gmip	3.98	3.77	3.86	3.36	3.49	3.2	3.49	3.79	3.47
G10090_18308	66757	Adat2	3.55	3.77	3.39	2.01	1.83	2.43	2.81	1.9	2.9
G10090_9636	56703	Pigo	5.15	4.88	4.77	4.45	4.84	4.68	4.1	4.21	4.14
G10090_7218	228785	Mylk2	1.6	1.54	1.11	0.03	0	0	0.24	0.82	0.41
G10090_6808	108169093	Gm43828	1.56	2.4	2	2.24	1.57	1.93	2.41	2.45	2.29
G10090_8610	28199	Dcaf11	7.31	7.59	7.36	10.81	10.74	12.12	9.85	11.09	10.13
G10090_22315	54194	Akap8l	8.26	8.63	8.14	9.94	9.52	10.01	10.97	9.28	9.46
G10090_21224	23960	Oas1g	0.06	0.03	0.04	0	0	0	0.21	0	0.04
G10090_23042	67270	Mrpl42	68.94	64.82	65.58	75.19	69.1	70.59	49.57	45.37	48.88
G10090_8592	276952	Rasl10b	0.33	0.58	0.49	0.58	0.43	0.58	0.46	0.41	0.35
G10090_7354	70351	Ppp4r1	20.97	25.33	22.07	12.74	12.67	12.59	18.88	19.15	17.95
G10090_14380	94180	Acsbg1	0.61	0.62	0.41	0.09	0.09	0.06	0.06	0.11	0.12
G10090_1735	320772	Mdga2	0.03	0.06	0.06	0.03	0.02	0.06	0.01	0.02	0.03
G10090_6077	50765	Tfr2	0.08	0.15	0.06	0.05	0	0.02	0.14	0.1	0.26
G10090_12565	11306	Abcb7	3.39	3.51	3.48	3.3	3.47	3.42	2.42	2.17	2.59
G10090_10546	16858	Lgals7	0.12	0.38	0.49	0	0	0	0.24	0.12	0
G10090_890	57743	Sec61a2	14.74	15.5	14.76	16.63	17.96	16.87	12.14	12.16	11.26
