reaction_id,R_lipid,P_lipid,firstLev,secondLev
R-HSA-1482825,PI,FA(13_22:xx),Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482856,PC,1-acyl LPC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482856,PC,FA(13_22:xx),Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482884,PE,1-acyl LPE,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482884,PE,FA(13_22:xx),Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8858298,PE,N-acylphosphatidylethanolamines,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8858298,PC,1-O-acyl-sn-glycero-3-phosphocholine,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1855221,"PI-(4,5)P2","inositol-(1,4,5)P3",Synthesis of IP3 and IP4 in the cytosol (Homo sapiens),Inositol phosphate metabolism (Homo sapiens)
R-HSA-1855221,"PI-(4,5)P2",DAG,Synthesis of IP3 and IP4 in the cytosol (Homo sapiens),Inositol phosphate metabolism (Homo sapiens)
R-HSA-5690043,FA(6_22:xx)-CoA,FA(6_22:xx),Mitochondrial Fatty Acid Beta-Oxidation (Homo sapiens),Fatty acid metabolism (Homo sapiens)
R-HSA-1482543,2-MAG,FA,Acyl chain remodeling of DAG and TAG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482543,2-MAG,Glycerol,Acyl chain remodeling of DAG and TAG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-163595,2-MAG,Glycerol,Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-163595,2-MAG,FA(13_22:xx),Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-426043,2-MAG(20:4),FA(20:4),Arachidonate production from DAG (Homo sapiens),Effects of PIP2 hydrolysis (Homo sapiens)
R-HSA-426043,2-MAG(20:4),glycerol,Arachidonate production from DAG (Homo sapiens),Effects of PIP2 hydrolysis (Homo sapiens)
R-HSA-1483197,phosphatidylglycerophosphate (PGP),PG,Synthesis of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-4419978,isopentyl pyrophosphate (IPP),polyprenol pyrophosphate (pPPP),Synthesis of Dolichyl-phosphate (Homo sapiens),Synthesis of substrates in N-glycan biosythesis (Homo sapiens)
R-HSA-4419978,"farnesyl pyrophosphate (E,E-FPP)",polyprenol pyrophosphate (pPPP),Synthesis of Dolichyl-phosphate (Homo sapiens),Synthesis of substrates in N-glycan biosythesis (Homo sapiens)
R-HSA-6800334,2-MAG,DAG,Triglyceride biosynthesis (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-6800334,acyl-CoA,CoA,Triglyceride biosynthesis (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-2045911,"PI-(3,4,5)P3","PI-(4,5)P2",Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (Homo sapiens),Signaling by the B Cell Receptor (BCR) (Homo sapiens)
R-HSA-2316434,"PI-(4,5)P2","PI-(3,4,5)P3","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling (Homo sapiens)",Negative regulation of the PI3K/AKT network (Homo sapiens)
R-HSA-192422,TAG,DAG,Digestion of dietary lipid (Homo sapiens),Digestion (Homo sapiens)
R-HSA-192422,TAG,FA(13_22:xx),Digestion of dietary lipid (Homo sapiens),Digestion (Homo sapiens)
R-HSA-192434,DAG,MAG,Digestion of dietary lipid (Homo sapiens),Digestion (Homo sapiens)
R-HSA-192434,DAG,FA(13_22:xx),Digestion of dietary lipid (Homo sapiens),Digestion (Homo sapiens)
R-HSA-1483142,Glycerol,PG,Synthesis of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1483142,PC,PG,Synthesis of PG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1855214,"PI-(4,5)P2",DAG,Synthesis of IP3 and IP4 in the cytosol (Homo sapiens),Inositol phosphate metabolism (Homo sapiens)
R-HSA-1855214,"PI-(4,5)P2","inositol-(1,4,5)P4",Synthesis of IP3 and IP4 in the cytosol (Homo sapiens),Inositol phosphate metabolism (Homo sapiens)
R-HSA-2029471,PC,choline,Role of phospholipids in phagocytosis (Homo sapiens),Fcgamma receptor (FCGR) dependent phagocytosis (Homo sapiens)
R-HSA-2029471,PC,PA,Role of phospholipids in phagocytosis (Homo sapiens),Fcgamma receptor (FCGR) dependent phagocytosis (Homo sapiens)
R-HSA-428260,Cer(d18:0/xx:xx),Cer(t18:0/xx:xx),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-1482612,2-acyl LPC,glycerophosphocholine (GPCho),Hydrolysis of LPC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482612,2-acyl LPC,FA(13_22:xx),Hydrolysis of LPC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482685,1-acyl LPC,glycerophosphocholine (GPCho),Hydrolysis of LPC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482685,1-acyl LPC,FA(13_22:xx),Hydrolysis of LPC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482828,PE,2-acyl LPE,Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482828,PE,FA(13_22:xx),Acyl chain remodelling of PE (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482862,PC,2-acyl LPC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482862,PC,FA(13_22:xx),Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482932,PI,2-acyl LPI,Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1482932,PI,FA(13_22:xx),Acyl chain remodelling of PI (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-428231,Cer,FA(18:0),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-428231,Cer,SPH(d18:1),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-428664,SPH(d18:1)-(1)P,SPH(d18:1),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-428701,SPH(d18:1)-(1)P,SPH(d18:1),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-428701,SPH(d18:1)-(1)P,orthophosphate,Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-6814797,LPC,ChoP (phosphocholine),Glycerophospholipid catabolism (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-6814797,LPC,MAG,Glycerophospholipid catabolism (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-549112,Glycerol-3-phosphate (G3P),1-acyl LPA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-549112,acyl-CoA,CoA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-426240,DAG,DAG-(3)P,Effects of PIP2 hydrolysis (Homo sapiens),"Platelet activation, signaling and aggregation (Homo sapiens)"
R-HSA-8959462,Cer,ceramide phosphoethanolamine,Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-8959462,PE,ceramide phosphoethanolamine,Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-6789310,TAG,DAG,Formation of the cornified envelope (Homo sapiens),Keratinization (Homo sapiens)
R-HSA-6789310,TAG,carboxylate(RCOOH),Formation of the cornified envelope (Homo sapiens),Keratinization (Homo sapiens)
R-HSA-1676048,"PI-(4,5)P2","PI-(3,4,5)P3",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-1676109,PI-(4)P,"PI-(3,4)P2",Synthesis of PIPs at the plasma membrane (Homo sapiens),PI Metabolism (Homo sapiens)
R-HSA-392300,"PI-(4,5)P2","PI-(3,4,5)P3",G beta:gamma signalling through PI3Kgamma (Homo sapiens),G-protein beta:gamma signalling (Homo sapiens)
R-HSA-437162,"PI-(4,5)P2","PI-(3,4,5)P3",GPVI-mediated activation cascade (Homo sapiens),"Platelet activation, signaling and aggregation (Homo sapiens)"
R-HSA-6792445,PA,2-acyl LPA,Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-6792445,PA,FA(13_22:xx),Synthesis of PA (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-8848339,TAG,DAG,Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-8848339,TAG,FA(13_22:xx),Triglyceride catabolism (Homo sapiens),Triglyceride metabolism (Homo sapiens)
R-HSA-1602399,PC,1-acyl LPC,Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-1602399,PC,FA(13_22:xx),Acyl chain remodelling of PC (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-2161795,FA(20:4),FA(20:4)-(16)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161795,FA(20:4),FA(20:4)-(17)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161795,FA(20:4),FA(20:4)-(18)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161814,FA(20:4),FA(20:4)-(19)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161890,FA(20:4),"5,6-EET",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161899,FA(20:4),"8,9/11,12/14,15-EET",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161940,FA(20:4),FA(20:4)-(20)OH,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-9027043,FA(22:6),FA(22:6)-(14)OH,Biosynthesis of maresin-like SPMs (Homo sapiens),Biosynthesis of maresins (Homo sapiens)
R-HSA-1606602,Cer,carboxylate,Glycosphingolipid metabolism (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-1606602,Cer,SPH(d18:1),Glycosphingolipid metabolism (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-192178,ChE-(24)OH,"ChE-(7,24)OH2",Endogenous sterols (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-76466,FA(12:0),FA(12:0)-(12)OH,Fatty acids (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-193054,ChE,ChE-(22)OH,Pregnenolone biosynthesis (Homo sapiens),Metabolism of steroid hormones (Homo sapiens)
R-HSA-193065,ChE-(22)OH,"ChE-(20,22)OH2",Pregnenolone biosynthesis (Homo sapiens),Metabolism of steroid hormones (Homo sapiens)
R-HSA-192123,ChE,ChE-(27)OH,Endogenous sterols (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-428185,SPH(d18:0),Cer(d18:0/xx:xx),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-428185,stearyl-CoA,Cer(d18:0/xx:xx),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-2161961,"5,6-EET","FA(20:3)-(5,6)OH2",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161961,8.9-EET,"FA(20:3)-(8,9)OH3",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161961,"11,12-EET","FA(20:3)-(11,12)OH4",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161961,"14,15-EET","FA(20:3)-(14,15)OH5",Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET) (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-9625814,SPH(d18:1),SPH(d18:1)-(1)P,Extra-nuclear estrogen signaling (Homo sapiens),ESR-mediated signaling (Homo sapiens)
R-HSA-201035,FA(16:0),FA(16:0)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-434382,FA(16:0),FA(16:0)-CoA,Intracellular metabolism of fatty acids regulates insulin secretion (Homo sapiens),Free fatty acids regulate insulin secretion (Homo sapiens)
R-HSA-548843,FA(20:4),FA(20:4)-CoA,Synthesis of very long-chain fatty acyl-CoAs (Homo sapiens),Fatty acyl-CoA biosynthesis (Homo sapiens)
R-HSA-5692261,FA(16:0),FA(16:1),Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
R-HSA-265296,FA(20:4)-(5)OOH,FA(20:4),Synthesis of 5-eicosatetraenoic acids (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-9027633,FA(22:5),FA(22:5)-(7)OH,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives (Homo sapiens),Biosynthesis of specialized proresolving mediators (SPMs) (Homo sapiens)
R-HSA-2161950,FA(20:4),FA(20:4)-(12)OOH,Synthesis of 12-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2162002,FA(20:4),FA(20:4)-(15)OOH,Synthesis of 15-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-9025152,FA(22:5),FA(22:5)-(17)OH,Biosynthesis of DPAn-6 SPMs (Homo sapiens),Biosynthesis of DPA-derived SPMs (Homo sapiens)
R-HSA-9025152,FA(22:5),"FA(22:5)-(10,17)OH2",Biosynthesis of DPAn-6 SPMs (Homo sapiens),Biosynthesis of DPA-derived SPMs (Homo sapiens)
R-HSA-9026003,FA(22:5),FA(22:5)-(17)OH,Biosynthesis of DPAn-3-derived protectins and resolvins (Homo sapiens),Biosynthesis of DPAn-3 SPMs (Homo sapiens)
R-HSA-2161791,FA(20:4)-(15)OOH,FA(20:4)-(15)OH,Synthesis of 15-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161791,Reduced glutathione,oxidized glutathione,Synthesis of 15-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161946,FA(20:4)-(5)OOH,FA(20:4)-(5)OH,Synthesis of 5-eicosatetraenoic acids (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161946,Reduced glutathione,oxidized glutathione,Synthesis of 5-eicosatetraenoic acids (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161959,FA(20:4)-(12)OOH,FA(20:4)-(12)OH,Synthesis of 12-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161959,Reduced glutathione,oxidized glutathione,Synthesis of 12-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161999,FA(20:4)-(12)OOH,FA(20:4)-(12)OH,Synthesis of 12-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-2161999,Reduced glutathione,oxidized glutathione,Synthesis of 12-eicosatetraenoic acid derivatives (Homo sapiens),Arachidonic acid metabolism (Homo sapiens)
R-HSA-9018868,FA(20:5)-(18)OOH,FA(20:5)-(18)OH,Biosynthesis of E-series 18(S)-resolvins (Homo sapiens),Biosynthesis of EPA-derived SPMs (Homo sapiens)
R-HSA-9018868,Reduced glutathione,oxidized glutathione,Biosynthesis of E-series 18(S)-resolvins (Homo sapiens),Biosynthesis of EPA-derived SPMs (Homo sapiens)
R-HSA-9018895,FA(20:5)-(18)OOH,FA(20:5)-(18)OH,Biosynthesis of E-series 18(R)-resolvins (Homo sapiens),Biosynthesis of EPA-derived SPMs (Homo sapiens)
R-HSA-9018895,Reduced glutathione,oxidized glutathione,Biosynthesis of E-series 18(R)-resolvins (Homo sapiens),Biosynthesis of EPA-derived SPMs (Homo sapiens)
R-HSA-9020271,FA(22:6)-(17)OOH,FA(22:6)-(17)OH,Biosynthesis of aspirin-triggered D-series resolvins (Homo sapiens),Biosynthesis of DHA-derived SPMs (Homo sapiens)
R-HSA-9020271,Reduced glutathione,oxidized glutathione,Biosynthesis of aspirin-triggered D-series resolvins (Homo sapiens),Biosynthesis of DHA-derived SPMs (Homo sapiens)
R-HSA-9020273,FA(22:6)-(17)OOH,FA(22:6)-(17)OH,Biosynthesis of D-series resolvins (Homo sapiens),Biosynthesis of DHA-derived SPMs (Homo sapiens)
R-HSA-9020273,Reduced glutathione,oxidized glutathione,Biosynthesis of D-series resolvins (Homo sapiens),Biosynthesis of DHA-derived SPMs (Homo sapiens)
R-HSA-109339,FA(18:2)-CoA,Acetyl coenzyme A,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids (Homo sapiens),Mitochondrial Fatty Acid Beta-Oxidation (Homo sapiens)
R-HSA-109339,FA(18:2)-CoA,FA(12:2)-CoA,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids (Homo sapiens),Mitochondrial Fatty Acid Beta-Oxidation (Homo sapiens)
R-HSA-109342,FA(12:2)-CoA,FA(10:1)-CoA,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids (Homo sapiens),Mitochondrial Fatty Acid Beta-Oxidation (Homo sapiens)
R-HSA-109342,FA(12:2)-CoA,Acetyl coenzyme A,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids (Homo sapiens),Mitochondrial Fatty Acid Beta-Oxidation (Homo sapiens)
R-HSA-2066778,FA(24:7)-CoA,FA(24:6)-(3)OH-CoA,alpha-linolenic acid (ALA) metabolism (Homo sapiens),alpha-linolenic (omega3) and linoleic (omega6) acid metabolism (Homo sapiens)
R-HSA-211924,FA(20:4),FA(20:4)-(12)OH,Fatty acids (Homo sapiens),Cytochrome P450 - arranged by substrate type (Homo sapiens)
R-HSA-5696448,MAG,DAG,Acyl chain remodeling of DAG and TAG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-5696448,Acyl-CoA,CoA,Acyl chain remodeling of DAG and TAG (Homo sapiens),Glycerophospholipid biosynthesis (Homo sapiens)
R-HSA-6797630,LPA,DAG,Lysosphingolipid and LPA receptors (Homo sapiens),Class A/1 (Rhodopsin-like receptors) (Homo sapiens)
R-HSA-429786,PC,DAG,Sphingolipid de novo biosynthesis (Homo sapiens),Sphingolipid metabolism (Homo sapiens)
