reaction_id,Pathway,lmp_id,gene_name,species_long,gene_symbol,R_lipid,P_lipid
R-HSA-1482976,CDP-DAG is converted to PI by CDIPT,LMP002715,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,Homo sapiens,CDIPT,inositol,CMP
R-HSA-8874745,ACAA2 tetramer transfers acyl group from Ac-CoA to acyl-CoA forming 3OA-CoA and CoA-SH,LMP001618,acetyl-CoA acyltransferase 2,Homo sapiens,ACAA2,acetyl-CoA,3-oxyoacyl-CoA
R-HSA-8874745,ACAA2 tetramer transfers acyl group from Ac-CoA to acyl-CoA forming 3OA-CoA and CoA-SH,LMP001618,acetyl-CoA acyltransferase 2,Homo sapiens,ACAA2,acyl-CoA?,CoA
R-HSA-191972,27-hydroxycholesterol is 7alpha-hydroxylated,LMP004097,nuclear receptor coactivator 2,Homo sapiens,NCOA2,27-hydroxycholesterol,"Cholest-5-ene-3beta,7alpha,27-triol"
R-HSA-192051,CYP7A1 7-hydroxylates CHOL,LMP004097,nuclear receptor coactivator 2,Homo sapiens,NCOA2,Cholesterol,7 alpha-hydroxycholesterol
R-HSA-192065,CYP7B1 7-hydroxylates 25OH-CHOL,LMP004097,nuclear receptor coactivator 2,Homo sapiens,NCOA2,25-hydroxycholesterol,"cholest-5-ene-3beta,7alpha,25-triol"
R-HSA-75885,1-acyl LPA is acylated to PA by AGPAT (LPAAT),LMP001964,1-acylglycerol-3-phosphate O-acyltransferase 1,Homo sapiens,AGPAT1,1-acyl LPA,PA
R-HSA-75885,1-acyl LPA is acylated to PA by AGPAT (LPAAT),LMP000277,1-acylglycerol-3-phosphate O-acyltransferase 2,Homo sapiens,AGPAT2,1-acyl LPA,PA
R-HSA-428127,palmitoyl-CoA + serine => 3-ketosphinganine + CoASH + CO2,LMP001176,"serine palmitoyltransferase, long chain base subunit 1",Homo sapiens,SPTLC1,FA(16:0)-CoA,3-ketosphinganine
R-HSA-191422,Mevalonate-5-phosphate is further phosphorylated.,LMP000534,phosphomevalonate kinase,Homo sapiens,PMVK,mevalonate-5-phosphate,mevalonate-5-pyrophosphate
R-HSA-195690,"Zymosterol is isomerized to cholesta-7,24-dien-3beta-ol",LMP000533,emopamil binding protein (sterol isomerase),Homo sapiens,EBP,Zymosterol,"cholesta-7,24-dien-3beta-ol"
R-HSA-6807052,EBP isomerizes ZYMSTNL to LTHSOL,LMP000533,emopamil binding protein (sterol isomerase),Homo sapiens,EBP,zymostenol,lathosterol
R-HSA-192061,CYP46A1 24-hydroxylates CHOL,LMP002143,"cytochrome P450, family 46, subfamily A, polypeptide 1",Homo sapiens,CYP46A1,cholesterol,24-hydroxycholesterol?
R-HSA-5419165,"RDH11,14,DHRS3,DRHS4 reduce atRAL to atROL",LMP003412,dehydrogenase/reductase (SDR family) member 4,Homo sapiens,DHRS4,all-trans-retinal (atRAL),all-trans-retinol (atROL)
R-HSA-6814254,PNPLA6 hydrolyzes LysoPtdCho,LMP006668,patatin-like phospholipase domain containing 6,Homo sapiens,PNPLA6,water,LCFA (long chain fatty acid)
R-HSA-6814254,PNPLA6 hydrolyzes LysoPtdCho,LMP006668,patatin-like phospholipase domain containing 6,Homo sapiens,PNPLA6,LPC,glycerophosphocholine
R-HSA-5690066,"ACOT2,9,THEM4,5 hydrolyse MCFA-CoA, LCFA-CoA",LMP002768,acyl-CoA thioesterase 2,Homo sapiens,ACOT2,C12-C18-CoA,C12-C18
R-HSA-159425,Cytosolic cholate and chenodeoxycholate are conjugated with Coenzyme A (SLC27A5 BACS),LMP002315,"solute carrier family 27 (fatty acid transporter), member 5",Homo sapiens,SLC27A5,cholate,choloyl-CoA
R-HSA-159425,Cytosolic cholate and chenodeoxycholate are conjugated with Coenzyme A (SLC27A5 BACS),LMP002315,"solute carrier family 27 (fatty acid transporter), member 5",Homo sapiens,SLC27A5,chenodeoxycholate,chenodeoxycholoyl-CoA
R-HSA-192137,THCA is conjugated with Coenzyme A (SLC27A5 BACS),LMP002315,"solute carrier family 27 (fatty acid transporter), member 5",Homo sapiens,SLC27A5,"THCA (25(R) 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate)",25(R) THCA-CoA
R-HSA-193407,DHCA is conjugated with Coenzyme A (SLC27A5 BACS),LMP002315,"solute carrier family 27 (fatty acid transporter), member 5",Homo sapiens,SLC27A5,"DHCA (25(R) 3alpha,7alpha-dihydroxy-5beta-cholestanoate)",25(R) DHCA-CoA
R-HSA-193711,"3,7,24THCA is conjugated with Coenzyme A (SLC27A5 BACS)",LMP002315,"solute carrier family 27 (fatty acid transporter), member 5",Homo sapiens,SLC27A5,"3,7,24THCA (25(R) 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestanoate)","3,7,24THCA-CoA"
R-HSA-193766,TetraHCA is conjugated with Coenzyme A (SLC27A5 BACS),LMP002315,"solute carrier family 27 (fatty acid transporter), member 5",Homo sapiens,SLC27A5,"TetraHCA (25(R) 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate)",25(R) TetraHCA-CoA
R-HSA-8875077,SLC27A3 ligates CoA-SH to VLCFA,LMP004232,"solute carrier family 27 (fatty acid transporter), member 3",Homo sapiens,SLC27A3,very long-chain fatty acids (VLCFA),VLCFA-CoA
R-HSA-193401,THCA is conjugated with Coenzyme A (SLC27A2 VLCS),LMP001479,"solute carrier family 27 (fatty acid transporter), member 2",Homo sapiens,SLC27A2,"THCA (25(R) 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate)",25(R) THCA-CoA
R-HSA-193424,DHCA is conjugated with Coenzyme A (SLC27A2 VLCS),LMP001479,"solute carrier family 27 (fatty acid transporter), member 2",Homo sapiens,SLC27A2,"DHCA (25(R) 3alpha,7alpha-dihydroxy-5beta-cholestanoate)",25(R) DHCA-CoA
R-HSA-193727,TetraHCA is conjugated with Coenzyme A (SLC27A2 VLCS),LMP001479,"solute carrier family 27 (fatty acid transporter), member 2",Homo sapiens,SLC27A2,"TetraHCA (25(R) 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate)",25(R) TetraHCA-CoA
R-HSA-193743,"3,7,24THCA is conjugated with Coenzyme A (SLC27A2 VLCS)",LMP001479,"solute carrier family 27 (fatty acid transporter), member 2",Homo sapiens,SLC27A2,"3,7,24THCA (25(R) 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestanoate)","3,7,24THCA-CoA"
R-HSA-389622,phytanate + CoA-SH + ATP => phytanoyl-CoA + AMP + pyrophosphate,LMP001479,"solute carrier family 27 (fatty acid transporter), member 2",Homo sapiens,SLC27A2,Phytanate,Phytanoyl-CoA
R-HSA-389632,pristanate + CoA-SH + ATP => pristanoyl-CoA + AMP + pyrophosphate,LMP001479,"solute carrier family 27 (fatty acid transporter), member 2",Homo sapiens,SLC27A2,pristanate,(2R) Pristanoyl-CoA
R-HSA-264622,Cho is acetylated to AcCho by CHAT,LMP000060,choline O-acetyltransferase,Homo sapiens,CHAT,choline,acetylcholine
R-HSA-192036,"5Beta-cholesten-7alpha, 12alpha-diol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha, 12alpha-triol",LMP000718,"aldo-keto reductase family 1, member C4",Homo sapiens,AKR1C4,"5beta-cholesten-7alpha, 12alpha-diol-3-one","5beta-cholestan-3alpha,7alpha,12alpha-triol"
R-HSA-192160,"5beta-cholestan-7alpha-ol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha-diol",LMP000718,"aldo-keto reductase family 1, member C4",Homo sapiens,AKR1C4,5beta-cholestan-7alpha-ol-3-one,"5beta-cholestan-3alpha,7alpha-diol"
R-HSA-193758,"5beta-cholestan-7alpha,24(S)-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,24(S)-triol",LMP000718,"aldo-keto reductase family 1, member C4",Homo sapiens,AKR1C4,"5beta-cholestan-7alpha,24(S)-diol-3-one","5beta-cholestan-3alpha,7alpha,24(S)-triol"
R-HSA-193781,"5Beta-cholestan-7alpha,12alpha,24(S)-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol",LMP000718,"aldo-keto reductase family 1, member C4",Homo sapiens,AKR1C4,"5beta-cholestan-7alpha,12alpha,24(S)-triol-3-one","5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol"
R-HSA-193800,"5Beta-cholestan-7alpha,12alpha,27-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol",LMP000718,"aldo-keto reductase family 1, member C4",Homo sapiens,AKR1C4,"5beta-cholestan-7alpha,12alpha,27-triol-3-one","5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol"
R-HSA-193841,"5beta-cholestan-7alpha,27-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,27-triol",LMP000718,"aldo-keto reductase family 1, member C4",Homo sapiens,AKR1C4,"5beta-cholestan-7alpha,27-diol-3-one","5beta-cholestan-3alpha,7alpha,26-triol"
R-HSA-1482771,PS is hydrolyzed to 1-acyl LPS by PLA2[9],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PS,1-acyl LPS
R-HSA-1482771,PS is hydrolyzed to 1-acyl LPS by PLA2[9],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PS,LCFA
R-HSA-1482825,PI is hydrolyzed to 1-acyl LPI by PLA2[11],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PI,1-acyl LPI
R-HSA-1482825,PI is hydrolyzed to 1-acyl LPI by PLA2[11],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PI,LCFA
R-HSA-1482856,PC is hydrolyzed to 1-acyl LPC by PLA2[5],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PC,1-acyl LPC
R-HSA-1482856,PC is hydrolyzed to 1-acyl LPC by PLA2[5],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PC,LCFA
R-HSA-1482884,PE is hydrolyzed to 1-acyl LPE by PLA2[2],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PE,1-acyl LPE
R-HSA-1482884,PE is hydrolyzed to 1-acyl LPE by PLA2[2],LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PE,LCFA
R-HSA-8858298,HRASLS transfer acyl group from PC to PE to form NAPE,LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PE,N-acylphosphatidylethanolamines
R-HSA-8858298,HRASLS transfer acyl group from PC to PE to form NAPE,LMP006774,"phospholipase A2, group XVI",Homo sapiens,PLA2G16,PC,1-O-acyl-sn-glycero-3-phosphocholine
R-HSA-5655290,Activated FGFR1 mutant-associated PI3K phosphorylates PIP2 to PIP3,LMP006773,ER lipid raft associated 2,Homo sapiens,ERLIN2,"PI(4,5)P2","PI(3,4,5)P3"
R-HSA-1855165,(PP)2-IP4 is dephosphorylated to 5-PP-IP5 by NUDT(1) in the cytosol,LMP006044,nudix (nucleoside diphosphate linked moiety X)-type motif 4,Homo sapiens,NUDT4,(PP)2-IP4,5-PP-IP5
R-HSA-1855198,5-PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol,LMP006044,nudix (nucleoside diphosphate linked moiety X)-type motif 4,Homo sapiens,NUDT4,5-PP-IP5,IP6
R-HSA-2023971,1/3 PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol,LMP006044,nudix (nucleoside diphosphate linked moiety X)-type motif 4,Homo sapiens,NUDT4,1/3-PP-IP5,IP6
R-HSA-2023973,(PP)2-IP4 is dephosphorylated to 1/3-PP-IP5 by NUDT(1) in the cytosol,LMP006044,nudix (nucleoside diphosphate linked moiety X)-type motif 4,Homo sapiens,NUDT4,(PP)2-IP4,1/3-PP-IP5
R-HSA-1855165,(PP)2-IP4 is dephosphorylated to 5-PP-IP5 by NUDT(1) in the cytosol,LMP004856,nudix (nucleoside diphosphate linked moiety X)-type motif 3,Homo sapiens,NUDT3,(PP)2-IP4,5-PP-IP5
R-HSA-1855198,5-PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol,LMP004856,nudix (nucleoside diphosphate linked moiety X)-type motif 3,Homo sapiens,NUDT3,5-PP-IP5,IP6
R-HSA-2023971,1/3 PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol,LMP004856,nudix (nucleoside diphosphate linked moiety X)-type motif 3,Homo sapiens,NUDT3,1/3-PP-IP5,IP6
R-HSA-2023973,(PP)2-IP4 is dephosphorylated to 1/3-PP-IP5 by NUDT(1) in the cytosol,LMP004856,nudix (nucleoside diphosphate linked moiety X)-type motif 3,Homo sapiens,NUDT3,(PP)2-IP4,1/3-PP-IP5
R-HSA-1483004,Cho is phosphorylated to PCho by CHK dimer,LMP001043,choline kinase alpha,Homo sapiens,CHKA,choline,phosphocholine
R-HSA-1483222,ETA is phosphorylated to PETA by CHK/ETNK,LMP001043,choline kinase alpha,Homo sapiens,CHKA,ethanolamine,phosphoethanolamine
R-HSA-1483004,Cho is phosphorylated to PCho by CHK dimer,LMP001706,choline kinase beta,Homo sapiens,CHKB,choline,phosphocholine
R-HSA-1483222,ETA is phosphorylated to PETA by CHK/ETNK,LMP001706,choline kinase beta,Homo sapiens,CHKB,ethanolamine,phosphoethanolamine
R-HSA-5623643,RDH13 reduces atRAL to atROL,LMP006495,retinol dehydrogenase 13 (all-trans/9-cis),Homo sapiens,RDH13,all-trans-retinal (atRAL),all-trans-retinol (atROL)
R-HSA-1855221,"PI(4,5)P2 is hydrolysed to I(1,4,5)P3 and DAG by tethered PLC[1] at the plasma membrane",LMP006674,"phospholipase C, delta 3",Homo sapiens,PLCD3,"phosphatidylinositol 4,5 bisphosphate (PI(4,5)P2)","1,4,5 trisphosphate (I(1,4,5)P3)?"
R-HSA-1855221,"PI(4,5)P2 is hydrolysed to I(1,4,5)P3 and DAG by tethered PLC[1] at the plasma membrane",LMP006674,"phospholipase C, delta 3",Homo sapiens,PLCD3,"phosphatidylinositol 4,5 bisphosphate (PI(4,5)P2)",DAG
R-HSA-5690043,"Cytosolic ACOTs hydrolyse MCFA-CoA, LCFA-CoA",LMP002122,acyl-CoA thioesterase 7,Homo sapiens,ACOT7,MCFA-CoA,MCFA
R-HSA-5690043,"Cytosolic ACOTs hydrolyse MCFA-CoA, LCFA-CoA",LMP002122,acyl-CoA thioesterase 7,Homo sapiens,ACOT7,LCFA-CoA,LCFA
R-HSA-1482543,2-MAG is hydrolyzed to fatty acid and glycerol by MGLL,LMP002645,monoglyceride lipase,Homo sapiens,MGLL,2-monoacylglycerol (2-MAG),FA
R-HSA-1482543,2-MAG is hydrolyzed to fatty acid and glycerol by MGLL,LMP002645,monoglyceride lipase,Homo sapiens,MGLL,2-monoacylglycerol (3-MAG),Glycerol
R-HSA-163595,2-acylglycerol + H2O -> glycerol + fatty acid,LMP002645,monoglyceride lipase,Homo sapiens,MGLL,2-acylglycerol,Glycerol
R-HSA-163595,2-acylglycerol + H2O -> glycerol + fatty acid,LMP002645,monoglyceride lipase,Homo sapiens,MGLL,2-acylglycerol,LCFA
R-HSA-426043,2-AG hydrolysis to arachidonate by MAGL,LMP002645,monoglyceride lipase,Homo sapiens,MGLL,2-arachidonoylglycerol(2AG),arachidonate(AA)
R-HSA-426043,2-AG hydrolysis to arachidonate by MAGL,LMP002645,monoglyceride lipase,Homo sapiens,MGLL,2-arachidonoylglycerol(3AG),glycerol
R-HSA-1483197,PTPMT1 dephosphorylates PGP to PG,LMP006430,"protein tyrosine phosphatase, mitochondrial 1",Homo sapiens,PTPMT1,phosphatidylglycerophosphate (PGP),phosphatidylglycerol (PG)
R-HSA-4419978,"DHDDS:NUS1 elongates E,E-FPP with (n)IPPP to form pPPP",LMP006788,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae),Homo sapiens,NUS1,isopentyl pyrophosphate (IPP),polyprenol pyrophosphate (pPPP)
R-HSA-4419978,"DHDDS:NUS1 elongates E,E-FPP with (n)IPPP to form pPPP",LMP006788,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae),Homo sapiens,NUS1,"farnesyl pyrophosphate (E,E-FPP)",polyprenol pyrophosphate (pPPP)
R-HSA-6800334,"MOGAT1,2,3 transfer acyl group from acyl-CoA to 2-acylglycerol to form DAG",LMP005083,monoacylglycerol O-acyltransferase 1,Homo sapiens,MOGAT1,2-acylglycerol(2AG),DAG
R-HSA-6800334,"MOGAT1,2,3 transfer acyl group from acyl-CoA to 2-acylglycerol to form DAG",LMP005083,monoacylglycerol O-acyltransferase 1,Homo sapiens,MOGAT1,acyl-CoA,CoA
R-HSA-159443,benzoate + Coenzyme A + ATP => benzoyl-CoA + AMP + pyrophosphate,LMP006619,acyl-CoA synthetase medium-chain family member 1,Homo sapiens,ACSM1,benzoate,benzoyl-CoA
R-HSA-177157,phenylacetate + Coenzyme A + ATP => phenylacetyl-CoA + AMP + pyrophosphate,LMP006619,acyl-CoA synthetase medium-chain family member 1,Homo sapiens,ACSM1,phenylacetate,phenylacetyl-CoA
R-HSA-174757,chylomicron => TG-depleted chylomicron + 50 long-chain fatty acids + 50 diacylglycerols,LMP000416,apolipoprotein A-V,Homo sapiens,APOA5,chylomicron,LCFA
R-HSA-1855158,5-PP-IP5 is phosphorylated to 5-PPP-IP5 by IP6K1/3 in the cytosol,LMP001730,inositol hexakisphosphate kinase 3,Homo sapiens,IP6K3,"inositol 5-diphospho-1,2,3,4,6-pentakisphosphate (5-PP-IP5)","inositol 5-triphospho- 1,2,3,4,6-pentakisphosphate (5-PPP-IP5)"
R-HSA-1855193,"1-PP-IP4 is phosphorylated to 1,5-(PP)2-IP3 by IP6K1/3 in the cytosol",LMP001730,inositol hexakisphosphate kinase 3,Homo sapiens,IP6K3,1-PP-IP4,"1,5-(PP)2-IP3"
R-HSA-1855194,"1-PP-IP5 is phosphorylated to 1,5-(PP)2-IP4 by IP6K1/3 in the cytosol",LMP001730,inositol hexakisphosphate kinase 3,Homo sapiens,IP6K3,1-PP-IP5,"1,5-(PP)2-IP4"
R-HSA-1855223,"I(1,3,4,5,6)P5 is phosphorylated to 5-PP-IP4 by IP6K1/3 in the cytosol",LMP001730,inositol hexakisphosphate kinase 3,Homo sapiens,IP6K3,"I(1,3,4,5,6)P5 [cytosol]",5-PP-IP4
R-HSA-1855227,IP6 is phosphorylated to 5-PP-IP5 by IP6K1/3 in the cytosol,LMP001730,inositol hexakisphosphate kinase 3,Homo sapiens,IP6K3,IP6,5-PP-IP5
R-HSA-2045911,"BCAP Signalosome phosphorylates PI(4,5)P2 forming PI(3,4,5)P3",LMP003839,phosphoinositide-3-kinase adaptor protein 1,Homo sapiens,PIK3AP1,"phosphoinositol-3,4,5-trisphosphate (PIP3)",PIP2
R-HSA-2316434,PI3K phosphorylates PIP2 to PIP3,LMP003839,phosphoinositide-3-kinase adaptor protein 1,Homo sapiens,PIK3AP1,PIP2,"phosphoinositol-3,4,5-trisphosphate (PIP3)"
R-HSA-209845,CYP2R1 25-hydroxylates VD3 to 25(OH)D,LMP004786,"cytochrome P450, family 2, subfamily R, polypeptide 1",Homo sapiens,CYP2R1,vitamin D3,25-hydroxyvitamin D (calcidiol)
R-HSA-192422,Digestion of triacylglycerols by extracellular PTL:colipase,LMP000979,"colipase, pancreatic",Homo sapiens,CLPS,TAG,DAG
R-HSA-192422,Digestion of triacylglycerols by extracellular PTL:colipase,LMP000979,"colipase, pancreatic",Homo sapiens,CLPS,TAG,LCFA
R-HSA-192434,Digestion of diacylglycerols by extracellular PTL:colipase,LMP000979,"colipase, pancreatic",Homo sapiens,CLPS,DAG,MAG
R-HSA-192434,Digestion of diacylglycerols by extracellular PTL:colipase,LMP000979,"colipase, pancreatic",Homo sapiens,CLPS,DAG,LCFA
R-HSA-975593,PNLIP:CLPS hydrolyses RPALM to atROL and PALM,LMP000979,"colipase, pancreatic",Homo sapiens,CLPS,Retinyl palmitate,all-trans-retinol
R-HSA-975593,PNLIP:CLPS hydrolyses RPALM to atROL and PALM,LMP000979,"colipase, pancreatic",Homo sapiens,CLPS,Retinyl palmitate,palmitic acid
R-HSA-1483142,PC is transphosphatidylated to PG by PLD1-4/6,LMP003138,"phospholipase D family, member 4",Homo sapiens,PLD4,Glycerol,choline
R-HSA-1483142,PC is transphosphatidylated to PG by PLD1-4/6,LMP003138,"phospholipase D family, member 4",Homo sapiens,PLD4,PC,PG
R-HSA-1855214,"PL(C)D4:3xCa2+ hydrolse PI(4,5)P2 to I(1,4,5)P3 and DAG at the ER membrane",LMP003138,"phospholipase D family, member 4",Homo sapiens,PLD4,"PI(4,5)P2",DAG
R-HSA-1855214,"PL(C)D4:3xCa2+ hydrolse PI(4,5)P2 to I(1,4,5)P3 and DAG at the ER membrane",LMP003138,"phospholipase D family, member 4",Homo sapiens,PLD4,"PI(4,5)P2","I(1,4,5)P4"
R-HSA-2029471,Hydrolysis of PC to PA by PLD,LMP003138,"phospholipase D family, member 4",Homo sapiens,PLD4,PC,choline
R-HSA-2029471,Hydrolysis of PC to PA by PLD,LMP003138,"phospholipase D family, member 4",Homo sapiens,PLD4,PC,PA
R-HSA-5690042,"Peroxisomal ACOT4,6,8 hydrolyse MCFA-CoA, LCFA-CoA",LMP001723,acyl-CoA thioesterase 4,Homo sapiens,ACOT4,LCFA-CoA(C12-C18),LCFA(C12-C18)
R-HSA-428260,dihydroceramide + NADPH + H+ + O2 => phytoceramide + NADP+ + H2O,LMP006635,"delta(4)-desaturase, sphingolipid 2",Homo sapiens,DEGS2,dihydroceramide,phytoceramide
R-HSA-1482612,2-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004570,"phospholipase A2, group IVE",Homo sapiens,PLA2G4E,2-acyl LPC,glycerophosphocholine (GPCho)
R-HSA-1482612,2-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004570,"phospholipase A2, group IVE",Homo sapiens,PLA2G4E,2-acyl LPC,LCFA
R-HSA-1482685,1-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004570,"phospholipase A2, group IVE",Homo sapiens,PLA2G4E,1-acyl LPC,glycerophosphocholine (GPCho)
R-HSA-1482685,1-acyl LPC is hydrolyzed to GPCho by PLA2[8],LMP004570,"phospholipase A2, group IVE",Homo sapiens,PLA2G4E,1-acyl LPC,LCFA
R-HSA-1482771,PS is hydrolyzed to 1-acyl LPS by PLA2[9],LMP004570,"phospholipase A2, group IVE",Homo sapiens,PLA2G4E,PS,1-acyl LPS
