"","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"DG 24:3",924239808,1106583040,905896192,812550144,1052185152,894688192,1361942528,1464268288,1237190912,1695201920,1591692800,1888516992
"DG 24:1",5545408,4102682,2292599,5523616,6442222,8807866,6112167,8476443,8150710,8314124,10299637,12456914
"PS 12:0",2559615,2253593,3281951,3096591,2149610,1171721,2305714,2204886,1433334,1226447,2639883,1895083
"MG 26:4",10076234,8212542,4432734,13577242,56560244,62931152,41410508,37590536,28834890,98569760,48458404,52145176
"PG 2:0_12:0",26015028,28939236,31952812,35907976,28637864,35036640,21043956,29100192,27467160,30675788,21552182,22326816
"LPC 16:4-SN1",191110,246379,162210,1115038,5305904,3659211,5510899,5058000,4918462,9511792,7457982,7802452
"DG 26:4",59509332,64677544,64564872,67164056,78777792,77900648,163317872,157564112,159255920,178054240,175753232,180207184
"DG 26:3",7984798,9107790,8374402,8633930,9486455,10129903,20706082,19576124,19147474,21731684,21567834,22319776
"DG 26:2",32522916,36270756,37170988,34029680,30525020,31507632,83689536,89724792,95042112,86212528,83198256,87573184
"DG 26:1",3535382,3171078,3969874,6579510,3199207,43946772,6515588,4549249,4122316,6734506,6674029,2247578
"SM 20:0;2O",4603167,6186461,6873434,5131136,5231014,6603938,5727424,4866308,4762708,5486043,5566592,5555544
"PS 2:0_14:1",1734779,1841068,1075597,2600955,6893822,7702916,4377822,4073000,3854921,9122924,4929244,4688896
"TG 26:0|TG 8:0_8:0_10:0",5404937,3935692,2171552,4312330,23922674,18568396,26978202,15698075,12289206,40937532,13937389,16124206
"LPC 18:2-SN1",2543873,4437229,3118972,3367539,7228274,3640783,5511380,5323950,5622077,5129396,5120973,4880345
"DG 8:0_20:2",7995282,10811059,9957852,11134211,6393047,7439873,21781872,22706626,20076314,26744736,24569276,25750814
"SM 20:2;2O",1139509,898833,834070,3142666,9924544,13603350,8618718,10939655,11768263,13537246,15492266,16531990
"DG 28:3",2118340,1753948,321834.4,3972609,5532362,2013210,8827397,11234265,4467054,3633081,1609172,3104924
"DG 28:2",26777816,34343924,33590196,32646150,18932202,18988208,28489262,30469754,18170742,16551189,11739333,26601140
"TG 28:0|TG 8:0_10:0_10:0",4275557,3312247,1790767,3725015,17597136,14088283,21895522,12738958,10250090,34963176,12633726,11963097
"DG 8:0_22:6",378494080,402934272,196953456,419298400,372366016,399428512,452867488,249742704,489402432,485200800,405318720,430747456
"TG 8:0_8:0_12:0",11484689,10427973,7742998,18606876,9172402,73257136,16592014,9141769,7782570,13569683,11338548,9855273
"DG 8:0_22:4",1635289,330616,1906196,1244965,997150,2617750,28912636,11497308,8842914,13900022,10899449,20207640
"SM 22:3;2O",6301294,4927116,6258876,5934739,5706817,5981930,7276368,7045026,5707890,4954304,6642258,5361002
"DG 30:4",3832254,4589212,4675913,3931885,4094624,4127111,4437146,3852830,3135672,4098910,4697662,4833630
"SM 22:1;2O",1729934,1205740,804544,2247488,6776096,4695692,5705924,6387565,4405848,7130267,7032684,4379469
"DG 30:3",4300698,3244834,2583510,8025858,4038777,32280602,7232732,3586531,2340950,5070071,7077946,4777772
"SM 8:0;2O/16:3",59107972,50761924,31479190,73342936,115598200,139049920,136923456,114856776,119611800,139494752,141369280,117707184
"DG 30:1",7398983,4805630,8177614,8081938,14124557,12377783,41376720,40928284,34779788,52034112,45582096,46970460
"SM 18:0;2O/6:0",22890434,93705992,49489796,53996412,203710080,104400464,131258688,13361166,92548928,43824660,55837008,50958644
"LPC 22:5-SN1",1994672,2856821,3135132,2975677,12253384,5237010,4893358,6152260,5804121,5936387,6804366,4500860
"TG 8:0_8:0_14:1",10376950,9935738,11689833,11131396,13701801,10111578,1658832,812245,687684,1257824,389724,723717
"PE 22:1",12766600,12953249,22916492,17872162,19676146,17957770,13646475,13477141,18313958,11483871,7368490,11187640
"LPC 22:4",172536,783007,631073,2292045,14170710,4117349,302848,8072,561130,533401,175873,1614.4
"DG 16:3_16:4",15555296,12011085,8477154,7046694,6999475,6076006,9060625,11522130,6327886,8513218,10480782,24726496
"LPC 22:0-SN1",3215739,4493120,4741822,4353790,6715056,5019862,5492638,5094328,3538666,4315820,4817910,4918460
"DG 10:0_22:3",7978122,8702702,7717614,11865581,12501562,12891518,23555272,33398932,31244128,32462206,23811134,26882916
"DG 8:0_24:3",3288030,3758078,4213156,4752389,3450541,4726682,3895190,5244264,5346617,2860250,4857244,3429601
"PI 14:0",233067,1075550,937604,495141,1591.6,357876,969290,1179208,804187,1591.6,7958,524380
"DG 8:0_24:2",16538379,19400962,8508162,25621126,81250624,75108240,76277624,64882776,60002760,121857808,72771384,91014400
"PS 20:3",440530,409915,995882,494203,583889,29736.4,243171,192080,508417,241445,325082,148682
"DG 32:1|DG 14:0_18:1",41527468,45182732,40483180,48321528,94805424,116833656,144939392,115404200,104076968,214112480,150090512,139441392
"DG 32:0|DG 16:0_16:0",34599356,39427260,32483384,40565168,69488080,72029136,70204720,60886984,51218432,80926336,86613136,123538648
"LPE 26:2",1979162368,2067410560,2421228800,2170806784,2229773824,2193905408,2031054976,2167815424,2270162176,1968092416,2011234560,2020447360
"LPE 26:1",3147938,4262516,4734984,3577317,4737962,4153797,3569266,3479766,4244817,3380817,3956318,4102690
"TG 8:0_8:0_16:3",7196456,3503336,4900264,25311352,85826624,133556496,45093300,76478504,92553816,133167144,171171856,163365728
"PE 24:3",4971650,5255664,11183708,6989001,9209812,6004230,5253941,6688924,7508040,4520271,2932981,4227344
"TG 8:0_8:0_16:2",1152024,151745,986771,3791519,2864684,3377444,3363077,1774824,2677063,5886832,5399690,1988727
"PE 24:2",1363100,3461001,8628198,5058200,3022276,3143800,833619,1772399,3243234,532592,1575000,1574291
"LPC 22:0",4770686,3888148,6644837,3950226,1234474,246894.8,2343040,6500488,4668338,7443094,6892094,1911078
"LPC 24:1-SN1",630877,709199,2018952,2367516,4069288,1785698,1906801,3697441,1536711,1797231,2493106,2532525
"DG 16:2_18:2",789758,157951.6,1392758,4558852,19624600,13779113,20658410,9121146,8271924,27013146,22792204,27671684
"DG 34:3|DG 16:1_18:2",15186996,2608763,2063803,20013748,74580328,73631016,15541081,47024876,46551152,91220096,57512848,72516240
"DG 34:3|DG 16:0_18:3",189154160,205882624,161782016,229198032,406720992,415289728,366726944,334930432,298401504,546325376,340423872,437769120
"PI 16:0",397550,1408675,191393,2351083,1149458,618836,1246153,2228068,948519,38278.6,2368441,433896
"SM 26:3;2O",504425440,509578912,471094016,436987744,427078112,439372512,496134304,526352576,472113856,604617664,574346816,620959936
"DG 8:0_26:2",214876,31997144,5671694,1074380,214876,214876,16905512,9636295,5291206,9766026,214876,214876
"DG 34:2|DG 16:1_18:1",792836608,762938624,665480768,165130672,307632320,249293248,487704128,445448032,360396256,477209984,407052224,480545248
"DG 34:1|DG 16:0_18:1",464241376,491377056,490592864,472102816,919771008,825467392,1167080320,1038867392,927217536,1323739392,1120520704,1328318208
"DG 34:0|DG 16:0_18:0",77535960,78375560,67377576,92997592,144161936,158587760,138171744,125329192,109853256,158785600,202997152,291761504
"SM 8:0;2O/20:3",18360704,16716914,11725811,39339764,15576395,91353848,25652254,14253878,11749578,19029954,28277616,19694974
"LPE 28:2",1162288,906860,3358086,2534553,1510529,1539037,2253116,2055101,2423824,1149084,2743864,766658
"TG 8:0_8:0_18:5",2360074,2504881,2535448,10783265,36067840,89692248,20405806,37078940,46988988,65351740,113699464,78463160
"PC 8:0_16:1",11382459,12603495,16820854,6802730,8641522,19286008,8693485,11573006,9525371,10815723,9299458,10521526
"SM 8:0;2O/20:0",3055819,2903646,353108,10275492,28271610,25965236,16075804,12375128,17520716,46318700,23219254,19015022
"LPC 26:4-SN1",1865980,1157004,919109,3084767,17169788,16694945,12444775,8244526,6452120,25824236,15701778,13459045
"DG 8:0_28:7",51578372,42095316,36047144,60778652,50655620,84276992,55115464,119161608,100650064,101704440,93429384,102661992
"PE 10:0_18:3",6399870,3894210,2684286,13190545,36852260,34867412,41395672,27313566,26277108,53703704,49212412,51249220
"LPC 26:3-SN1",483998.6,483998.6,483998.6,4983534,6167772,11396678,2679973,2419993,9677869,11386969,9091717,5049988
"LPC 26:2-SN1",4497634,2991770,2567857,5590526,21529186,14164362,14257149,15270371,8882694,26581626,18799732,23674792
"SM 28:5;2O",17646294,12131559,6098092,11562592,9275243,11351138,9813492,553142,7044634,18957290,240398,9177652
"LPE 30:8",5719148,5357440,2962467,5260180,4554346,4834438,4555566,4916759,5387315,5423689,4779246,6917324
"SM 8:1;2O/22:6",10142639,7562254,8897753,5655538,1075344,1149796,8093450,10869282,10406011,8515670,18234786,11985683
"LPE 30:7",2450337,3172368,2609846,3688522,3688048,3173741,3285094,3030913,3397985,2210174,2770266,2811809
"SM 28:3;2O",2029851,5920612,7473469,10422628,8708343,8917253,180567.2,180567.2,180567.2,902836,180567.2,180567.2
"DG 36:2|DG 18:1_18:1",4585371648,5341163520,5509790208,2817232128,3605376512,3121163520,9434144768,8383029248,7677341696,8803962880,8774172672,10342281216
"DG 36:2|DG 18:0_18:2",761678592,630801216,420493696,1103913216,3222847232,3140462592,2855628032,2098090112,1922549888,4181376512,2864376320,3510129920
"DG 8:0_28:2",2831727,43028584,12526045,830514,69941,1923334,25390988,19450844,13328552,17633902,416691,810859
"DG 36:4",10755024,7113019,1460273,11738637,32732076,41146828,30503342,17689396,31054890,62607920,32032582,41444256
"DG 36:1|DG 18:0_18:1",871604416,938903744,838886464,990553152,1832980864,1812580096,2019846528,1802839552,1606229632,2402453248,1967922944,2219327232
"SM 8:0;2O/22:4",17904118,37111988,29250478,19151992,10533366,13820252,123135.4,1025821,723814,615677,851030,123135.4
"DG 36:0|DG 18:0_18:0",72091232,72878048,53317780,86252392,115262848,138197968,115820136,109395056,97136408,120739112,136943456,189935328
"LPC 26:7",1268806,1146148,2100162,2170536,2116471,987331,33423,33423,33423,33423,33423,167115
"LPC 26:6",1316244,1755482,1840070,1689415,2014095,1292528,258505.6,258505.6,258505.6,258505.6,258505.6,258505.6
"SM 8:0;2O/22:0",17696370,18600372,21793138,1014200,738323,132348,29866346,30819846,28502544,30469840,29097306,39728192
"DG 8:0_30:8",1898118,1083124,307987,4131229,9565270,8077916,9922546,4223314,9927052,19532546,14257805,15702793
"TG 8:0_8:0_20:1",1105977,2665273,2303325,2270338,11572774,15193088,16279307,11422113,7034714,17829998,16794034,25744768
"TG 8:0_12:0_16:0",28636624,27679770,24028298,25704836,30033058,29894676,22733378,28285488,26218898,23305538,26030268,30773656
"TG 36:0|TG 12:0_12:0_12:0",5049538,3743893,47858,7007948,25589168,27454302,16721736,16964270,14011757,22279442,19247720,26664104
"PE 10:0_20:3",15289620,16564313,17379834,15498503,16351620,18959904,1755886,437278,705444,1270046,1334012,439883
"DG 16:2_22:4",1322602,1483542,2228840,6962106,17203898,18540608,15171223,11033695,15794122,38845236,23143580,6024374
"DG 38:6|DG 16:1_22:5",13031860,15956062,17606566,8979279,11468537,7629708,35866648,30470010,31056822,30252362,27527694,34460832
"DG 38:6|DG 16:0_22:6",11490323,15345104,9477906,11512798,10423651,2847318,37403736,25913190,27289846,32129004,33663448,37153680
"DG 38:5|DG 18:1_20:4",252923376,286434816,298424672,207595376,262317408,230892992,608334592,550346752,483676032,588601600,541491648,627411648
"DG 8:0_30:5",11684046,7291671,9755910,11037977,11112783,10600301,12352831,15067422,11425314,11758562,13361923,14122534
"SM 14:3;2O/18:5",3953533,3565409,3219102,4232036,3381598,4078084,12934604,11201362,9955306,12306196,13330794,13651632
"TG 8:0_8:0_20:0",5940229,10027778,5854281,17718698,44214580,35736604,23200518,25169538,30972506,62820896,36773772,26130270
"LPC 28:1-SN1",11571430,10860472,14398624,11336269,17266274,9543828,11423267,10420027,9332125,5932109,10599335,11282430
"DG 38:4|DG 18:0_20:4",274794080,332647040,302748224,216650576,218924768,257321952,397800224,363892000,308095072,358410912,333296864,383677216
"DG 38:4|DG 18:1_20:3",90770128,92219160,100590632,57926544,64131712,51359868,172130928,144957392,128465168,145920784,145354160,207310704
"DG 8:0_30:4",9310528,44007016,9648665,29681950,42597424,31985656,68042880,13515941,52006912,14001108,14637662,58208660
"DG 16:0_22:4",36977524,44503584,40168180,29274344,10734971,8528335,67892952,59542136,52006916,55250916,57647852,57439728
"SM 30:1;3O",11732375,6098232,5410978,13518821,77672072,73128832,48438312,85216896,33320938,97954048,73338152,65395008
"LPC 28:0-SN1",18209566,18293572,19153554,17728892,18342676,18006762,17469820,20448968,16228034,16046763,16013997,19188558
"DG 8:0_30:3",13368892,12654876,10169994,6647234,30442330,23992006,7631738,17958404,18677882,40295040,28716308,35684404
"DG 38:3|DG 18:0_20:3",34882088,40463408,39417640,28263726,34311244,28331546,60455640,60020704,50549868,56601000,54716684,63136672
"DG 38:3|DG 20:1_18:2",57931204,60779436,54776992,59464896,146267296,137177904,162549296,135642160,137842352,253374208,181746272,220352528
"DG 8:0_30:2",64897968,73976072,79978560,39821476,39113008,33040080,67754336,64058476,64957336,86523552,81725872,105066432
"DG 38:2|DG 20:0_18:2",92735184,82178264,46571904,131444224,376238272,398413824,348832032,247786352,237348560,471833568,349588256,383767520
"DG 38:2|DG 18:1_20:1",389377568,446601248,483142272,377129088,479666688,411752992,862269120,850688768,738133504,860934976,838560576,931376192
"SM 30:2;2O",4847155,5080835,3308475,11958269,3980832,26778150,8780409,3045417,2946638,5016240,6327234,4433132
"SM 8:0;2O/24:5",32813694,42218552,22576706,79354880,156714992,156363568,86404464,97421600,128501128,324114848,146672016,74556592
"DG 22:0_16:1",13904756,10522729,8516235,22239162,53213772,78558984,19303226,51977692,63744872,91997880,96158624,91113416
"SM 32:2;2O|SM 18:2;2O/14:0",42770856,53529392,53933260,42691008,58851320,49715364,53539444,65487940,52882640,57240524,59807644,61295224
"DG 38:1",34927400,47314532,67833632,16488259,10752409,5178054,4448908,25178312,14227823,2156598,1523414,5221643
"PC 28:2",111464912,121922888,124354112,122158152,150157984,134954128,21510370,20425072,18413364,26774420,22966738,23490892
"TG 8:0_8:0_22:5",39176788,65792756,41993872,44737840,43685032,41153144,38315128,39624688,63823968,61381064,33896232,59002648
"SM 32:1;2O|SM 16:1;2O/16:0",2741454592,3142942720,3807637760,2476031488,3334072320,2949804544,2632270592,2870277888,2351686656,2678865152,2928757504,2712342016
"SM 32:0;2O|SM 14:0;2O/18:0",137892368,157752656,220271216,145246592,176064384,176220416,179571760,162638160,134776496,158753952,160980272,162297440
"PC 28:0|PC 14:0_14:0",48469608,51847820,67820616,70396712,89026240,87089528,57019716,64193948,59031180,57193224,71299304,65672808
"TG 8:0_8:0_22:3",567605568,626275264,640819328,633250176,674236416,656019264,592301888,651314048,633983488,604896768,616578048,612707904
"PG 2:0_26:2",21297336,14632941,22808776,10087709,299871.6,1499358,7018696,8523214,13478566,5252864,7546679,1944621
"TG 10:0_10:0_18:2",1849982,4625040,369996.4,6848710,30488488,32426488,26385442,19501520,20407286,34544000,31925536,31151518
"SM 32:8;2O",7212398,7714127,8509965,8357717,7269790,7132830,7579891,5179018,7266888,4022208,7054068,7741454
"DG 40:10",6611836,10615644,5817192,15964978,36173684,30881544,16999392,18005178,26586274,63346408,32556528,18320372
"DG 40:7|DG 18:1_22:6",247715296,288691616,321452960,153592880,186763184,148416912,526863072,474004672,409565408,498805952,491414464,592495808
"TG 38:0|TG 12:0_12:0_14:0",14411038,10555112,7865276,14589905,29093882,34829112,18961244,22648260,18712326,16391856,21033758,26697962
"DG 40:9",5894912,6223354,4867253,10736683,20820130,19976744,12085185,13260196,16587029,33096744,14345789,8425139
"DG 40:6|DG 18:1_22:5",272020384,318346816,348498176,165559776,192182192,161544848,531237984,512803968,434795584,598559488,543200128,643934656
"DG 40:6|DG 18:0_22:6",17513422,29473748,26077736,14446056,17190208,14486333,42122128,38722148,31101320,49103924,42442156,55342644
"SM 32:3;3O",1261447,5140079,4169284,3886597,16637083,9303108,6798664,3567914,2092964,7840186,252289.4,252289.4
"LPE 34:9",2517114,7275312,7509468,5282434,3489668,10772821,29350,29350,184168,29350,29350,146750
"DG 40:5|DG 18:1_22:4",176331968,226508736,230469360,147681152,191221264,157642048,291973280,279367872,230677696,287444192,265377680,318772288
"DG 40:5|DG 18:0_22:5",43144044,54774300,49164972,39490192,37497944,37976056,89025488,80554864,61405312,80690160,79076560,91895568
"LPE 34:8",3921642,3700128,4587274,5046528,3921929,3375922,1488755,409795,1636743,81959,1328991,454374
"DG 40:4|DG 18:0_22:4",10992031,14382862,14726139,14138957,13867569,13013461,21468732,21416044,18867178,20392518,17288046,21445828
"DG 40:4|DG 20:2_20:2",61821708,52443540,34024288,88513768,210738256,237296416,214370880,160084992,153698816,285212128,254585600,235333312
"LPC 30:0-SN1",1537847168,1802710528,2076648832,1427314176,1757556864,1683896704,1600937600,1672513664,1510547968,1532536064,1674001536,1652003968
"DG 8:0_32:3",6941036,4982886,3253108,10911389,26452462,29166924,27901970,19843398,18463670,34017908,29501068,27058500
"SM 32:0;3O",6824074,9493495,9648351,10406573,5523444,4619948,2367213,5350300,1049452,2826976,3317658,2115450
"DG 40:2|DG 18:1_22:1",43133496,56750896,42365564,75857144,77171192,60996228,100810640,100241240,86554600,90083080,90593240,112636312
"DG 8:0_32:2",3968863,3476792,4396948,3762471,1261501,2424633,5561198,5339586,1915211,6539218,5652370,3344826
"DG 40:4",11836222,12163828,9546160,16021345,26501672,23970490,26145990,22971122,20991114,31556876,29684856,31681770
"DG 8:0_32:1",27209478,21742944,18734820,47122108,100496952,142245696,38182348,86647776,121796328,152314128,194654032,164996176
"DG 40:1|DG 22:0_18:1",15829746,13535315,9634884,25870018,36996668,47201496,46311980,39547856,27609552,55166904,41203168,52215432
"SM 8:0;2O/26:4",12873694,7865680,6616332,17730624,51452368,57262936,39282516,36210644,33363312,70615280,47859308,53230340
"DG 16:0_24:0",49942280,42701196,27289446,65265072,91484952,92518808,72707672,62823576,70266248,75174592,82810136,70489280
"DG 8:0_32:0",34688860,29119640,23541666,47174880,95408632,132806504,36232196,73629584,103763184,125773904,132797240,118370000
"SM 32:0;2O",3942015,4297542,2720142,18302128,43470524,47039372,36393712,22979302,13458435,62198548,46841296,57363308
"SM 16:2;2O/18:1",748397,477611,95522.2,1767652,26944600,24251624,8973223,15630105,13347775,39403800,19163668,14598985
"LPC 30:7",3102548,3677753,3069330,2365538,2276215,2471087,3317886,4097329,3803668,3363163,3437237,2777904
"SM 34:2;2O|SM 18:1;2O/16:1",339880704,487527424,559617408,453827648,553966464,526764160,333401952,353203776,358208896,369808352,361194400,423719776
"PE 32:6",59828540,60663112,57005160,48436220,29216910,26362050,24301920,41096348,19533888,27718718,30120888,13516923
"SM 18:1;2O/16:0",38857134080,40416145408,48596574208,36147019776,43841298432,42921410560,40358789120,41727336448,33275719680,39340814336,39054778368,38371381248
"PG 4:0_26:4",3713590,1360634,2188680,5521056,9522343,11472608,8656679,10683825,8804683,13780757,9925706,12695245
"PC 30:0",20601204,20483234,29882644,26968944,34818008,30237948,23637006,26985714,25875464,22738898,26743750,27060462
"PG 4:0_26:1",4495172,5723870,7073414,5768990,5257436,4619678,2023251,2174867,1092692,1266209,1416510,1428881
"LPC 32:4-SN1",59585036,55875896,69063848,73246640,79785736,85446848,41601612,33814384,39074620,45609728,41747220,45006900
"DG 8:0_34:7",12789852,10084893,7688272,20250634,40493144,48400320,46105652,32762984,37160496,57553684,55092340,54256600
"DG 24:2_18:5",17757688,17637000,11616682,29856910,64347380,67925760,65297240,46904432,49474864,79117360,75829416,70925592
"TG 40:0|TG 10:0_14:0_16:0",20706218,15485458,20055986,32485248,28497306,42505308,36094928,20408796,40262376,10817028,29787610,42156964
"LPE 36:10",2910643,2079508,3812104,1961132,1631015,1901288,782182,1086317,981063,711788,241104,280936
"PE 32:0",36429376,41485768,42667540,30187994,32705022,27000392,39892712,39339944,38983408,38316780,39666084,39958112
"SM 34:3;3O",7793082,10135218,9999806,7771986,6364278,16375438,10997593,10872442,12375441,16976090,18291998,13419519
"TG 8:0_8:0_24:1",16934462,18840620,23816296,14400261,19871738,20227134,12081923,11392868,7776502,8322700,10588701,9688122
"DG 8:0_34:5",3722586,7011672,8183160,8859016,10722657,8562859,11224085,11105626,10752602,12354347,9111379,8557931
"TG 8:0_8:0_24:0",5916320,8409506,6530658,20677376,29060700,30172680,36229212,25939830,29106076,29333430,22240808,15173207
"DG 8:0_34:4",3533291,1948063,2661617,5545860,10048498,13924596,2614443,8957752,12780736,15136774,20223998,12875549
"SM 36:7;2O",8369210,8266646,8645519,5912299,5094512,5547180,13446601,17035696,17420296,11977100,14811785,15884606
"LPC 32:0-SN1",5667261440,6336072192,7660361216,5557443584,6656094720,6254453760,6094106624,6061732352,5356298752,5808876032,5948407808,5944516608
"SM 18:1;2O/18:5",24272396,15513595,9583413,28916814,94845440,90127984,64014404,60006336,44229588,124887256,89786480,88681392
"SM 36:6;2O|SM 18:2;2O/18:4",7052780,3416461,4169625,16940236,57855936,41626100,30082538,23819718,32679474,60450068,53152048,55442548
"TG 8:0_16:4_18:5",15031276,16482055,18709496,12076189,18737772,16778358,19489864,17368452,17193782,17805942,19437396,18974450
"DG 42:2|DG 24:0_18:2",12758570,12680078,7263012,18163982,41087036,40543112,36394048,31239004,26687592,44938416,40567040,35718088
"SM 36:5;2O",8694212,91149,3029469,15350068,55505884,43200436,23838734,26074462,34741192,82473000,65245588,58508404
"SM 18:0;2O/18:4",59048160,35507992,37203676,87891896,251352464,245034064,190689856,152961024,136256304,300873024,234431184,253281808
"PC 30:1",20343702,23837958,31493252,32849380,29529596,27581058,20213424,20408004,18778102,18376160,18505352,15861227
"PC 8:0_24:4",1026045,2648042,2779738,3707383,4395902,4253178,727421,1514096,872738,735117,1193731,271067
"DG 8:0_34:0",7358586,8758383,8508539,7311234,4846056,5690432,2896790,8699240,8144877,7455139,7445434,9636252
"SM 34:0;2O",109523848,110337376,142467024,119273640,116741128,115139720,109005008,105930664,85129376,84182496,77124672,81066096
"SM 36:3;2O|SM 18:2;2O/18:1",59735576,61265268,71318392,78984360,96661616,91619488,76871776,71495264,62051520,81393640,78151720,69290752
"PC 32:3|PC 16:0_16:3",87249056,89810288,93228392,107063400,95340280,108344928,115312440,131750832,130186832,122748544,132761168,136454976
"PC 32:3",11263416,11834525,19790806,18831238,23128476,22693268,10069884,6947936,10951963,3725394,13415858,9530397
"SM 16:2;2O/20:0",48610296,53853180,66030532,63616896,76051272,61910348,23314398,24643026,18899042,20908202,26140330,24150090
"SM 18:1;2O/18:1",4049430272,4519201792,5536763392,4823628800,5718694912,5116602880,4686863872,4561203200,4027098880,4732992512,5082864640,4561381376
"PS 30:0",2146843,2761660,2952410,1959524,2925359,2662754,33479.8,177528,167399,33479.8,33479.8,33479.8
"LPC 34:9-SN1",19453484,25029450,22755766,21473206,21557800,23044208,2392192,2588630,3388072,1694989,2193224,2187348
"PC 32:2|PC 16:0_16:2",59729852,71756024,88314000,93593536,69699968,91682840,93719168,95724680,99017208,94594256,108356032,116070176
"SM 18:1;2O/18:0",3305812224,3566476800,4050951936,2104318208,2686467840,2526147072,3146695168,3439684864,2611024896,3180638464,2986930176,3122555648
"LPC 34:8-SN1",10613095,11866428,11085561,10406149,8489055,8663023,4624.8,438201,500065,4624.8,23124,162160
"PG 6:0_26:4",23548762,21621722,21994192,21672964,17548942,16350760,1083373,1148594,1931715,993910,776068,1446774
"PC 32:1",18846256,22951142,20074742,31586452,35314704,34482112,14036259,18530074,24013324,15185779,18535622,16298186
"SM 8:0;2O/28:0",37443612,37236408,29040832,45599476,46700156,36059592,51344396,39578876,51709488,44111240,43410872,38661920
"TG 8:0_8:0_26:4",18939236,19787454,26028988,17093930,8883559,16901524,12750223,13483605,15579604,11622363,13662444,12799590
"TG 42:1|TG 8:0_16:0_18:1",18635630,17174460,16433483,18111366,21014868,11947404,26973044,41525112,23928326,20016310,18462976,21734058
"PE 34:1",293908000,307513984,303181632,268719872,273278624,223591280,332039712,330622944,328864704,301378208,313030016,306453632
"DG 18:2_26:5",130135192,97040624,68804144,180195472,308249248,331475136,309933984,271169568,254424032,373622784,353864960,366653248
"DG 26:2_18:5",24239606,19033132,10439332,36982336,74870208,80822216,59322652,46004640,52147552,70580128,71241048,70935040
"TG 42:0|TG 8:0_16:0_18:0",68324896,46094872,46144508,40504432,48505668,53983944,51777200,51585376,52283636,36140804,38236652,50461416
"PE 34:0",34856032,34854340,41049052,23792026,15487192,14951442,30118204,31703648,31120950,16136841,19774660,26447284
"LPC 34:3-SN1",332796736,428749632,422037184,294894272,414800992,338115296,350513632,368502784,329764352,364960032,383134912,351492160
"TG 8:0_8:0_26:1",474298,2027073,1579275,2432846,1151251,2257332,989957,3266709,1373494,1226,674909,477849
"LPE 38:9",69781912,67021544,67097912,61336544,57162292,54702376,76682272,80399728,80459272,80024512,75527736,90540064
"PC 32:4",19425358,22097222,25073940,19953314,23420832,24280908,21650548,21507062,21931204,19005686,22984644,21328672
"TG 8:0_16:3_20:5",12049599,12063211,12409168,10955315,13267703,12786672,11756702,13158672,13435193,13187740,11872144,12105488
"SM 8:0;2O/30:4",13556448,3555550,16939204,25950626,53015460,67102688,52632092,53048228,36789112,86301096,67057236,66426712
"SM 36:1;2O",16629876,10297183,10388198,4351448,2438998,384390.4,384390.4,1921952,5535500,5020318,384390.4,4796234
"PE 36:8",5276866,5792299,6492644,5227245,6885544,5711300,5429942,4523861,5191498,3841049,5422768,6012812
